Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Wil Lutz,NO,@ CIN,W  51-14,3,3,6,6,15
Jason Sanders,MIA,@ GB,L  12-31,4,4,0,0,12
Greg Zuerlein,LA,vs SEA,W  36-31,3,3,3,3,12
Robbie Gould,SF,vs NYG,L  23-27,3,3,2,2,11
Stephen Hauschka,BUF,@ NYJ,W  41-10,2,2,5,5,11
Chris Boswell,PIT,vs CAR,W  52-21,1,1,7,7,10
Dustin Hopkins,WAS,@ TB,W  16-3,3,3,1,1,10
Ryan Succop,TEN,vs NE,W  34-10,2,2,4,4,10
Brett Maher,DAL,@ PHI,W  27-20,2,3,3,3,9
Aldrick Rosas,NYG,@ SF,W  27-23,2,2,3,3,9
Michael Badgley,LAC,@ OAK,W  20-6,2,2,2,2,8
Harrison Butker,KC,vs ARI,W  26-14,2,2,2,2,8
Jake Elliott,PHI,vs DAL,L  20-27,2,2,2,2,8
Josh Lambo,JAX,@ IND,L  26-29,2,3,2,3,8
Mason Crosby,GB,vs MIA,W  31-12,1,1,4,4,7
Sebastian Janikowski,SEA,@ LA,L  31-36,1,1,4,4,7
Daniel Carlson,OAK,vs LAC,L  6-20,2,2,0,0,6
Stephen Gostkowski,NE,@ TEN,L  10-34,1,2,1,1,4
Greg Joseph,CLE,vs ATL,W  28-16,0,0,4,4,4
Jason Myers,NYJ,vs BUF,L  10-41,1,1,1,1,4
Matt Prater,DET,@ CHI,L  22-34,1,1,1,1,4
Giorgio Tavecchio,ATL,@ CLE,L  16-28,1,1,1,1,4
Chandler Catanzaro,TB,vs WAS,L  3-16,1,3,0,0,3
Graham Gano,CAR,@ PIT,L  21-52,0,0,3,3,3
Adam Vinatieri,IND,vs JAX,W  29-26,0,1,3,3,3
Randy Bullock,CIN,vs NO,L  14-51,0,0,2,2,2
Phil Dawson,ARI,@ KC,L  14-26,0,0,2,2,2
Cody Parkey,CHI,vs DET,W  34-22,0,2,2,4,2
