Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Robbie Gould,CHI,@ DET,L  34-37,4,4,2,2,14
Brandon McManus,DEN,@ CLE,W  26-23,4,5,2,2,14
Chris Boswell,PIT,vs ARI,W  25-13,4,4,1,1,13
Phil Dawson,SF,vs BAL,W  25-20,4,4,1,1,13
Matt Prater,DET,vs CHI,W  37-34,3,3,4,4,13
Stephen Hauschka,SEA,vs CAR,L  23-27,3,3,2,2,11
Nick Folk,NYJ,vs WAS,W  34-20,2,3,4,4,10
Stephen Gostkowski,NE,@ IND,W  34-27,2,2,4,4,10
Mike Nugent,CIN,@ BUF,W  34-21,2,2,4,4,10
Blair Walsh,MIN,vs KC,W  16-10,3,3,1,1,10
Mason Crosby,GB,vs,W  27-20,2,2,3,3,9
Caleb Sturgis,PHI,vs NYG,W  27-7,2,2,3,3,9
Andrew Franks,MIA,@ TEN,W  38-10,1,1,5,5,8
Dustin Hopkins,WAS,@ NYJ,L  20-34,2,2,2,2,8
Josh Lambo,,@ GB,L  20-27,2,2,2,2,8
Justin Tucker,BAL,@ SF,L  20-25,2,3,2,2,8
Chandler Catanzaro,ARI,@ PIT,L  13-25,2,3,1,1,7
Zach Hocker,NO,vs ATL,W  31-21,1,3,4,4,7
Nick Novak,HOU,@,W  31-20,1,1,4,4,7
Travis Coons,CLE,vs DEN,L  23-26,1,1,2,2,5
Cairo Santos,KC,@ MIN,L  10-16,1,1,1,1,4
Ryan Succop,TEN,vs MIA,L  10-38,1,1,1,1,4
Matt Bryant,ATL,@ NO,L  21-31,0,0,3,3,3
Dan Carpenter,BUF,vs CIN,L  21-34,0,0,3,3,3
Graham Gano,CAR,@ SEA,W  27-23,0,0,3,4,3
Adam Vinatieri,IND,vs NE,L  27-34,0,0,3,4,3
Jason Myers,,vs HOU,L  20-31,0,0,2,3,2
Josh Brown,NYG,@ PHI,L  7-27,0,0,1,1,1
