Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Greg Zuerlein,LA,vs NO,W  26-20,4,5,2,2,14
Phil Dawson,ARI,vs JAX,W  27-24,4,4,1,1,13
Randy Bullock,CIN,vs CLE,W  30-16,3,3,3,3,12
Matt Prater,DET,vs MIN,L  23-30,3,3,2,2,11
Justin Tucker,BAL,vs HOU,W  23-16,3,3,2,2,11
Matt Bryant,ATL,vs TB,W  34-20,2,2,4,4,10
Ka'imi Fairbairn,HOU,@ BAL,L  16-23,3,3,1,1,10
Zane Gonzalez,CLE,@ CIN,L  16-30,3,4,1,1,10
Stephen Hauschka,BUF,@ KC,W  16-10,3,4,1,1,10
Adam Vinatieri,IND,vs TEN,L  16-20,3,3,1,1,10
Chandler Catanzaro,NYJ,vs CAR,L  27-35,2,2,3,3,9
Graham Gano,CAR,@ NYJ,W  35-27,3,3,0,1,9
Wil Lutz,NO,@ LA,L  20-26,2,2,2,2,8
Patrick Murray,TB,@ ATL,L  20-34,2,2,2,2,8
Nick Rose,WAS,vs NYG,W  20-10,2,2,2,2,8
Ryan Succop,TEN,@ IND,W  20-16,2,2,2,2,8
Jake Elliott,PHI,vs CHI,W  31-3,1,1,4,4,7
Robbie Gould,SF,vs SEA,L  13-24,2,2,1,1,7
Kai Forbath,MIN,@ DET,W  30-23,1,2,3,4,6
Josh Lambo,JAX,@ ARI,L  24-27,1,1,3,3,6
Blair Walsh,SEA,@ SF,W  24-13,1,2,3,3,6
Chris Boswell,PIT,vs GB,W  31-28,1,1,2,3,5
Stephen Gostkowski,NE,vs MIA,W  35-17,0,0,5,5,5
Cody Parkey,MIA,@ NE,L  17-35,1,1,2,2,5
Harrison Butker,KC,vs BUF,L  10-16,1,1,1,1,4
Mason Crosby,GB,@ PIT,L  28-31,0,1,4,4,4
Aldrick Rosas,NYG,@ WAS,L  10-20,1,1,1,1,4
Nick Novak,LAC,@ DAL,W  28-6,1,2,0,1,3
Cairo Santos,CHI,@ PHI,L  3-31,1,2,0,0,3
Giorgio Tavecchio,OAK,vs DEN,W  21-14,0,1,3,3,3
Brandon McManus,DEN,@ OAK,L  14-21,0,0,2,2,2
Drew Kaser,LAC,@ DAL,W  28-6,0,0,1,3,1
