Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Josh Brown,NYG,@ DAL,L  26-27,4,4,2,2,14
Matt Bryant,ATL,vs PHI,W  26-24,4,4,2,2,14
Zach Hocker,NO,@ ARI,L  19-31,4,4,1,1,13
Brandon McManus,DEN,vs BAL,W  19-13,4,4,1,1,13
Robbie Gould,CHI,vs GB,L  23-31,3,3,2,2,11
Stephen Hauschka,SEA,@,L  31-34,3,3,2,2,11
Greg Zuerlein,,vs SEA,W  34-31,2,2,4,4,10
Dan Bailey,DAL,vs NYG,W  27-26,2,2,3,3,9
Dan Carpenter,BUF,vs IND,W  27-14,2,2,3,3,9
Josh Lambo,,vs DET,W  33-28,2,2,3,4,9
Mike Nugent,CIN,@ OAK,W  33-13,2,2,3,4,9
Cairo Santos,KC,@ HOU,W  27-20,2,3,3,3,9
Phil Dawson,SF,vs MIN,W  20-3,2,3,2,2,8
Graham Gano,CAR,@,W  20-9,2,4,2,2,8
Chandler Catanzaro,ARI,vs NO,W  31-19,1,1,4,4,7
Mason Crosby,GB,@ CHI,W  31-23,1,1,4,4,7
Nick Folk,NYJ,vs CLE,W  31-10,1,1,4,4,7
Josh Scobee,PIT,@ NE,L  21-28,2,4,1,1,7
Justin Tucker,BAL,@ DEN,L  13-19,2,2,1,1,7
Randy Bullock,HOU,vs KC,L  20-27,2,2,0,1,6
Cody Parkey,PHI,@ ATL,L  24-26,1,2,3,3,6
Ryan Succop,TEN,@ TB,W  42-14,0,0,6,6,6
Andrew Franks,MIA,@ WAS,W  17-10,1,1,2,2,5
Travis Coons,CLE,@ NYJ,L  10-31,1,1,1,1,4
Kai Forbath,WAS,vs MIA,L  10-17,1,2,1,1,4
Stephen Gostkowski,NE,vs PIT,W  28-21,0,0,4,4,4
Matt Prater,DET,@,L  28-33,0,0,4,4,4
Jason Myers,,vs CAR,L  9-20,1,2,0,1,3
Blair Walsh,MIN,@ SF,L  3-20,1,2,0,0,3
Kyle Brindza,TB,vs TEN,L  14-42,0,0,2,2,2
Sebastian Janikowski,OAK,vs CIN,L  13-33,0,0,1,1,1
Adam Vinatieri,IND,@ BUF,L  14-27,0,1,0,0,0
