Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Aaron Rodgers,GB,@ DET,L  23-31,32,52,442,3,0,4,2,108.0
Blake Bortles,JAX,@ KC,L  14-30,33,61,430,1,4,5,1,54.7
Case Keenum,DEN,@ NYJ,L  16-34,35,51,377,2,1,4,0,95.0
Deshaun Watson,HOU,vs DAL,W  19-16,33,44,375,1,1,1,0,98.2
Andrew Luck,IND,@ NE,L  24-38,38,59,365,3,2,1,0,84.4
Drew Brees,NO,vs WAS,W  43-19,26,29,363,3,0,2,0,153.2
C.J. Beathard,SF,vs ARI,L  18-28,34,54,349,2,2,4,2,78.4
Baker Mayfield,CLE,vs BAL,W  12-9,25,43,342,1,1,5,0,81.7
Tom Brady,NE,vs IND,W  38-24,34,44,341,3,2,0,0,102.6
Philip Rivers,LAC,vs OAK,W  26-10,22,27,339,2,0,1,0,143.4
Eli Manning,NYG,@ CAR,L  31-33,22,36,326,2,2,1,0,86.1
Jared Goff,LA,@ SEA,W  33-31,23,32,321,1,2,1,0,88.2
Patrick Mahomes,KC,vs JAX,W  30-14,22,38,313,0,2,1,0,62.7
Carson Wentz,PHI,vs MIN,L  21-23,24,35,311,2,0,3,1,115.3
Kirk Cousins,MIN,@ PHI,W  23-21,30,37,301,1,0,1,1,109.6
Joe Flacco,BAL,@ CLE,L  9-12,29,56,298,0,1,2,0,60.0
Matt Ryan,ATL,@ PIT,L  17-41,26,38,285,1,0,6,1,99.1
Alex Smith,WAS,@ NO,L  19-43,23,39,275,0,1,3,1,69.9
Derek Carr,OAK,@ LAC,L  10-26,24,33,268,1,1,3,0,94.0
Ben Roethlisberger,PIT,vs ATL,W  41-17,19,29,250,3,1,0,0,112.7
Andy Dalton,CIN,vs MIA,W  27-17,20,30,248,1,1,2,0,89.3
Cam Newton,CAR,vs NYG,W  33-31,21,35,237,2,2,1,0,75.5
Dak Prescott,DAL,@ HOU,L  16-19,18,29,208,1,2,2,0,66.5
Sam Darnold,NYJ,vs DEN,W  34-16,10,22,198,3,1,1,0,98.1
Russell Wilson,SEA,vs LA,L  31-33,13,21,198,3,0,2,0,132.5
Ryan Tannehill,MIA,@ CIN,L  17-27,20,35,185,1,2,3,1,57.4
Matthew Stafford,DET,vs GB,W  31-23,14,26,183,2,0,3,0,101.9
Josh Rosen,ARI,@ SF,W  28-18,10,25,170,1,0,1,0,77.1
Marcus Mariota,TEN,@ BUF,L  12-13,14,26,129,0,1,2,0,51.6
Josh Allen,BUF,vs TEN,W  13-12,10,19,82,0,1,1,0,42.0
Odell Beckham,NYG,@ CAR,L  31-33,1,1,57,1,0,0,1,158.3
Matt Schaub,ATL,@ PIT,L  17-41,5,7,20,0,0,0,0,74.1
Corey Bojorquez,BUF,vs TEN,W  13-12,0,1,0,0,0,0,0,39.6
Lamar Jackson,BAL,@ CLE,L  9-12,0,1,0,0,0,0,0,39.6
