Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Carson Palmer,ARI,vs SF,W  18-15,33,51,357,1,1,6,0,83.5
Philip Rivers,LAC,vs PHI,L  24-26,22,38,347,2,0,2,1,105.9
Jameis Winston,TB,vs NYG,W  25-23,22,38,332,3,0,1,0,113.0
Cam Newton,CAR,@ NE,W  33-30,22,29,316,3,1,2,0,130.8
Tom Brady,NE,vs CAR,L  30-33,32,45,307,2,0,3,0,104.6
Russell Wilson,SEA,vs IND,W  46-18,21,26,295,2,2,3,0,107.5
Alex Smith,KC,vs WAS,W  29-20,27,37,293,1,0,4,0,104.9
Eli Manning,NYG,@ TB,L  23-25,30,49,288,2,0,0,0,91.2
Andy Dalton,CIN,@ CLE,W  31-7,25,30,286,4,0,3,1,146.0
Deshaun Watson,HOU,vs TEN,W  57-14,25,34,283,4,1,1,0,125.0
Drew Brees,NO,@ MIA,W  20-0,29,41,268,2,0,1,0,104.5
Jared Goff,LA,@ DAL,W  35-30,21,36,255,2,0,1,0,98.7
Dak Prescott,DAL,vs LA,L  30-35,20,36,252,3,1,2,0,93.8
Matt Ryan,ATL,vs BUF,L  17-23,24,42,242,1,2,1,1,61.8
Carson Wentz,PHI,@ LAC,W  26-24,17,31,242,1,0,1,0,91.1
Joe Flacco,BAL,vs PIT,L  9-26,31,49,235,1,2,4,0,64.6
Brian Hoyer,SF,@ ARI,L  15-18,24,49,234,0,1,3,0,54.3
Josh McCown,NYJ,vs JAX,W  23-20,22,31,224,0,1,5,1,77.9
Kirk Cousins,WAS,@ KC,L  20-29,14,24,220,2,0,0,0,116.7
Case Keenum,MIN,vs DET,L  7-14,16,30,219,0,0,2,0,76.9
Mike Glennon,CHI,@ GB,L  14-35,21,33,218,1,2,1,2,67.5
Ben Roethlisberger,PIT,@ BAL,W  26-9,18,30,216,1,1,1,0,79.3
Matthew Stafford,DET,@ MIN,W  14-7,19,31,209,0,0,6,0,81.2
Tyrod Taylor,BUF,@ ATL,W  23-17,12,20,182,1,0,3,0,106.7
Aaron Rodgers,GB,vs CHI,W  35-14,18,26,179,4,0,2,0,128.0
Trevor Siemian,DEN,vs OAK,W  16-10,16,26,179,1,0,4,0,94.9
Jay Cutler,MIA,vs NO,L  0-20,20,28,164,0,1,4,0,71.1
Jacoby Brissett,IND,@ SEA,L  18-46,16,29,157,1,1,3,1,67.7
Derek Carr,OAK,@ DEN,L  10-16,10,18,143,1,0,2,0,100.0
Blake Bortles,JAX,@ NYJ,L  20-23,15,35,140,1,1,1,0,52.1
DeShone Kizer,CLE,vs CIN,L  7-31,16,34,118,0,1,1,0,43.5
E.J. Manuel,OAK,@ DEN,L  10-16,11,17,106,0,1,1,0,57.5
Marcus Mariota,TEN,@ HOU,L  14-57,6,10,96,0,2,0,0,52.5
Kevin Hogan,CLE,vs CIN,L  7-31,5,8,65,0,0,1,0,88.0
Lachlan Edwards,NYJ,vs JAX,W  23-20,1,1,31,0,0,0,0,118.8
Matt Cassel,TEN,@ HOU,L  14-57,4,10,21,0,2,2,1,8.3
Brett Hundley,GB,vs CHI,W  35-14,1,1,0,0,0,0,0,79.2
Tom Savage,HOU,vs TEN,W  57-14,0,0,0,0,0,1,0,0.0
