Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Henry Anderson,NYJ,vs HOU,L  22-29,3.0,26.0,4,3,1,0,0
Geno Atkins,CIN,vs OAK,W  30-16,3.0,20.0,3,5,1,0,0
Chris Jones,KC,vs LAC,L  28-29,2.5,15.5,8,2,1,0,0
Khalil Mack,CHI,vs GB,W  24-17,2.5,15.0,3,5,1,0,0
Jonathan Allen,WAS,@ JAX,W  16-13,2.0,15.0,2,4,1,0,0
Anthony Barr,MIN,vs MIA,W  41-17,2.0,15.0,2,5,2,0,0
DeForest Buckner,SF,vs SEA,W  26-23,2.0,12.0,3,7,4,0,0
Lavonte David,TB,@ BAL,L  12-20,2.0,3.0,3,10,2,0,1
Leonard Floyd,CHI,vs GB,W  24-17,2.0,20.0,2,6,0,0,0
Sam Hubbard,CIN,vs OAK,W  30-16,2.0,14.0,3,2,0,1,0
Danielle Hunter,MIN,vs MIA,W  41-17,2.0,14.0,2,4,1,0,0
Grady Jarrett,ATL,vs ARI,W  40-14,2.0,12.0,2,4,3,1,0
Ryan Kerrigan,WAS,@ JAX,W  16-13,2.0,13.0,4,5,1,1,0
Tyquan Lewis,IND,vs DAL,W  23-0,2.0,16.0,2,3,1,0,0
Jarran Reed,SEA,@ SF,L  23-26,2.0,18.0,4,3,0,0,0
J.J. Watt,HOU,@ NYJ,W  29-22,2.0,17.0,2,4,2,1,0
Justin Houston,KC,vs LAC,L  28-29,1.5,2.5,2,2,3,0,0
Melvin Ingram,LAC,@ KC,W  29-28,1.5,8.0,2,1,2,0,0
Bruce Irvin,ATL,vs ARI,W  40-14,1.5,16.5,3,1,2,0,0
Jamal Adams,NYJ,vs HOU,L  22-29,1.0,14.0,1,3,1,0,0
Mackensie Alexander,MIN,vs MIA,W  41-17,1.0,9.0,1,3,0,0,0
Denico Autry,IND,vs DAL,W  23-0,1.0,10.0,1,1,0,0,0
Vic Beasley,ATL,vs ARI,W  40-14,1.0,2.0,1,3,0,0,0
Vonn Bell,NO,@ CAR,W  12-9,1.0,9.0,1,4,3,1,0
Zach Brown,WAS,@ JAX,W  16-13,1.0,5.0,1,2,1,0,0
Kevin Byard,TEN,@ NYG,W  17-0,1.0,10.0,1,4,0,0,0
Calais Campbell,JAX,vs WAS,L  13-16,1.0,10.0,3,6,1,0,0
Frank Clark,SEA,@ SF,L  23-26,1.0,0.0,3,5,0,0,0
Jadeveon Clowney,HOU,@ NYJ,W  29-22,1.0,8.0,2,2,1,0,0
Jamie Collins,CLE,@ DEN,W  17-16,1.0,8.0,1,6,0,0,0
Brandon Copeland,NYJ,vs HOU,L  22-29,1.0,9.0,2,1,2,0,0
Kamalei Correa,TEN,@ NYG,W  17-0,1.0,2.0,1,1,0,1,0
Fletcher Cox,PHI,@ LA,W  30-23,1.0,8.0,2,2,1,0,0
Demario Davis,NO,@ CAR,W  12-9,1.0,10.0,2,4,4,0,0
Nick DeLuca,JAX,vs WAS,L  13-16,1.0,5.0,1,3,0,1,0
Dee Ford,KC,vs LAC,L  28-29,1.0,7.0,2,2,1,0,0
Davon Godchaux,MIA,@ MIN,L  17-41,1.0,8.0,1,1,1,0,0
Markus Golden,ARI,@ ATL,L  14-40,1.0,5.0,1,2,0,0,0
Adam Gotsis,DEN,vs CLE,L  16-17,1.0,4.0,1,5,1,1,0
Everson Griffen,MIN,vs MIA,W  41-17,1.0,10.0,1,3,0,0,0
Kamu Grugier-Hill,PHI,@ LA,W  30-23,1.0,6.0,1,3,1,1,0
Jordan Jenkins,NYJ,vs HOU,L  22-29,1.0,6.0,2,1,0,0,0
Tom Johnson,MIN,vs MIA,W  41-17,1.0,8.0,1,1,0,0,0
Abry Jones,JAX,vs WAS,L  13-16,1.0,0.0,2,4,1,0,0
Jonathan Jones,NE,@ PIT,L  10-17,1.0,7.0,1,5,0,0,0
Karl Joseph,OAK,@ CIN,L  16-30,1.0,7.0,1,5,2,0,0
Eric Kendricks,MIN,vs MIA,W  41-17,1.0,12.0,1,3,3,0,0
Devon Kennard,DET,@ BUF,L  13-14,1.0,9.0,1,2,2,0,0
Steven Means,ATL,vs ARI,W  40-14,1.0,7.0,1,1,2,0,0
Von Miller,DEN,vs CLE,L  16-17,1.0,9.0,1,1,1,0,0
Captain Munnerlyn,CAR,vs NO,L  9-12,1.0,4.0,1,3,0,0,0
