Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Bryan Anger,TB,@ ATL,L  20-34,3,160,53.3,44.7,0,0,59,0
Thomas Morstead,NO,@ LA,L  20-26,7,371,53.0,44.6,0,2,67,0
Matt Bosher,ATL,vs TB,W  34-20,2,104,52.0,32.0,2,0,55,0
Sam Koch,BAL,vs HOU,W  23-16,6,308,51.3,47.8,0,5,62,0
Brad Nortman,JAX,@ ARI,L  24-27,8,396,49.5,40.4,1,1,60,0
Dustin Colquitt,KC,vs BUF,L  10-16,8,390,48.8,41.1,0,2,56,0
Justin Vogel,GB,@ PIT,L  28-31,5,241,48.2,46.4,0,0,53,0
Jon Ryan,SEA,@ SF,W  24-13,6,288,48.0,38.3,2,2,74,0
Michael Palardy,CAR,@ NYJ,W  35-27,6,284,47.3,46.2,0,2,63,0
Rigoberto Sanchez,IND,vs TEN,L  16-20,5,235,47.0,45.6,0,1,54,0
Brett Kern,TEN,@ IND,W  20-16,3,139,46.3,46.3,0,1,58,0
Britton Colquitt,CLE,@ CIN,L  16-30,2,92,46.0,31.0,0,0,48,0
Johnny Hekker,LA,vs NO,W  26-20,3,138,46.0,46.0,0,3,50,0
Andy Lee,ARI,vs JAX,W  27-24,6,274,45.7,40.0,1,4,55,0
Lachlan Edwards,NYJ,vs CAR,L  27-35,7,318,45.4,31.9,0,2,60,0
Riley Dixon,DEN,@ OAK,L  14-21,8,362,45.3,42.1,0,0,58,0
Sam Martin,DET,vs MIN,L  23-30,4,180,45.0,41.5,0,1,49,0
Tress Way,WAS,vs NYG,W  20-10,7,308,44.0,40.0,1,4,55,0
Donnie Jones,PHI,vs CHI,W  31-3,2,87,43.5,43.5,0,2,46,0
Marquette King,OAK,vs DEN,W  21-14,6,261,43.5,42.2,0,4,56,0
Shane Lechler,HOU,@ BAL,L  16-23,4,174,43.5,43.5,0,1,59,0
Ryan Quigley,MIN,@ DET,W  30-23,4,171,42.8,35.3,0,2,51,0
Pat O'Donnell,CHI,@ PHI,L  3-31,6,251,41.8,39.0,0,1,58,0
Matt Haack,MIA,@ NE,L  17-35,5,208,41.6,40.8,0,2,56,0
Chris Jones,DAL,vs LAC,L  6-28,5,208,41.6,41.6,0,4,57,0
Brad Wing,NYG,@ WAS,L  10-20,9,371,41.2,39.0,0,1,50,0
Colton Schmidt,BUF,@ KC,W  16-10,7,288,41.1,41.1,0,4,43,0
Ryan Allen,NE,vs MIA,W  35-17,3,122,40.7,34.0,1,1,46,0
Bradley Pinion,SF,vs SEA,L  13-24,9,342,38.0,37.2,0,4,49,0
Kevin Huber,CIN,vs CLE,W  30-16,2,73,36.5,29.0,0,1,39,0
Jordan Berry,PIT,vs GB,W  31-28,3,97,32.3,32.3,0,3,36,0
Zane Gonzalez,CLE,@ CIN,L  16-30,1,16,16.0,16.0,0,0,16,0
