Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Justin Tucker,BAL,vs CIN,W  19-14,4,4,1,1,13
Stephen Gostkowski,NE,@ NYJ,W  22-17,3,4,1,1,10
Matt Prater,DET,vs MIN,W  16-13,3,3,1,1,10
Mason Crosby,GB,@ PHI,W  27-13,2,2,3,3,9
Sebastian Janikowski,OAK,vs CAR,W  35-32,2,2,3,3,9
Brandon McManus,DEN,vs KC,L  27-30,2,3,3,3,9
Ryan Succop,TEN,@ CHI,W  27-21,2,2,3,3,9
Matt Bryant,ATL,vs ARI,W  38-19,1,1,5,5,8
Dustin Hopkins,WAS,@ DAL,L  26-31,2,4,2,2,8
Cairo Santos,KC,@ DEN,W  30-27,2,2,2,2,8
Dan Bailey,DAL,vs WAS,W  31-26,1,1,4,4,7
Chandler Catanzaro,ARI,@ ATL,L  19-38,2,2,1,1,7
Kai Forbath,MIN,@ DET,L  13-16,2,2,1,1,7
Andrew Franks,MIA,vs SF,W  31-24,1,1,4,4,7
Wil Lutz,NO,vs LA,W  49-21,0,0,7,7,7
Nick Novak,HOU,vs,L  13-21,2,2,1,1,7
Cody Parkey,CLE,vs NYG,L  13-27,2,2,1,1,7
Caleb Sturgis,PHI,vs GB,L  13-27,2,2,1,1,7
Phil Dawson,SF,@ MIA,L  24-31,1,1,3,3,6
Mike Nugent,CIN,@ BAL,L  14-19,2,2,0,1,6
Nick Folk,NYJ,vs NE,L  17-22,1,2,2,2,5
Chris Boswell,PIT,@ IND,W  28-7,0,0,4,4,4
Connor Barth,CHI,vs TEN,L  21-27,0,0,3,3,3
Robbie Gould,NYG,@ CLE,W  27-13,0,0,3,4,3
Stephen Hauschka,SEA,@ TB,L  5-14,1,1,0,0,3
Josh Lambo,,@ HOU,W  21-13,0,1,3,3,3
Jason Myers,JAX,@ BUF,L  21-28,0,0,3,3,3
Greg Zuerlein,LA,@ NO,L  21-49,0,0,3,3,3
Roberto Aguayo,TB,vs SEA,W  14-5,0,1,2,2,2
Dan Carpenter,BUF,vs JAX,W  28-21,0,0,2,3,2
Graham Gano,CAR,@ OAK,L  32-35,0,0,2,3,2
Adam Vinatieri,IND,vs PIT,L  7-28,0,1,1,1,1
