Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Kyler Fackrell,GB,vs BUF,W  22-0,3.0,24.0,3,4,0,0,0
Demarcus Lawrence,DAL,vs DET,W  26-24,3.0,21.0,3,6,2,0,0
Takkarist McKinley,ATL,vs CIN,L  36-37,2.5,24.0,3,2,1,0,0
Denico Autry,IND,vs HOU,L  34-37,2.0,5.0,2,7,2,0,0
Jadeveon Clowney,HOU,@ IND,W  37-34,2.0,19.0,4,4,0,0,1
Demario Davis,NO,@ NYG,W  33-18,2.0,17.0,2,9,2,0,0
Aaron Donald,LA,vs MIN,W  38-31,2.0,18.0,4,3,2,0,0
J.J. Watt,HOU,@ IND,W  37-34,2.0,8.0,2,4,0,2,0
Henry Anderson,NYJ,@ JAX,L  12-31,1.0,1.0,1,2,1,0,0
Geno Atkins,CIN,@ ATL,W  37-36,1.0,5.0,2,4,1,0,0
Allen Bailey,KC,@ DEN,W  27-23,1.0,0.0,1,1,0,0,0
Derek Barnett,PHI,@ TEN,L  23-26,1.0,7.0,2,2,1,0,0
Michael Bennett,PHI,@ TEN,L  23-26,1.0,5.0,2,1,0,0,0
Jayon Brown,TEN,vs PHI,W  26-23,1.0,10.0,2,6,4,0,0
Adam Butler,NE,vs MIA,W  38-7,1.0,9.0,1,2,0,0,0
Malcolm Butler,TEN,vs PHI,W  26-23,1.0,9.0,1,9,1,1,0
Barry Church,JAX,vs NYJ,W  31-12,1.0,10.0,1,3,0,0,0
Jamie Collins,CLE,@ OAK,L  42-45,1.0,4.0,1,2,3,0,0
Tyeler Davison,NO,@ NYG,W  33-18,1.0,4.0,1,1,2,1,0
Sheldon Day,SF,@ LAC,L  27-29,1.0,8.0,1,1,0,0,0
Carlos Dunlap,CIN,@ ATL,W  37-36,1.0,4.0,2,3,0,0,0
Bud Dupree,PIT,vs BAL,L  14-26,1.0,6.0,1,1,0,0,0
Sharif Finch,TEN,vs PHI,W  26-23,1.0,9.0,1,2,0,0,0
Dee Ford,KC,@ DEN,W  27-23,1.0,2.0,3,3,0,0,0
John Franklin,LA,vs MIN,W  38-31,1.0,4.0,1,1,0,1,0
Reggie Gilbert,GB,vs BUF,W  22-0,1.0,7.0,2,2,1,0,0
Da'Shawn Hand,DET,@ DAL,L  24-26,1.0,1.0,0,3,0,1,0
Javon Hargrave,PIT,vs BAL,L  14-26,1.0,2.0,1,2,1,0,0
Akiem Hicks,CHI,vs TB,W  48-10,1.0,7.0,1,1,0,0,0
B.J. Hill,NYG,vs NO,L  18-33,1.0,8.0,1,1,1,0,0
Justin Houston,KC,@ DEN,W  27-23,1.0,7.0,1,2,0,0,0
Margus Hunt,IND,vs HOU,L  34-37,1.0,1.0,1,3,0,0,0
Danielle Hunter,MIN,@ LA,L  31-38,1.0,9.0,1,3,3,0,0
Maurice Hurst,OAK,vs CLE,W  45-42,1.0,4.0,0,2,2,1,0
Bruce Irvin,OAK,vs CLE,W  45-42,1.0,12.0,1,1,0,0,0
Malik Jackson,JAX,vs NYJ,W  31-12,1.0,9.0,1,3,0,0,0
Derwin James,LAC,vs SF,W  29-27,1.0,10.0,3,5,2,0,0
Taron Johnson,BUF,@ GB,L  0-22,1.0,6.0,1,4,1,1,0
Chandler Jones,ARI,vs SEA,L  17-20,1.0,6.0,2,3,0,0,0
Devon Kennard,DET,@ DAL,L  24-26,1.0,14.0,2,2,3,0,0
