Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Denico Autry,OAK,vs DEN,W  21-14,2.0,17.0,2,2,1,0,0
Trey Flowers,NE,vs MIA,W  35-17,2.0,16.0,2,3,1,1,0
Everson Griffen,MIN,@ DET,W  30-23,2.0,10.0,3,4,0,1,0
Cameron Heyward,PIT,vs GB,W  31-28,2.0,7.0,3,3,3,0,0
Bruce Irvin,OAK,vs DEN,W  21-14,2.0,6.0,1,3,0,1,0
Chandler Jones,ARI,vs JAX,W  27-24,2.0,20.0,2,6,0,0,0
DaQuan Jones,TEN,@ IND,W  20-16,2.0,9.0,3,3,1,0,0
Cameron Jordan,NO,@ LA,L  20-26,2.0,20.0,2,4,0,0,0
Ryan Kerrigan,WAS,vs NYG,W  20-10,2.0,6.0,2,3,2,0,0
Jason Pierre-Paul,NYG,@ WAS,L  10-20,2.0,14.0,2,3,2,0,0
Elandon Roberts,NE,vs MIA,W  35-17,2.0,13.0,2,3,1,0,0
Terrell Suggs,BAL,vs HOU,W  23-16,2.0,15.0,3,2,2,1,0
Carl Lawson,CIN,vs CLE,W  30-16,1.5,10.5,2,1,1,0,0
Brian Orakpo,TEN,@ IND,W  20-16,1.5,13.0,2,2,2,0,0
Olivier Vernon,NYG,@ WAS,L  10-20,1.5,8.5,2,3,2,0,0
Mario Addison,CAR,@ NYJ,W  35-27,1.0,8.0,1,1,1,0,0
Lorenzo Alexander,BUF,@ KC,W  16-10,1.0,16.0,2,2,0,0,0
Ezekiel Ansah,DET,vs MIN,L  23-30,1.0,5.0,1,2,0,0,0
Geno Atkins,CIN,vs CLE,W  30-16,1.0,8.5,4,2,4,0,0
Shaquil Barrett,DEN,@ OAK,L  14-21,1.0,5.0,1,2,0,1,1
Vonn Bell,NO,@ LA,L  20-26,1.0,0.0,0,8,2,0,0
Michael Bennett,SEA,@ SF,W  24-13,1.0,7.0,2,3,1,0,0
Jonathan Bullard,CHI,@ PHI,L  3-31,1.0,4.0,2,1,2,0,0
Jadeveon Clowney,HOU,@ BAL,L  16-23,1.0,8.0,2,2,0,0,0
Fletcher Cox,PHI,vs CHI,W  31-3,1.0,5.0,2,1,0,0,0
Mike Daniels,GB,@ PIT,L  28-31,1.0,10.0,1,6,2,0,0
Demario Davis,NYJ,vs CAR,L  27-35,1.0,1.0,2,7,3,0,0
Aaron Donald,LA,vs NO,W  26-20,1.0,6.0,1,3,2,0,0
Samson Ebukam,LA,vs NO,W  26-20,1.0,11.0,1,1,1,0,0
Junior Galette,WAS,vs NYG,W  20-10,1.0,13.0,2,1,0,1,0
Myles Garrett,CLE,@ CIN,L  16-30,1.0,5.0,3,2,0,0,0
Brandon Graham,PHI,vs CHI,W  31-3,1.0,8.0,1,5,0,1,0
Wes Horton,CAR,@ NYJ,W  35-27,1.0,9.0,1,1,3,1,0
Justin Houston,KC,vs BUF,L  10-16,1.0,8.0,2,3,1,0,0
Danielle Hunter,MIN,@ DET,W  30-23,1.0,4.0,1,2,0,0,1
Jonathan Jones,NE,vs MIA,W  35-17,1.0,15.0,1,9,0,0,0
Devon Kennard,NYG,@ WAS,L  10-20,1.0,7.0,1,2,2,0,0
Anthony Lanier,WAS,vs NYG,W  20-10,1.0,8.0,1,2,0,0,0
Eric Lee,NE,vs MIA,W  35-17,1.0,9.0,1,4,0,0,0
Darron Lee,NYJ,vs CAR,L  27-35,1.0,10.0,1,4,2,0,0
Corey Liuget,LAC,@ DAL,W  28-6,1.0,4.0,1,1,1,0,0
Khalil Mack,OAK,vs DEN,W  21-14,1.0,7.0,1,2,0,0,0
Takkarist McKinley,ATL,vs TB,W  34-20,1.0,4.0,1,1,1,0,0
Steve McLendon,NYJ,vs CAR,L  27-35,1.0,3.0,1,1,0,0,0
Derrick Morgan,TEN,@ IND,W  20-16,1.0,5.5,2,1,3,0,0
Yannick Ngakoue,JAX,@ ARI,L  24-27,1.0,5.0,1,2,0,1,0
Tenny Palepoi,LAC,@ DAL,W  28-6,1.0,7.0,1,1,1,0,0
Julius Peppers,CAR,@ NYJ,W  35-27,1.0,8.0,1,1,2,0,0
Olsen Pierre,ARI,vs JAX,W  27-24,1.0,12.0,1,1,1,0,0
Robert Quinn,LA,vs NO,W  26-20,1.0,6.0,0,3,2,1,0
Craig Robertson,NO,@ LA,L  20-26,1.0,7.0,1,6,1,0,0
Marcus Smith,SEA,@ SF,W  24-13,1.0,8.0,2,2,1,1,0
Daniel Sorensen,KC,vs BUF,L  10-16,1.0,11.0,2,7,0,0,0
Cedric Thornton,BUF,@ KC,W  16-10,1.0,2.0,1,1,0,0,0
Dalvin Tomlinson,NYG,@ WAS,L  10-20,1.0,9.0,1,1,1,0,0
Kyle Van Noy,NE,vs MIA,W  35-17,1.0,8.0,2,4,2,0,0
Cameron Wake,MIA,@ NE,L  17-35,1.0,6.0,5,3,0,0,0
Erik Walden,TEN,@ IND,W  20-16,1.0,2.0,1,2,1,0,0
Leterrius Walton,PIT,vs GB,W  31-28,1.0,5.0,1,1,0,0,0
T.J. Watt,PIT,vs GB,W  31-28,1.0,6.0,1,3,1,0,0
Avery Williamson,TEN,@ IND,W  20-16,1.0,0.0,1,2,7,0,0
Wesley Woodyard,TEN,@ IND,W  20-16,1.0,0.0,1,5,3,0,0
Jayon Brown,TEN,@ IND,W  20-16,0.5,1.5,1,1,1,0,0
Frank Clark,SEA,@ SF,W  24-13,0.5,4.0,2,1,1,0,0
Carlos Dunlap,CIN,vs CLE,W  30-16,0.5,4.0,1,3,2,0,0
Shelby Harris,DEN,@ OAK,L  14-21,0.5,2.0,1,1,2,0,0
Damon Harrison,NYG,@ WAS,L  10-20,0.5,2.5,1,2,1,0,0
Branden Jackson,SEA,@ SF,W  24-13,0.5,4.0,1,1,1,0,0
Von Miller,DEN,@ OAK,L  14-21,0.5,2.0,1,4,2,0,0
Pat Sims,CIN,vs CLE,W  30-16,0.5,4.5,1,0,1,0,0
Chris Smith,CIN,vs CLE,W  30-16,0.5,4.5,1,1,2,0,0
Akeem Spence,DET,vs MIN,L  23-30,0.5,2.5,1,1,3,0,0
Anthony Zettel,DET,vs MIN,L  23-30,0.5,2.5,4,0,1,0,0
Ameer Abdullah,DET,vs MIN,L  23-30,0.0,0.0,0,0,0,0,0
Sam Acho,CHI,@ PHI,L  3-31,0.0,0.0,2,2,2,0,0
Mike Adams,CAR,@ NYJ,W  35-27,0.0,0.0,0,0,2,0,0
Andrew Adams,NYG,@ WAS,L  10-20,0.0,0.0,0,2,0,0,0
Montravius Adams,GB,@ PIT,L  28-31,0.0,0.0,0,0,1,0,0
Jamal Adams,NYJ,vs CAR,L  27-35,0.0,0.0,0,3,1,0,0
Jahleel Addae,LAC,@ DAL,W  28-6,0.0,0.0,0,5,2,0,0
Nelson Agholor,PHI,vs CHI,W  31-3,0.0,0.0,0,0,0,0,0
Walt Aikens,MIA,@ NE,L  17-35,0.0,0.0,0,0,0,0,0
Kwon Alexander,TB,@ ATL,L  20-34,0.0,0.0,0,8,0,0,0
Robert Alford,ATL,vs TB,W  34-20,0.0,0.0,0,7,0,0,0
Chase Allen,MIA,@ NE,L  17-35,0.0,0.0,0,2,0,0,0
Ricardo Allen,ATL,vs TB,W  34-20,0.0,0.0,0,3,3,0,0
Kiko Alonso,MIA,@ NE,L  17-35,0.0,0.0,1,3,6,0,0
Tyson Alualu,PIT,vs GB,W  31-28,0.0,0.0,0,0,1,0,0
Danny Amendola,NE,vs MIA,W  35-17,0.0,0.0,0,0,0,0,0
Adrian Amos,CHI,@ PHI,L  3-31,0.0,0.0,0,6,0,1,0
Prince Amukamara,CHI,@ PHI,L  3-31,0.0,0.0,0,5,0,0,0
Zaire Anderson,DEN,@ OAK,L  14-21,0.0,0.0,0,0,1,0,0
Ryan Anderson,WAS,vs NYG,W  20-10,0.0,0.0,0,1,0,0,0
Bryan Anger,TB,@ ATL,L  20-34,0.0,0.0,0,0,0,0,0
Stephone Anthony,MIA,@ NE,L  17-35,0.0,0.0,0,0,1,0,0
Terron Armstead,NO,@ LA,L  20-26,0.0,0.0,0,0,0,0,0
Cameron Artis-Payne,CAR,@ NYJ,W  35-27,0.0,0.0,0,0,0,0,0
Richard Ash,DAL,vs LAC,L  6-28,0.0,0.0,0,2,0,0,0
Chidobe Awuzie,DAL,vs LAC,L  6-28,0.0,0.0,0,0,1,0,0
Johnson Bademosi,NE,vs MIA,W  35-17,0.0,0.0,0,0,0,0,0
