Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Antonio Brown,PIT,vs SF,W  43-18,9,195,21.7,1,0
Allen Robinson,,vs MIA,W  23-20,6,155,25.8,2,0
Steve Smith,BAL,@ OAK,L  33-37,10,150,15.0,0,0
Odell Beckham,NYG,vs ATL,L  20-24,7,146,20.9,1,0
Julio Jones,ATL,@ NYG,W  24-20,13,135,10.4,0,0
Donte Moncrief,IND,vs NYJ,L  7-20,7,122,17.4,1,0
Torrey Smith,SF,@ PIT,L  18-43,6,120,20.0,1,0
Randall Cobb,GB,vs SEA,W  27-17,8,116,14.5,0,0
Demaryius Thomas,DEN,@ KC,W  31-24,8,116,14.5,0,0
Travis Benjamin,CLE,vs TEN,W  28-14,3,115,38.3,2,0
Rishard Matthews,MIA,@,L  20-23,6,115,19.2,0,0
Rob Gronkowski,NE,@ BUF,W  40-32,7,113,16.1,1,0
Larry Fitzgerald,ARI,@ CHI,W  48-23,8,112,14.0,3,0
Michael Crabtree,OAK,vs BAL,W  37-33,9,111,12.3,1,0
Jarvis Landry,MIA,@,L  20-23,8,110,13.8,0,0
Amari Cooper,OAK,vs BAL,W  37-33,7,109,15.6,1,0
Brandon Marshall,NYJ,@ IND,W  20-7,7,101,14.4,1,0
Dion Lewis,NE,@ BUF,W  40-32,6,98,16.3,0,1
Eric Decker,NYJ,@ IND,W  20-7,8,97,12.1,1,0
Julian Edelman,NE,@ BUF,W  40-32,11,97,8.8,2,0
Doug Baldwin,SEA,@ GB,L  17-27,7,92,13.1,1,0
Kamar Aiken,BAL,@ OAK,L  33-37,5,89,17.8,0,1
Crockett Gillmore,BAL,@ OAK,L  33-37,5,88,17.6,2,0
Aaron Dobson,NE,@ BUF,W  40-32,7,87,12.4,0,0
Emmanuel Sanders,DEN,@ KC,W  31-24,8,87,10.9,2,0
Anthony Fasano,TEN,@ CLE,L  14-28,5,84,16.8,1,0
Terrance Williams,DAL,@ PHI,W  20-10,4,84,21.0,1,0
Calvin Johnson,DET,@ MIN,L  16-26,10,83,8.3,1,0
Louis Murphy,TB,@ NO,W  26-19,3,82,27.3,0,0
Jordan Reed,WAS,vs,W  24-10,6,82,13.7,0,0
Jordan Matthews,PHI,vs DAL,L  10-20,6,80,13.3,1,0
Golden Tate,DET,@ MIN,L  16-26,6,80,13.3,0,0
Leonard Hankerson,ATL,@ NYG,W  24-20,6,77,12.8,1,0
Darrius Heyward-Bey,PIT,vs SF,W  43-18,4,77,19.2,1,0
Jacob Tamme,ATL,@ NYG,W  24-20,4,77,19.2,0,0
Shane Vereen,NYG,vs ATL,L  20-24,8,76,9.5,0,0
Greg Olsen,CAR,vs HOU,W  24-17,6,70,11.7,0,0
Marques Colston,NO,vs TB,L  19-26,4,69,17.2,0,0
Allen Hurns,,vs MIA,W  23-20,4,68,17.0,0,0
Danny Woodhead,,@ CIN,L  19-24,6,68,11.3,0,0
Markus Wheaton,PIT,vs SF,W  43-18,2,67,33.5,0,0
Nate Washington,HOU,@ CAR,L  17-24,3,63,21.0,0,0
Jordan Cameron,MIA,@,L  20-23,3,62,20.7,0,0
Brandin Cooks,NO,vs TB,L  19-26,5,62,12.4,0,0
Vernon Davis,SF,@ PIT,L  18-43,5,62,12.4,0,0
Anquan Boldin,SF,@ PIT,L  18-43,6,60,10.0,1,0
Sammy Watkins,BUF,vs NE,L  32-40,6,60,10.0,1,0
Robert Woods,BUF,vs NE,L  32-40,3,60,20.0,1,0
Travis Kelce,KC,vs DEN,L  24-31,4,58,14.5,0,0
Adrian Peterson,MIN,vs DET,W  26-16,2,58,29.0,0,1
Corey Brown,CAR,vs HOU,W  24-17,3,57,19.0,1,0
Jeremy Maclin,KC,vs DEN,L  24-31,4,57,14.2,0,0
Jason Witten,DAL,@ PHI,W  20-10,7,56,8.0,0,0
Malcom Floyd,,@ CIN,L  19-24,2,55,27.5,1,0
Vincent Jackson,TB,@ NO,W  26-19,3,54,18.0,1,0
James O'Shaughnessy,KC,vs DEN,L  24-31,2,54,27.0,0,0
DeAndre Hopkins,HOU,@ CAR,L  17-24,5,53,10.6,0,0
DeMarco Murray,PHI,vs DAL,L  10-20,5,53,10.6,0,0
Andre Holmes,OAK,vs BAL,W  37-33,3,50,16.7,0,0
Tyler Eifert,CIN,vs,W  24-19,4,49,12.2,1,0
Josh Bellamy,CHI,vs ARI,L  23-48,1,48,48.0,1,0
Martellus Bennett,CHI,vs ARI,L  23-48,4,48,12.0,0,0
Marvin Jones,CIN,vs,W  24-19,2,48,24.0,1,0
Jared Cook,,@ WAS,L  10-24,5,47,9.4,0,0
Ladarius Green,,@ CIN,L  19-24,5,47,9.4,0,0
Percy Harvin,BUF,vs NE,L  32-40,4,47,11.8,0,0
John Brown,ARI,@ CHI,W  48-23,5,45,9.0,0,0
Lance Dunbar,DAL,@ PHI,W  20-10,3,45,15.0,0,0
Ryan Grant,WAS,vs,W  24-10,3,45,15.0,0,0
A.J. Green,CIN,vs,W  24-19,3,45,15.0,1,0
T.Y. Hilton,IND,vs NYJ,L  7-20,4,45,11.2,0,0
Steve Johnson,,@ CIN,L  19-24,5,45,9.0,1,0
Kenny Britt,,@ WAS,L  10-24,2,44,22.0,1,0
Matt Forte,CHI,vs ARI,L  23-48,4,44,11.0,0,0
Willie Snead,NO,vs TB,L  19-26,4,44,11.0,1,1
Eric Ebron,DET,@ MIN,L  16-26,5,43,8.6,1,0
Andrew Hawkins,CLE,vs TEN,W  28-14,3,43,14.3,0,0
Chase Coffman,TEN,@ CLE,L  14-28,4,42,10.5,0,0
Ted Ginn,CAR,vs HOU,W  24-17,4,41,10.2,1,0
Theo Riddick,DET,@ MIN,L  16-26,5,41,8.2,0,1
Eddie Royal,CHI,vs ARI,L  23-48,7,41,5.9,0,0
Jonathan Grimes,HOU,@ CAR,L  17-24,6,40,6.7,0,0
Mike Wallace,MIN,vs DET,W  26-16,3,38,12.7,0,0
Ty Montgomery,GB,vs SEA,W  27-17,4,37,9.2,0,0
Cameron Meredith,CHI,vs ARI,L  23-48,3,36,12.0,0,0
Luke Willson,SEA,@ GB,L  17-27,2,36,18.0,0,0
Devonta Freeman,ATL,@ NYG,W  24-20,4,34,8.5,0,0
Justin Hunter,TEN,@ CLE,L  14-28,2,34,17.0,0,0
Cecil Shorts,HOU,@ CAR,L  17-24,6,34,5.7,0,0
Davante Adams,GB,vs SEA,W  27-17,5,33,6.6,0,0
Brandon Coleman,NO,vs TB,L  19-26,3,33,11.0,0,0
Nelson Agholor,PHI,vs DAL,L  10-20,3,31,10.3,0,0
Jake Fisher,CIN,vs,W  24-19,1,31,31.0,0,0
Kyle Rudolph,MIN,vs DET,W  26-16,5,30,6.0,1,0
