Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Bradley Pinion,SF,vs OAK,W  34-3,3,164,54.7,48.0,1,1,64,0
Michael Dickson,SEA,vs LAC,L  17-25,6,317,52.8,50.0,0,4,61,0
Matt Bosher,ATL,@ WAS,W  38-14,2,103,51.5,51.5,0,1,55,0
Trevor Daniel,HOU,@ DEN,W  19-17,6,307,51.2,48.3,0,4,61,0
Michael Palardy,CAR,vs TB,W  42-28,4,200,50.0,46.3,0,1,59,0
Ryan Allen,NE,vs GB,W  31-17,3,149,49.7,49.7,0,2,53,0
Tress Way,WAS,vs ATL,L  14-38,5,245,49.0,48.2,0,4,62,0
Sam Koch,BAL,vs PIT,L  16-23,4,189,47.3,38.0,1,1,52,0
Colby Wadman,DEN,vs HOU,L  17-19,5,236,47.2,44.0,0,1,59,0
Johnny Hekker,LA,@ NO,L  35-45,1,47,47.0,47.0,0,0,47,0
Bryan Anger,TB,@ CAR,L  28-42,5,231,46.2,43.8,0,2,52,0
Lachlan Edwards,NYJ,@ MIA,L  6-13,6,277,46.2,40.0,0,1,60,0
Brett Kern,TEN,@ DAL,W  28-14,1,45,45.0,38.0,0,1,45,0
Matt Haack,MIA,vs NYJ,W  13-6,9,402,44.7,42.8,0,7,58,0
Chris Jones,DAL,vs TEN,L  14-28,3,134,44.7,41.0,0,0,47,0
Sam Martin,DET,@ MIN,L  9-24,5,222,44.4,39.6,0,1,52,0
Donnie Jones,LAC,@ SEA,W  25-17,6,258,43.0,42.3,0,2,53,0
J.K. Scott,GB,@ NE,L  17-31,5,210,42.0,42.0,0,1,53,0
Jordan Berry,PIT,@ BAL,W  23-16,3,123,41.0,38.0,0,1,45,0
Matt Wile,MIN,vs DET,W  24-9,4,163,40.8,40.8,0,3,45,0
Pat O'Donnell,CHI,@ BUF,W  41-9,5,200,40.0,37.4,0,4,61,0
Britton Colquitt,CLE,vs KC,L  21-37,1,39,39.0,19.5,0,1,39,1
Colton Schmidt,BUF,vs CHI,L  9-41,5,188,37.6,28.0,0,1,47,0
Johnny Townsend,OAK,@ SF,L  3-34,6,225,37.5,36.5,0,2,48,0
Thomas Morstead,NO,vs LA,W  45-35,2,67,33.5,33.5,0,2,39,0
Dustin Colquitt,KC,@ CLE,W  37-21,2,63,31.5,31.0,0,2,42,0
Ben Roethlisberger,PIT,@ BAL,W  23-16,1,27,27.0,9.0,0,0,27,0
