Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Matt Bryant,ATL,vs CAR,W  22-10,5,5,1,1,16
Phil Dawson,ARI,@ SEA,W  26-24,4,4,2,2,14
Robbie Gould,SF,@ LA,W  34-13,2,2,4,4,10
Stephen Hauschka,BUF,@ MIA,W  22-16,3,3,1,1,10
Harrison Butker,KC,@ DEN,W  27-24,2,2,3,3,9
Matt Prater,DET,vs GB,W  35-11,2,2,3,3,9
Ryan Succop,TEN,vs JAX,W  15-10,3,3,0,1,9
Justin Tucker,BAL,vs CIN,L  27-31,2,2,3,3,9
Adam Vinatieri,IND,vs HOU,W  22-13,2,2,2,2,8
Randy Bullock,CIN,@ BAL,W  31-27,1,1,4,4,7
Ka'imi Fairbairn,HOU,@ IND,L  13-22,2,2,1,1,7
Sam Ficken,LA,vs SF,L  13-34,2,2,1,1,7
Chandler Catanzaro,NYJ,@ NE,L  6-26,2,3,0,0,6
Zane Gonzalez,CLE,@ PIT,L  24-28,1,1,3,3,6
Stephen Gostkowski,NE,vs NYJ,W  26-6,1,1,3,3,6
Wil Lutz,NO,@ TB,L  24-31,1,1,3,3,6
Brandon McManus,DEN,vs KC,L  24-27,1,1,3,3,6
Aldrick Rosas,NYG,vs WAS,W  18-10,2,2,0,1,6
Nick Rose,LAC,vs OAK,W  30-10,1,2,3,4,6
Blair Walsh,SEA,vs ARI,L  24-26,1,2,3,3,6
Patrick Murray,TB,vs NO,W  31-24,1,1,2,3,5
Chris Boswell,PIT,vs CLE,W  28-24,0,0,4,4,4
Graham Gano,CAR,@ ATL,L  10-22,1,1,1,1,4
Dustin Hopkins,WAS,@ NYG,L  10-18,1,2,1,1,4
Josh Lambo,JAX,@ TEN,L  10-15,1,1,1,1,4
Mike Nugent,CHI,@ MIN,L  10-23,1,1,1,1,4
Cody Parkey,MIA,vs BUF,L  16-22,1,1,1,1,4
Giorgio Tavecchio,OAK,@ LAC,L  10-30,1,1,1,1,4
Mason Crosby,GB,@ DET,L  11-35,1,1,0,0,3
Kai Forbath,MIN,vs CHI,W  23-10,0,1,3,3,3
Dan Bailey,DAL,@ PHI,W  6-0,0,1,0,1,0
