Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Travis Kelce,KC,@ OAK,W  40-33,12,168,14.0,2,1
Tarik Cohen,CHI,@ NYG,L  27-30,12,156,13.0,0,0
Antonio Brown,PIT,vs LAC,L  30-33,10,154,15.4,1,0
Keenan Allen,LAC,@ PIT,W  33-30,14,148,10.6,1,0
Dante Pettis,SF,@ SEA,L  16-43,5,129,25.8,2,0
Taywan Taylor,TEN,vs NYJ,W  26-22,3,104,34.7,0,0
Jarvis Landry,CLE,@ HOU,L  13-29,6,103,17.2,0,0
Chris Godwin,TB,vs CAR,W  24-17,5,101,20.2,1,0
Jared Cook,OAK,vs KC,L  33-40,7,100,14.3,1,0
Tyler Boyd,CIN,vs DEN,L  10-24,6,97,16.2,0,0
Jordy Nelson,OAK,vs KC,L  33-40,10,97,9.7,0,0
Davante Adams,GB,vs ARI,L  17-20,8,93,11.6,1,0
James White,NE,vs MIN,W  24-10,7,92,13.1,0,0
DeAndre Hopkins,HOU,vs CLE,W  29-13,7,91,13.0,0,0
Levine Toilolo,DET,vs LA,L  16-30,4,90,22.5,0,0
Curtis Samuel,CAR,@ TB,L  17-24,6,88,14.7,0,0
Courtland Sutton,DEN,@ CIN,W  24-10,4,85,21.2,1,0
Golden Tate,PHI,vs WAS,W  28-13,7,85,12.1,1,0
Antonio Callaway,CLE,@ HOU,L  13-29,3,84,28.0,0,1
Zach Ertz,PHI,vs WAS,W  28-13,9,83,9.2,0,0
Eric Ebron,IND,@ JAX,L  0-6,10,81,8.1,0,1
Allen Robinson,CHI,@ NYG,L  27-30,5,79,15.8,0,0
T.Y. Hilton,IND,@ JAX,L  0-6,8,77,9.6,0,0
Amari Cooper,DAL,vs NO,W  13-10,8,76,9.5,0,1
Michael Gallup,DAL,vs NO,W  13-10,5,76,15.2,0,0
Jeffery Wilson,SF,@ SEA,L  16-43,8,73,9.1,0,1
George Kittle,SF,@ SEA,L  16-43,6,70,11.7,0,0
Jaron Brown,SEA,vs SF,W  43-16,3,67,22.3,2,0
Zay Jones,BUF,@ MIA,L  17-21,4,67,16.8,2,0
Robert Woods,LA,@ DET,W  30-16,5,67,13.4,1,0
Brandin Cooks,LA,@ DET,W  30-16,4,62,15.5,0,0
Rashard Higgins,CLE,@ HOU,L  13-29,4,62,15.5,1,0
Adam Humphries,TB,vs CAR,W  24-17,7,61,8.7,1,0
Kendrick Bourne,SF,@ SEA,L  16-43,4,60,15.0,0,0
Ezekiel Elliott,DAL,vs NO,W  13-10,6,60,10.0,1,0
