Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Dak Prescott,DAL,@ NYG,W  36-35,27,44,387,4,0,4,0,120.2
Matt Ryan,ATL,@ TB,W  34-32,31,44,378,2,1,1,0,102.3
Baker Mayfield,CLE,@ BAL,L  24-26,23,42,376,3,3,0,0,79.1
Jameis Winston,TB,vs ATL,L  32-34,22,35,345,4,1,1,0,121.7
Eli Manning,NYG,vs DAL,L  35-36,24,41,301,2,1,1,1,87.6
Case Keenum,DEN,vs LAC,L  9-23,31,48,292,1,1,1,1,79.5
Ben Roethlisberger,PIT,vs CIN,W  16-13,31,45,287,1,1,1,0,84.2
Andrew Luck,IND,@ TEN,W  33-17,24,35,285,3,1,1,0,109.8
Nick Mullens,SF,@ LA,L  32-48,23,33,282,3,3,3,0,88.2
Patrick Mahomes,KC,vs OAK,W  35-3,14,24,281,2,1,0,0,109.9
Matthew Stafford,DET,@ GB,W  31-0,20,32,266,2,0,1,0,109.6
Tom Brady,NE,vs NYJ,W  38-3,24,33,250,4,0,1,0,133.8
Deshaun Watson,HOU,vs JAX,W  20-3,25,35,234,0,0,6,0,89.5
Kyle Allen,CAR,@ NO,W  33-14,16,27,228,2,0,0,0,111.3
Josh Allen,BUF,vs MIA,W  42-17,17,26,224,3,1,1,0,114.9
Nick Foles,PHI,@ WAS,W  24-0,28,33,221,2,1,3,0,102.1
Jared Goff,LA,vs SF,W  48-32,15,26,199,4,0,0,0,121.6
Derek Carr,OAK,@ KC,L  3-35,24,33,185,0,2,3,1,60.8
Lamar Jackson,BAL,vs CLE,W  26-24,14,24,179,0,0,2,1,81.8
Philip Rivers,LAC,@ DEN,W  23-9,14,24,176,1,2,0,0,60.4
Sam Darnold,NYJ,@ NE,L  3-38,16,28,167,0,0,4,1,74.6
Blaine Gabbert,TEN,vs IND,L  17-33,18,29,165,1,2,0,0,60.3
Mitchell Trubisky,CHI,@ MIN,W  24-10,18,26,163,0,0,0,0,85.9
Russell Wilson,SEA,vs ARI,W  27-24,12,21,152,1,1,6,0,75.9
Josh Rosen,ARI,@ SEA,L  24-27,18,34,149,1,0,6,2,74.3
Ryan Tannehill,MIA,@ BUF,L  17-42,18,31,147,0,2,4,1,43.3
Kirk Cousins,MIN,vs CHI,L  10-24,20,33,132,1,0,4,0,79.4
DeShone Kizer,GB,vs DET,L  0-31,16,35,132,0,1,2,0,44.0
Teddy Bridgewater,NO,vs CAR,L  14-33,14,22,118,1,1,2,0,73.7
Blake Bortles,JAX,@ HOU,L  3-20,15,28,107,0,1,3,0,47.8
Jeff Driskel,CIN,@ PIT,L  13-16,12,24,95,0,0,4,0,60.2
Josh Johnson,WAS,vs PHI,L  0-24,12,27,91,0,1,4,0,37.7
Garrett Gilbert,CAR,@ NO,W  33-14,2,3,40,0,0,1,0,109.7
Chad Henne,KC,vs OAK,W  35-3,2,3,29,0,0,0,0,97.9
Aaron Rodgers,GB,vs DET,L  0-31,3,5,26,0,0,1,0,73.8
Sean Mannion,LA,vs SF,W  48-32,2,3,23,0,0,0,0,89.6
Nate Sudfeld,PHI,@ WAS,W  24-0,1,1,22,1,0,0,0,158.3
Matt Prater,DET,@ GB,W  31-0,1,1,8,1,0,0,0,139.6
Tress Way,WAS,vs PHI,L  0-24,1,1,7,0,0,0,0,95.8
Mohamed Sanu,ATL,@ TB,W  34-32,1,1,5,1,0,0,0,127.1
Kenny Stills,MIA,@ BUF,L  17-42,1,1,3,1,0,0,0,118.8
Geno Smith,LAC,@ DEN,W  23-9,0,0,0,0,0,1,1,0.0
