Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Stephen Gostkowski,NE,@ BUF,W  40-32,4,4,4,4,16
Justin Tucker,BAL,@ OAK,L  33-37,4,4,3,3,15
Kyle Brindza,TB,@ NO,W  26-19,4,5,2,2,14
Mason Crosby,GB,vs SEA,W  27-17,4,4,1,1,13
Sebastian Janikowski,OAK,vs BAL,W  37-33,3,3,4,4,13
Robbie Gould,CHI,vs ARI,L  23-48,3,3,2,2,11
Jason Myers,,vs MIA,W  23-20,3,3,2,2,11
Dan Bailey,DAL,@ PHI,W  20-10,2,2,2,2,8
Josh Brown,NYG,vs ATL,L  20-24,2,2,2,2,8
Nick Folk,NYJ,@ IND,W  20-7,2,3,2,2,8
Andrew Franks,MIA,@,L  20-23,2,3,2,2,8
Blair Walsh,MIN,vs DET,W  26-16,2,2,2,3,8
Josh Lambo,,@ CIN,L  19-24,2,3,1,1,7
Brandon McManus,DEN,@ KC,W  31-24,1,1,4,4,7
Matt Bryant,ATL,@ NYG,W  24-20,1,1,3,3,6
Chandler Catanzaro,ARI,@ CHI,W  48-23,0,0,6,7,6
Graham Gano,CAR,vs HOU,W  24-17,1,2,3,3,6
Dustin Hopkins,WAS,vs,W  24-10,1,1,3,3,6
Mike Nugent,CIN,vs,W  24-19,1,2,3,3,6
Cairo Santos,KC,vs DEN,L  24-31,1,1,3,3,6
Randy Bullock,HOU,@ CAR,L  17-24,1,1,2,2,5
Stephen Hauschka,SEA,@ GB,L  17-27,1,1,2,2,5
Travis Coons,CLE,vs TEN,W  28-14,0,0,4,4,4
Phil Dawson,SF,@ PIT,L  18-43,1,1,1,1,4
Cody Parkey,PHI,vs DAL,L  10-20,1,1,1,1,4
Matt Prater,DET,@ MIN,L  16-26,1,1,1,1,4
Greg Zuerlein,,@ WAS,L  10-24,1,1,1,1,4
Josh Scobee,PIT,vs SF,W  43-18,0,0,3,4,3
Dan Carpenter,BUF,vs NE,L  32-40,0,0,2,3,2
Ryan Succop,TEN,@ CLE,L  14-28,0,0,2,2,2
Zach Hocker,NO,vs TB,L  19-26,0,1,1,2,1
Adam Vinatieri,IND,vs NYJ,L  7-20,0,1,1,1,1
