Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Brad Nortman,JAX,@ CHI,W  17-16,5,275,55.0,52.2,0,2,60,0
Marquette King,OAK,vs KC,L  10-26,3,159,53.0,36.3,0,0,58,0
Thomas Morstead,NO,vs CAR,W  41-38,4,211,52.8,44.8,0,0,61,0
Tress Way,WAS,vs PHI,W  27-20,4,211,52.8,40.0,1,1,58,0
Sam Martin,DET,vs LA,W  31-28,2,104,52.0,51.0,0,1,56,0
Brad Wing,NYG,vs BAL,W  27-23,4,205,51.3,50.5,0,1,57,0
Britton Colquitt,CLE,@ TEN,L  26-28,7,356,50.9,43.7,1,0,65,0
Colton Schmidt,BUF,vs SF,W  45-16,3,152,50.7,40.0,1,1,54,0
Andy Lee,CAR,@ NO,L  38-41,5,242,48.4,35.8,0,4,61,0
Sam Koch,BAL,@ NYG,L  23-27,5,239,47.8,45.6,0,3,60,0
Drew Kaser,,vs DEN,W  21-13,5,237,47.4,44.0,0,4,60,0
Johnny Hekker,LA,@ DET,L  28-31,2,94,47.0,45.0,0,0,54,0
Jacob Schum,GB,vs DAL,L  16-30,1,47,47.0,47.0,0,1,47,0
Jon Ryan,SEA,vs ATL,W  26-24,5,230,46.0,39.8,1,2,58,0
Pat McAfee,IND,@ HOU,L  23-26,5,227,45.4,40.8,0,3,61,0
Brett Kern,TEN,vs CLE,W  28-26,5,225,45.0,43.8,0,3,52,0
Ryan Allen,NE,vs CIN,W  35-17,3,133,44.3,40.3,0,2,52,0
Donnie Jones,PHI,@ WAS,L  20-27,6,266,44.3,42.2,0,3,55,0
Riley Dixon,DEN,@,L  13-21,5,221,44.2,38.6,0,2,48,0
Pat O'Donnell,CHI,vs JAX,L  16-17,6,261,43.5,43.0,0,4,50,0
Lachlan Edwards,NYJ,@ ARI,L  3-28,7,295,42.1,41.6,0,1,49,0
Bradley Pinion,SF,@ BUF,L  16-45,5,209,41.8,34.6,1,1,57,0
Chris Jones,DAL,@ GB,W  30-16,2,83,41.5,29.0,0,1,42,0
Matt Bosher,ATL,@ SEA,L  24-26,4,165,41.3,36.0,0,2,45,0
Kevin Huber,CIN,@ NE,L  17-35,4,164,41.0,28.8,0,0,52,0
Dustin Colquitt,KC,@ OAK,W  26-10,3,122,40.7,36.3,0,2,46,0
Shane Lechler,HOU,vs IND,W  26-23,5,202,40.4,37.8,0,2,52,0
Ryan Quigley,ARI,vs NYJ,W  28-3,5,200,40.0,40.0,0,2,47,0
Matt Darr,MIA,vs PIT,W  30-15,2,77,38.5,38.5,0,1,43,0
Jordan Berry,PIT,@ MIA,L  15-30,5,180,36.0,30.8,0,2,49,0
