Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Kai Forbath,MIN,vs BAL,W  24-16,6,6,0,1,18
Chris Boswell,PIT,vs CIN,W  29-14,5,5,2,2,17
Greg Zuerlein,LA,vs ARI,W  33-0,4,4,3,3,15
Harrison Butker,KC,@ OAK,L  30-31,3,3,3,3,12
Stephen Hauschka,BUF,vs TB,W  30-27,3,4,3,3,12
Ryan Succop,TEN,@ CLE,W  12-9,4,5,0,0,12
Stephen Gostkowski,NE,vs ATL,W  23-7,3,3,2,2,11
Jake Elliott,PHI,vs WAS,W  34-24,2,3,4,4,10
Justin Tucker,BAL,@ MIN,L  16-24,3,3,1,1,10
Zane Gonzalez,CLE,vs TEN,L  9-12,3,3,0,0,9
Josh Lambo,JAX,@ IND,W  27-0,2,2,3,3,9
Patrick Murray,TB,@ BUF,L  27-30,2,2,3,3,9
Wil Lutz,NO,@ GB,W  26-17,2,2,2,3,8
Cody Parkey,MIA,vs NYJ,W  31-28,1,1,4,4,7
Giorgio Tavecchio,OAK,vs KC,W  31-30,1,3,4,4,7
Nick Rose,WAS,@ PHI,L  24-34,1,1,3,3,6
Blair Walsh,SEA,@ NYG,W  24-7,1,1,3,3,6
Connor Barth,CHI,vs CAR,W  17-3,1,2,2,2,5
Mason Crosby,GB,vs NO,L  17-26,1,2,2,2,5
Chandler Catanzaro,NYJ,@ MIA,L  28-31,0,0,4,4,4
Robbie Gould,SF,vs DAL,L  10-40,1,1,1,1,4
Graham Gano,CAR,@ CHI,L  3-17,1,1,0,0,3
Nick Novak,LAC,vs DEN,W  21-0,0,0,3,3,3
Dan Bailey,DAL,@ SF,W  40-10,0,0,2,2,2
Randy Bullock,CIN,@ PIT,L  14-29,0,0,2,2,2
Jeff Heath,DAL,@ SF,W  40-10,0,0,2,3,2
Matt Bryant,ATL,@ NE,L  7-23,0,2,1,1,1
Aldrick Rosas,NYG,vs SEA,L  7-24,0,1,1,1,1
Phil Dawson,ARI,@ LA,L  0-33,0,1,0,0,0
