Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Ka'imi Fairbairn,HOU,@ NYJ,W  29-22,5,5,2,2,17
Robbie Gould,SF,vs SEA,W  26-23,4,4,2,2,14
Randy Bullock,CIN,vs OAK,W  30-16,3,3,3,3,12
Jake Elliott,PHI,@ LA,W  30-23,3,4,3,3,12
Dan Bailey,MIN,vs MIA,W  41-17,2,2,5,5,11
Adam Vinatieri,IND,vs DAL,W  23-0,3,3,2,2,11
Greg Zuerlein,LA,vs PHI,L  23-30,3,3,2,2,11
Matt Bryant,ATL,vs ARI,W  40-14,2,2,4,4,10
Daniel Carlson,OAK,@ CIN,L  16-30,3,3,1,1,10
Dustin Hopkins,WAS,@ JAX,W  16-13,3,3,1,1,10
Brandon McManus,DEN,vs CLE,L  16-17,3,3,1,1,10
Mason Crosby,GB,@ CHI,L  17-24,3,3,0,0,9
Justin Tucker,BAL,vs TB,W  20-12,2,2,2,2,8
Kai Forbath,JAX,vs WAS,L  13-16,2,2,1,1,7
Wil Lutz,NO,@ CAR,W  12-9,2,2,0,0,6
Cody Parkey,CHI,vs GB,W  24-17,1,1,3,3,6
Cairo Santos,TB,@ BAL,L  12-20,2,2,0,0,6
Chris Boswell,PIT,vs NE,W  17-10,1,2,2,2,5
Sebastian Janikowski,SEA,@ SF,L  23-26,1,1,2,3,5
Greg Joseph,CLE,@ DEN,W  17-16,1,1,2,2,5
Jason Sanders,MIA,@ MIN,L  17-41,1,1,2,2,5
Ryan Succop,TEN,@ NYG,W  17-0,1,2,2,2,5
Harrison Butker,KC,vs LAC,L  28-29,0,0,4,4,4
Stephen Gostkowski,NE,@ PIT,L  10-17,1,1,1,1,4
Jason Myers,NYJ,vs HOU,L  22-29,1,1,1,3,4
Michael Badgley,LAC,@ KC,W  29-28,0,0,3,3,3
Zane Gonzalez,ARI,@ ATL,L  14-40,0,0,2,2,2
Stephen Hauschka,BUF,vs DET,W  14-13,0,0,2,2,2
Chandler Catanzaro,CAR,vs NO,L  9-12,0,0,1,1,1
Matt Prater,DET,@ BUF,L  13-14,0,1,1,1,1
Brett Maher,DAL,@ IND,L  0-23,0,1,0,0,0
