Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Chris Boswell,PIT,vs BAL,W  39-38,4,4,3,3,15
Harrison Butker,KC,vs OAK,W  26-15,4,4,2,2,14
Robbie Gould,SF,@ HOU,W  26-16,4,4,2,2,14
Jake Elliott,PHI,@ LA,W  43-35,3,3,4,4,13
Travis Coons,LAC,vs WAS,W  30-13,3,3,3,3,12
Phil Dawson,ARI,vs TEN,W  12-7,4,5,0,0,12
Josh Lambo,JAX,vs SEA,W  30-24,3,3,3,3,12
Brandon McManus,DEN,vs NYJ,W  23-0,3,4,2,2,11
Kai Forbath,MIN,@ CAR,L  24-31,3,4,1,1,10
Mike Nugent,CHI,@ CIN,W  33-7,2,2,3,4,9
Cody Parkey,MIA,vs NE,W  27-20,2,2,3,3,9
Matt Bryant,ATL,vs NO,W  20-17,2,2,2,2,8
Stephen Gostkowski,NE,@ MIA,L  20-27,2,2,2,2,8
Justin Tucker,BAL,@ PIT,L  38-39,1,1,5,5,8
Graham Gano,CAR,vs MIN,W  31-24,1,1,4,4,7
Dan Bailey,DAL,@ NYG,W  30-10,1,3,3,4,6
Matt Prater,DET,@ TB,W  24-21,1,1,3,3,6
Blair Walsh,SEA,@ JAX,L  24-30,1,2,3,3,6
Wil Lutz,NO,@ ATL,L  17-20,1,1,2,2,5
Greg Zuerlein,LA,vs PHI,L  35-43,0,0,5,5,5
Ka'imi Fairbairn,HOU,vs SF,L  16-26,1,2,1,2,4
Aldrick Rosas,NYG,vs DAL,L  10-30,1,1,1,1,4
Mason Crosby,GB,@ CLE,W  27-21,0,0,3,3,3
Zane Gonzalez,CLE,vs GB,L  21-27,0,0,3,3,3
Patrick Murray,TB,vs DET,L  21-24,0,0,3,3,3
Randy Bullock,CIN,vs CHI,L  7-33,0,0,1,1,1
Stephen Hauschka,BUF,vs IND,W  13-7,0,0,1,1,1
Nick Rose,WAS,@ LAC,L  13-30,0,0,1,2,1
Ryan Succop,TEN,@ ARI,L  7-12,0,1,1,1,1
Giorgio Tavecchio,OAK,@ KC,L  15-26,0,0,1,1,1
Adam Vinatieri,IND,@ BUF,L  7-13,0,2,1,1,1
