Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Jared Goff,LA,vs HOU,W  33-7,25,37,355,3,0,3,0,125.4
Kirk Cousins,WAS,vs MIN,L  30-38,26,45,327,1,1,1,0,78.7
Case Keenum,MIN,@ WAS,W  38-30,21,29,304,4,2,0,0,117.0
Mitchell Trubisky,CHI,vs GB,L  16-23,21,35,297,1,0,5,0,97.0
C.J. Beathard,SF,vs NYG,W  31-21,19,25,288,2,1,0,0,123.4
Blake Bortles,JAX,vs LAC,W  20-17,28,51,273,1,2,3,0,60.3
Eli Manning,NYG,@ SF,L  21-31,28,37,273,2,0,3,1,113.9
Drew Stanton,ARI,vs SEA,L  16-22,24,47,273,1,0,2,0,75.9
Tom Brady,NE,@ DEN,W  41-16,25,34,266,3,0,1,0,125.4
Andy Dalton,CIN,@ TEN,L  20-24,20,35,265,2,0,1,2,100.3
Marcus Mariota,TEN,vs CIN,W  24-20,25,44,264,1,1,4,0,72.5
Josh McCown,NYJ,@ TB,L  10-15,23,39,262,1,1,6,0,77.1
Cam Newton,CAR,vs MIA,W  45-21,21,35,254,4,0,0,0,120.4
Matthew Stafford,DET,vs CLE,W  38-24,17,26,249,3,1,4,0,118.9
Russell Wilson,SEA,@ ARI,W  22-16,22,32,238,2,0,5,0,111.2
Ben Roethlisberger,PIT,@ IND,W  20-17,19,31,236,2,1,1,0,92.9
Philip Rivers,LAC,@ JAX,L  17-20,21,37,235,2,1,0,0,82.6
DeShone Kizer,CLE,@ DET,L  24-38,21,37,232,1,1,1,0,73.3
Jacoby Brissett,IND,vs PIT,L  17-20,14,24,222,2,1,3,0,99.7
Brock Osweiler,DEN,vs NE,L  16-41,18,33,221,1,1,0,0,72.9
Tom Savage,HOU,@ LA,L  7-33,18,36,221,1,2,3,2,55.4
Matt Ryan,ATL,vs DAL,W  27-7,22,29,215,2,1,1,0,104.8
Jay Cutler,MIA,@ CAR,L  21-45,22,37,213,2,1,0,0,82.4
Brett Hundley,GB,@ CHI,W  23-16,18,25,212,1,0,3,0,110.8
Ryan Fitzpatrick,TB,vs NYJ,W  15-10,17,34,187,1,1,1,0,64.2
Drew Brees,NO,@ BUF,W  47-10,18,25,184,0,0,0,0,92.8
Dak Prescott,DAL,@ ATL,L  7-27,20,30,176,0,0,8,2,82.1
Nathan Peterman,BUF,vs NO,L  10-47,7,10,79,1,0,0,0,126.7
Tyrod Taylor,BUF,vs NO,L  10-47,9,18,56,0,1,2,0,33.6
Brian Hoyer,NE,@ DEN,W  41-16,3,3,37,0,0,0,0,118.1
Johnny Hekker,LA,vs HOU,W  33-7,1,1,6,0,0,0,0,91.7
Cody Kessler,CLE,@ DET,L  24-38,1,3,5,0,0,3,0,42.4
