Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Robert Woods,LA,vs HOU,W  33-7,8,171,21.4,2,0
Adam Thielen,MIN,@ WAS,W  38-30,8,166,20.8,1,0
Sterling Shepard,NYG,@ SF,L  21-31,11,142,12.9,0,0
Emmanuel Sanders,DEN,vs NE,L  16-41,6,137,22.8,0,0
Michael Thomas,NO,@ BUF,W  47-10,9,117,13.0,0,0
A.J. Green,CIN,@ TEN,L  20-24,5,115,23.0,1,0
Larry Fitzgerald,ARI,vs SEA,L  16-22,10,113,11.3,0,0
DeAndre Hopkins,HOU,@ LA,L  7-33,7,111,15.9,0,0
Chester Rogers,IND,vs PIT,L  17-20,6,104,17.3,1,0
JuJu Smith-Schuster,PIT,@ IND,W  20-17,5,97,19.4,1,0
Golden Tate,DET,vs CLE,W  38-24,6,97,16.2,1,0
Doug Baldwin,SEA,@ ARI,W  22-16,5,95,19.0,0,0
Brandon LaFell,CIN,@ TEN,L  20-24,6,95,15.8,1,0
Devin Funchess,CAR,vs MIA,W  45-21,5,92,18.4,2,0
Davante Adams,GB,@ CHI,W  23-16,5,90,18.0,1,0
Dontrelle Inman,CHI,vs GB,L  16-23,6,88,14.7,0,0
Robby Anderson,NYJ,@ TB,L  10-15,4,85,21.2,1,0
Marquise Goodwin,SF,vs NYG,W  31-21,1,83,83.0,1,0
DeSean Jackson,TB,vs NYJ,W  15-10,6,82,13.7,0,0
Stefon Diggs,MIN,@ WAS,W  38-30,4,78,19.5,1,0
Austin Ekeler,LAC,@ JAX,L  17-20,5,77,15.4,2,1
Jamison Crowder,WAS,vs MIN,L  30-38,4,76,19.0,0,0
Vernon Davis,WAS,vs MIN,L  30-38,7,76,10.9,0,0
Brandin Cooks,NE,@ DEN,W  41-16,6,74,12.3,0,0
Rob Gronkowski,NE,@ DEN,W  41-16,4,74,18.5,0,0
Seth DeValve,CLE,@ DET,L  24-38,4,70,17.5,0,1
Allen Hurns,JAX,vs LAC,W  20-17,7,70,10.0,0,0
Chris Godwin,TB,vs NYJ,W  15-10,5,68,13.6,0,0
Todd Gurley,LA,vs HOU,W  33-7,6,68,11.3,0,0
Garrett Celek,SF,vs NYG,W  31-21,4,67,16.8,1,0
Austin Seferian-Jenkins,NYJ,@ TB,L  10-15,6,67,11.2,0,0
Kenny Stills,MIA,@ CAR,L  21-45,5,67,13.4,0,0
DeVante Parker,MIA,@ CAR,L  21-45,6,66,11.0,0,0
Kenny Golladay,DET,vs CLE,W  38-24,2,64,32.0,0,0
Jermaine Gresham,ARI,vs SEA,L  16-22,5,64,12.8,1,0
Delanie Walker,TEN,vs CIN,W  24-20,6,63,10.5,0,0
Keelan Cole,JAX,vs LAC,W  20-17,3,61,20.3,0,0
Donte Moncrief,IND,vs PIT,L  17-20,1,60,60.0,1,0
Jason Witten,DAL,@ ATL,L  7-27,7,59,8.4,0,0
Taylor Gabriel,ATL,vs DAL,W  27-7,3,58,19.3,0,0
Josh Bellamy,CHI,vs GB,L  16-23,2,57,28.5,1,0
