Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
T.Y. Hilton,IND,@ HOU,W  20-14,5,175,35.0,2,0
Terrance Williams,DAL,vs KC,W  28-17,9,141,15.7,0,0
Jared Cook,OAK,@ MIA,W  27-24,8,126,15.8,0,0
Julio Jones,ATL,@ CAR,L  17-20,6,118,19.7,0,0
Golden Tate,DET,@ GB,W  30-17,7,113,16.1,0,0
Doug Baldwin,SEA,vs WAS,L  14-17,7,108,15.4,1,0
Marvin Jones,DET,@ GB,W  30-17,7,107,15.3,2,0
Jeremy Maclin,BAL,@ TEN,L  20-23,8,98,12.2,0,0
Devin Funchess,CAR,vs ATL,W  20-17,5,86,17.2,0,0
DeAndre Hopkins,HOU,vs IND,L  14-20,6,86,14.3,1,0
Carlos Hyde,SF,vs ARI,L  10-20,9,84,9.3,0,0
Alshon Jeffery,PHI,vs DEN,W  51-23,6,84,14.0,2,0
Alvin Kamara,NO,vs TB,W  30-10,6,84,14.0,1,1
Julius Thomas,MIA,vs OAK,L  24-27,6,84,14.0,1,0
Deonte Thompson,BUF,@ NYJ,L  21-34,7,81,11.6,1,0
Tyler Kroft,CIN,@ JAX,L  7-23,2,79,39.5,0,0
DeVante Parker,MIA,vs OAK,L  24-27,5,76,15.2,0,0
Marqise Lee,JAX,vs CIN,W  23-7,8,75,9.4,1,0
Dez Bryant,DAL,vs KC,W  28-17,6,73,12.2,0,0
Travis Kelce,KC,@ DAL,L  17-28,7,73,10.4,1,0
Vernon Davis,WAS,@ SEA,W  17-14,6,72,12.0,0,0
Delanie Walker,TEN,vs BAL,W  23-20,5,71,14.2,0,0
Evan Engram,NYG,vs LA,L  17-51,4,70,17.5,1,0
Larry Fitzgerald,ARI,@ SF,W  20-10,5,70,14.0,0,0
Rishard Matthews,TEN,vs BAL,W  23-20,4,70,17.5,1,0
Sterling Shepard,NYG,vs LA,L  17-51,5,70,14.0,0,0
Demaryius Thomas,DEN,@ PHI,L  23-51,8,70,8.8,1,0
Robert Woods,LA,@ NYG,W  51-17,4,70,17.5,2,0
Marquise Goodwin,SF,vs ARI,L  10-20,2,68,34.0,0,0
Sammy Watkins,LA,@ NYG,W  51-17,1,67,67.0,1,0
Michael Thomas,NO,vs TB,W  30-10,8,65,8.1,0,0
Tyreek Hill,KC,@ DAL,L  17-28,2,64,32.0,1,0
Jack Doyle,IND,@ HOU,W  20-14,8,63,7.9,0,0
Theo Riddick,DET,@ GB,W  30-17,4,62,15.5,0,0
Josh Doctson,WAS,@ SEA,W  17-14,3,59,19.7,0,0
Ted Ginn,NO,vs TB,W  30-10,4,59,14.8,1,0
Jimmy Graham,SEA,vs WAS,L  14-17,5,59,11.8,0,0
Randall Cobb,GB,vs DET,L  17-30,5,58,11.6,0,0
Amari Cooper,OAK,@ MIA,W  27-24,4,58,14.5,0,0
Taylor Gabriel,ATL,@ CAR,L  17-20,3,56,18.7,0,0
Cooper Kupp,LA,@ NYG,W  51-17,3,54,18.0,0,0
Davante Adams,GB,vs DET,L  17-30,7,53,7.6,0,0
Zay Jones,BUF,@ NYJ,L  21-34,6,53,8.8,1,0
John Brown,ARI,@ SF,W  20-10,1,52,52.0,0,0
Cody Latimer,DEN,@ PHI,L  23-51,2,51,25.5,0,0
Nick O'Leary,BUF,@ NYJ,L  21-34,4,51,12.8,0,1
Marcedes Lewis,JAX,vs CIN,W  23-7,3,49,16.3,0,0
Brian Quick,WAS,@ SEA,W  17-14,3,49,16.3,0,0
Robby Anderson,NYJ,vs BUF,W  34-21,4,48,12.0,1,0
Keelan Cole,JAX,vs CIN,W  23-7,3,47,15.7,0,0
Damien Williams,MIA,vs OAK,L  24-27,6,47,7.8,1,0
Coby Fleener,NO,vs TB,W  30-10,2,46,23.0,0,0
Jordan Matthews,BUF,@ NYJ,L  21-34,6,46,7.7,0,1
