Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Stephen Hauschka,SEA,vs CAR,W  40-7,4,4,4,4,16
Matt Prater,DET,@ NO,W  28-13,5,5,1,1,16
Stephen Gostkowski,NE,vs LA,W  26-10,4,4,2,2,14
Mike Nugent,CIN,vs PHI,W  32-14,4,4,2,3,14
Sebastian Janikowski,OAK,vs BUF,W  38-24,3,3,3,3,12
Dustin Hopkins,WAS,@ ARI,L  23-31,3,3,2,2,11
Adam Vinatieri,IND,@ NYJ,W  41-10,2,2,5,5,11
Matt Bryant,ATL,vs KC,L  28-29,3,3,1,1,10
Randy Bullock,PIT,vs NYG,W  24-14,3,3,1,1,10
Kai Forbath,MIN,vs DAL,L  15-17,3,3,0,0,9
Roberto Aguayo,TB,@,W  28-21,2,3,2,2,8
Brandon McManus,DEN,@ JAX,W  20-10,2,2,2,2,8
Justin Tucker,BAL,vs MIA,W  38-6,1,1,5,5,8
Chandler Catanzaro,ARI,vs WAS,W  31-23,1,2,4,4,7
Wil Lutz,NO,vs DET,L  13-28,2,2,1,1,7
Connor Barth,CHI,vs SF,W  26-6,1,1,3,3,6
Dan Carpenter,BUF,@ OAK,L  24-38,1,1,3,3,6
Phil Dawson,SF,@ CHI,L  6-26,2,2,0,0,6
Dan Bailey,DAL,@ MIN,W  17-15,1,1,2,2,5
Nick Folk,NYJ,vs IND,L  10-41,1,1,1,1,4
Jason Myers,JAX,vs DEN,L  10-20,1,1,1,1,4
Greg Zuerlein,LA,@ NE,L  10-26,1,1,1,1,4
Mason Crosby,GB,vs HOU,W  21-13,0,0,3,3,3
Josh Lambo,,vs TB,L  21-28,0,1,3,3,3
Cairo Santos,KC,@ ATL,W  29-28,0,0,3,4,3
Robbie Gould,NYG,@ PIT,L  14-24,0,0,2,2,2
Caleb Sturgis,PHI,@ CIN,L  14-32,0,1,2,2,2
Graham Gano,CAR,@ SEA,L  7-40,0,0,1,1,1
Nick Novak,HOU,@ GB,L  13-21,0,0,1,2,1
Andrew Franks,MIA,@ BAL,L  6-38,0,1,0,0,0
