Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Kenny Stills,MIA,vs TB,L  20-30,7,180,25.7,1,0
Keenan Allen,LAC,vs BUF,W  54-24,12,159,13.2,2,0
Brandin Cooks,NE,@ OAK,W  33-8,6,149,24.8,1,0
Antonio Brown,PIT,vs TEN,W  40-17,10,144,14.4,3,0
Davante Adams,GB,vs BAL,L  0-23,8,126,15.8,0,0
Adam Thielen,MIN,vs LA,W  24-7,6,123,20.5,1,0
Rishard Matthews,TEN,@ PIT,L  17-40,5,113,22.6,1,0
Travis Kelce,KC,@ NYG,L  9-12,8,109,13.6,0,0
Jarvis Landry,MIA,vs TB,L  20-30,6,95,15.8,1,1
Mike Evans,TB,@ MIA,W  30-20,5,92,18.4,0,0
Delanie Walker,TEN,@ PIT,L  17-40,6,92,15.3,0,0
Larry Fitzgerald,ARI,@ HOU,L  21-31,9,91,10.1,1,0
Coby Fleener,NO,vs WAS,W  34-31,5,91,18.2,0,0
Michael Thomas,NO,vs WAS,W  34-31,6,91,15.2,0,0
Ted Ginn,NO,vs WAS,W  34-31,6,87,14.5,0,0
Marvin Jones,DET,@ CHI,W  27-24,4,85,21.2,1,0
Josh Doctson,WAS,@ NO,L  31-34,4,81,20.2,0,0
Robert Woods,LA,@ MIN,L  7-24,8,81,10.1,0,0
Corey Coleman,CLE,vs JAX,L  7-19,6,80,13.3,0,0
DeAndre Hopkins,HOU,vs ARI,W  31-21,4,76,19.0,1,0
Alvin Kamara,NO,vs WAS,W  34-31,6,74,12.3,1,0
Jamison Crowder,WAS,@ NO,L  31-34,7,72,10.3,0,0
Julio Jones,ATL,@ SEA,W  34-31,5,71,14.2,0,0
Tyreek Hill,KC,@ NYG,L  9-12,7,68,9.7,0,0
Zay Jones,BUF,@ LAC,L  24-54,4,68,17.0,0,0
Vernon Davis,WAS,@ NO,L  31-34,3,67,22.3,0,0
Alshon Jeffery,PHI,@ DAL,W  37-9,4,67,16.8,1,0
Danny Amendola,NE,@ OAK,W  33-8,8,66,8.2,1,0
Cooper Kupp,LA,@ MIN,L  7-24,6,64,10.7,0,1
Demaryius Thomas,DEN,vs CIN,L  17-20,5,64,12.8,1,0
Dez Bryant,DAL,vs PHI,L  9-37,8,63,7.9,0,0
Bruce Ellington,HOU,vs ARI,W  31-21,6,63,10.5,0,0
Ryan Grant,WAS,@ NO,L  31-34,3,59,19.7,1,0
Jimmy Graham,SEA,vs ATL,L  31-34,7,58,8.3,1,0
Kyle Rudolph,MIN,vs LA,W  24-7,5,58,11.6,0,0
Le'Veon Bell,PIT,vs TEN,W  40-17,9,57,6.3,0,0
Duke Johnson,CLE,vs JAX,L  7-19,4,56,14.0,1,0
Paul Richardson,SEA,vs ATL,L  31-34,5,56,11.2,0,0
Mike Wallace,BAL,@ GB,W  23-0,4,56,14.0,1,0
T.J. Jones,DET,@ CHI,W  27-24,4,55,13.8,0,0
Roger Lewis,NYG,vs KC,W  12-9,3,55,18.3,0,0
Devontae Booker,DEN,vs CIN,L  17-20,5,54,10.8,0,0
