Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Drew Brees,NO,vs NYG,W  52-49,39,50,505,7,2,0,0,131.7
Matt Ryan,ATL,vs TB,L  20-23,37,45,397,2,1,1,1,109.0
Carson Palmer,ARI,@ CLE,W  34-20,23,38,374,4,1,1,0,117.7
Tom Brady,NE,vs MIA,W  36-7,26,38,356,4,0,2,0,133.2
Eli Manning,NYG,@ NO,L  49-52,30,41,350,6,0,3,0,138.2
Peyton Manning,DEN,vs GB,W  29-10,21,29,340,0,1,0,0,96.9
Derek Carr,OAK,vs NYJ,W  34-20,23,36,333,4,0,0,0,130.9
Joe Flacco,BAL,vs,W  29-26,25,37,319,1,0,3,0,103.3
Philip Rivers,,@ BAL,L  26-29,28,37,301,3,0,1,0,126.1
Ryan Tannehill,MIA,@ NE,L  7-36,28,44,300,0,2,5,0,64.6
Geno Smith,NYJ,@ OAK,L  20-34,27,42,265,2,1,3,0,87.9
Ben Roethlisberger,PIT,vs CIN,L  10-16,28,45,262,1,3,3,0,57.8
Cam Newton,CAR,vs IND,W  29-26,16,35,248,2,1,2,1,76.8
Brian Hoyer,HOU,vs TEN,W  20-6,23,35,235,2,0,3,0,103.9
Andy Dalton,CIN,@ PIT,W  16-10,23,38,231,1,2,3,0,64.7
Andrew Luck,IND,@ CAR,L  26-29,23,47,231,2,3,2,0,50.9
Matthew Stafford,DET,@ KC,L  10-45,22,36,217,1,2,6,0,64.2
Jay Cutler,CHI,vs MIN,L  20-23,22,33,211,1,0,1,0,94.4
Josh McCown,CLE,vs ARI,L  20-34,18,34,211,3,1,1,1,89.2
Russell Wilson,SEA,@ DAL,W  13-12,19,30,210,1,1,0,0,81.2
Nick Foles,,vs SF,W  27-6,14,23,191,1,0,0,0,101.9
Teddy Bridgewater,MIN,@ CHI,W  23-20,17,30,187,1,1,1,0,72.5
Jameis Winston,TB,@ ATL,W  23-20,16,29,177,1,0,2,0,85.0
Zach Mettenberger,TEN,@ HOU,L  6-20,22,31,171,0,1,7,1,70.8
Colin Kaepernick,SF,@,L  6-27,20,41,162,0,0,3,0,59.2
Alex Smith,KC,vs DET,W  45-10,18,26,145,2,0,3,0,108.7
Matt Cassel,DAL,vs SEA,L  12-13,13,25,97,0,0,1,0,61.6
Aaron Rodgers,GB,@ DEN,L  10-29,14,22,77,0,0,3,0,69.7
Ryan Fitzpatrick,NYJ,@ OAK,L  20-34,4,5,46,0,0,0,0,105.0
Johnny Manziel,CLE,vs ARI,L  20-34,3,6,12,0,0,0,0,56.2
Dan Orlovsky,DET,@ KC,L  10-45,1,2,10,0,0,0,0,64.6
Chase Daniel,KC,vs DET,W  45-10,2,2,4,0,0,0,0,79.2
Darren McFadden,DAL,vs SEA,L  12-13,0,1,0,0,0,0,0,39.6
