Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Caleb Sturgis,PHI,vs NO,W  39-17,4,4,3,4,15
Travis Coons,CLE,@ BAL,W  33-30,4,4,1,1,13
Connor Barth,TB,vs,W  38-31,3,3,3,3,12
Josh Brown,NYG,vs SF,W  30-27,3,3,3,3,12
Stephen Gostkowski,NE,@ DAL,W  30-6,3,3,3,3,12
Brandon McManus,DEN,@ OAK,W  16-10,3,3,1,1,10
Phil Dawson,SF,@ NYG,L  27-30,2,2,3,3,9
Mike Nugent,CIN,vs SEA,W  27-24,2,2,3,3,9
Adam Vinatieri,IND,@ HOU,W  27-20,2,2,3,3,9
Josh Lambo,,vs PIT,L  20-24,2,3,2,2,8
Nick Novak,HOU,vs IND,L  20-27,2,2,2,2,8
Matt Bryant,ATL,vs WAS,W  25-19,2,4,1,1,7
Dustin Hopkins,WAS,@ ATL,L  19-25,2,3,1,1,7
Jason Myers,,@ TB,L  31-38,1,1,4,4,7
Ryan Succop,TEN,vs BUF,L  13-14,2,2,1,1,7
Dan Bailey,DAL,vs NE,L  6-30,2,2,0,0,6
Chris Boswell,PIT,@,W  24-20,1,1,3,3,6
Chandler Catanzaro,ARI,@ DET,W  42-17,0,0,6,6,6
Mason Crosby,GB,vs,W  24-10,1,1,3,3,6
Robbie Gould,CHI,@ KC,W  18-17,2,2,0,0,6
Stephen Hauschka,SEA,@ CIN,L  24-27,1,1,3,3,6
Justin Tucker,BAL,vs CLE,L  30-33,1,2,3,3,6
Zach Hocker,NO,@ PHI,L  17-39,1,1,2,2,5
Matt Prater,DET,vs ARI,L  17-42,1,1,2,2,5
Cairo Santos,KC,vs CHI,L  17-18,1,3,2,2,5
Sebastian Janikowski,OAK,vs DEN,L  10-16,1,3,1,1,4
Greg Zuerlein,,@ GB,L  10-24,1,4,1,1,4
Dan Carpenter,BUF,@ TEN,W  14-13,0,0,2,2,2
