Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Elvis Dumervil,BAL,vs,L  20-22,2.0,10.0,2,2,2,0,0
Justin Houston,KC,@ DEN,W  29-13,2.0,13.0,4,3,0,0,0
Muhammad Wilkerson,NYJ,vs BUF,L  17-22,2.0,18.0,3,3,3,0,0
Aaron Donald,,vs CHI,L  13-37,1.5,9.5,3,3,4,0,1
Obum Gwacham,NO,@ WAS,L  14-47,1.5,11.0,2,1,1,0,0
Kwon Alexander,TB,vs DAL,W  10-6,1.0,8.0,1,4,0,0,0
Cliff Avril,SEA,vs ARI,L  32-39,1.0,12.0,3,3,2,1,0
Robert Ayers,NYG,vs NE,L  26-27,1.0,0.0,1,2,0,1,0
Jasper Brinkley,NYG,vs NE,L  26-27,1.0,0.0,1,9,3,1,0
Malcom Brown,NE,@ NYG,W  27-26,1.0,6.0,1,4,3,0,0
Deone Bucannon,ARI,@ SEA,W  39-32,1.0,0.0,1,4,3,0,0
Jairus Byrd,NO,@ WAS,L  14-47,1.0,11.0,1,4,1,0,0
Christian Covington,HOU,@ CIN,W  10-6,1.0,6.0,1,2,0,0,0
Tyrone Crawford,DAL,@ TB,L  6-10,1.0,4.0,2,3,2,0,0
Craig Dahl,NYG,vs NE,L  26-27,1.0,5.0,1,4,1,0,0
Marcell Dareus,BUF,@ NYJ,W  22-17,1.0,3.0,1,2,1,0,0
Lavonte David,TB,vs DAL,W  10-6,1.0,3.0,1,5,7,0,0
Demario Davis,NYJ,vs BUF,L  17-22,1.0,1.0,2,6,2,0,0
Mike Devito,KC,@ DEN,W  29-13,1.0,7.0,1,2,0,0,0
Kony Ealy,CAR,@ TEN,W  27-10,1.0,7.0,1,1,0,0,0
Mario Edwards,OAK,vs MIN,L  14-30,1.0,6.0,2,8,3,1,0
William Gholston,TB,vs DAL,W  10-6,1.0,1.0,1,2,0,0,0
Everson Griffen,MIN,@ OAK,W  30-14,1.0,5.0,2,2,1,0,0
Michael Griffin,TEN,vs CAR,L  10-27,1.0,7.0,1,4,2,0,0
A.J. Hawk,CIN,vs HOU,L  6-10,1.0,8.0,1,1,1,0,0
Cameron Heyward,PIT,vs CLE,W  30-9,1.0,3.0,1,2,1,0,0
Lamarr Houston,CHI,@,W  37-13,1.0,9.0,1,1,1,0,0
Jaye Howard,KC,@ DEN,W  29-13,1.0,2.0,2,3,1,1,0
Danielle Hunter,MIN,@ OAK,W  30-14,1.0,10.0,1,2,0,0,0
Derrick Johnson,KC,@ DEN,W  29-13,1.0,7.0,1,6,1,0,0
Reshad Jones,MIA,@ PHI,W  20-19,1.0,1.0,1,6,3,0,0
Abry Jones,,@ BAL,W  22-20,1.0,8.0,1,1,3,1,0
Chandler Jones,NE,@ NYG,W  27-26,1.0,0.0,1,2,1,1,0
Jason Jones,DET,@ GB,W  18-16,1.0,0.0,1,3,0,0,0
Mychal Kendricks,PHI,vs MIA,L  19-20,1.0,8.0,2,6,0,0,0
Christian Kirksey,CLE,@ PIT,L  9-30,1.0,3.0,1,3,1,0,0
Demarcus Lawrence,DAL,@ TB,L  6-10,1.0,14.0,1,3,0,0,0
Curtis Lofton,OAK,vs MIN,L  14-30,1.0,0.0,1,5,2,0,0
Khalil Mack,OAK,vs MIN,L  14-30,1.0,6.0,2,2,2,0,0
Chris McCain,MIA,@ PHI,W  20-19,1.0,7.0,1,1,0,1,0
Whitney Mercilus,HOU,@ CIN,W  10-6,1.0,1.0,1,4,1,0,0
Von Miller,DEN,vs KC,L  13-29,1.0,7.0,3,2,0,0,0
Rob Ninkovich,NE,@ NYG,W  27-26,1.0,13.0,1,3,1,0,0
Brian Orakpo,TEN,vs CAR,L  10-27,1.0,6.0,1,5,1,0,0
Stephen Paea,WAS,vs NO,W  47-14,1.0,8.0,1,1,2,0,0
Domata Peko,CIN,vs HOU,L  6-10,1.0,2.0,1,1,2,0,0
Caraun Reid,DET,@ GB,W  18-16,1.0,1.0,1,2,2,0,0
Vincent Rey,CIN,vs HOU,L  6-10,1.0,8.0,2,2,2,0,0
