Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
JuJu Smith-Schuster,PIT,@ DEN,L  17-24,13,189,14.5,1,0
Amari Cooper,DAL,vs WAS,W  31-23,8,180,22.5,2,0
Julio Jones,ATL,@ NO,L  17-31,11,147,13.4,0,1
T.Y. Hilton,IND,vs MIA,W  27-24,7,125,17.9,0,0
Adam Thielen,MIN,vs GB,W  24-17,8,125,15.6,1,0
Mike Evans,TB,vs SF,W  27-9,6,116,19.3,0,0
Christian McCaffrey,CAR,vs SEA,L  27-30,11,112,10.2,1,0
Tyler Lockett,SEA,@ CAR,W  30-27,5,107,21.4,1,0
David Moore,SEA,@ CAR,W  30-27,4,103,25.8,1,0
Corey Davis,TEN,@ HOU,L  17-34,4,96,24.0,1,0
Robert Foster,BUF,vs JAX,W  24-21,2,94,47.0,1,0
Calvin Ridley,ATL,@ NO,L  17-31,8,93,11.6,1,1
Zach Ertz,PHI,vs NYG,W  25-22,7,91,13.0,1,0
D.J. Moore,CAR,vs SEA,L  27-30,8,91,11.4,0,0
Kenny Golladay,DET,vs CHI,L  16-23,5,90,18.0,0,0
Emmanuel Sanders,DEN,vs PIT,W  24-17,7,86,12.3,1,0
Odell Beckham,NYG,@ PHI,L  22-25,5,85,17.0,0,0
Tyler Boyd,CIN,vs CLE,L  20-35,7,85,12.1,1,0
Julian Edelman,NE,@ NYJ,W  27-13,4,84,21.0,1,0
Stefon Diggs,MIN,vs GB,W  24-17,8,77,9.6,1,0
Rhett Ellison,NYG,@ PHI,L  22-25,4,77,19.2,0,0
Dante Pettis,SF,@ TB,L  9-27,4,77,19.2,1,0
Jordan Reed,WAS,@ DAL,L  23-31,6,75,12.5,0,0
Mark Andrews,BAL,vs OAK,W  34-17,1,74,74.0,0,0
Leonte Carroo,MIA,@ IND,L  24-27,1,74,74.0,1,0
DeAndre Hopkins,HOU,vs TEN,W  34-17,5,74,14.8,0,0
Mohamed Sanu,ATL,@ NO,L  17-31,4,74,18.5,0,0
Vernon Davis,WAS,@ DAL,L  23-31,2,73,36.5,1,0
Quincy Enunwa,NYJ,vs NE,L  13-27,4,73,18.2,0,0
Keenan Allen,LAC,vs ARI,W  45-10,7,72,10.3,1,0
Josh Gordon,NE,@ NYJ,W  27-13,5,70,14.0,0,0
Davante Adams,GB,@ MIN,L  17-24,5,69,13.8,1,0
