Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Trevor Siemian,DEN,vs NYG,L  10-23,29,50,376,1,2,4,0,71.8
Josh McCown,NYJ,vs NE,L  17-24,31,47,354,2,2,4,0,84.9
Kirk Cousins,WAS,vs SF,W  26-24,25,37,330,2,1,1,0,102.3
Matthew Stafford,DET,@ NO,L  38-52,25,52,312,3,3,5,2,62.3
Marcus Mariota,TEN,vs IND,W  36-22,23,32,306,1,1,1,0,99.2
Ryan Fitzpatrick,TB,@ ARI,L  33-38,22,32,290,3,2,2,0,102.3
Carson Palmer,ARI,vs TB,W  38-33,18,22,283,3,1,2,0,139.4
Philip Rivers,LAC,@ OAK,W  17-16,25,36,268,1,0,1,0,100.2
Tom Brady,NE,@ NYJ,W  24-17,20,38,257,2,1,0,0,80.7
Ben Roethlisberger,PIT,@ KC,W  19-13,17,25,252,1,1,1,0,97.4
Matt Ryan,ATL,vs MIA,L  17-20,24,35,248,1,1,2,0,86.4
Alex Smith,KC,vs PIT,L  13-19,19,34,246,1,0,3,0,88.6
C.J. Beathard,SF,@ WAS,L  24-26,19,36,245,1,1,2,0,72.1
Blake Bortles,JAX,vs LA,L  17-27,23,35,241,1,1,5,0,83.2
Case Keenum,MIN,vs GB,W  23-10,24,38,239,1,1,0,0,78.7
Cam Newton,CAR,vs PHI,L  23-28,28,52,239,1,3,2,0,48.5
Deshaun Watson,HOU,vs CLE,W  33-17,17,29,225,3,1,1,0,103.4
Carson Wentz,PHI,@ CAR,W  28-23,16,30,222,3,0,3,1,110.7
Jacoby Brissett,IND,@ TEN,L  22-36,21,37,212,1,0,1,0,82.3
Drew Brees,NO,vs DET,W  52-38,20,30,186,2,2,0,0,77.9
Joe Flacco,BAL,vs CHI,L  24-27,24,41,180,0,2,3,0,48.8
Derek Carr,OAK,vs LAC,L  16-17,21,30,171,1,2,1,0,67.5
Brett Hundley,GB,@ MIN,L  10-23,18,33,157,1,3,4,0,39.6
Jay Cutler,MIA,@ ATL,W  20-17,19,33,151,2,1,0,0,76.7
Kevin Hogan,CLE,@ HOU,L  17-33,20,37,140,1,3,4,0,38.1
Eli Manning,NYG,@ DEN,W  23-10,11,19,128,1,0,3,0,95.9
Jared Goff,LA,@ JAX,W  27-17,11,21,124,1,0,3,0,86.2
Mitchell Trubisky,CHI,@ BAL,W  27-24,8,16,113,1,0,4,1,94.0
Jameis Winston,TB,@ ARI,L  33-38,5,10,61,0,0,0,0,69.2
Brian Hoyer,SF,@ WAS,L  24-26,4,11,34,0,0,1,0,45.3
Tarik Cohen,CHI,@ BAL,W  27-24,1,1,21,1,0,0,1,158.3
Brock Osweiler,DEN,vs NYG,L  10-23,2,4,18,0,0,0,0,62.5
Aaron Rodgers,GB,@ MIN,L  10-23,2,4,18,0,0,0,0,62.5
