Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Cliff Avril,SEA,vs SF,W  29-13,2.0,17.0,4,2,1,0,0
Tamba Hali,KC,@,W  33-3,2.0,20.0,3,5,0,0,0
Datone Jones,GB,@ MIN,W  30-13,2.0,28.0,4,2,0,0,0
J.J. Watt,HOU,vs NYJ,W  24-17,2.0,14.0,6,8,0,0,0
Mario Addison,CAR,vs WAS,W  44-16,1.5,11.0,2,1,1,0,0
Gerald McCoy,TB,@ PHI,W  45-17,1.5,10.0,2,2,1,0,0
Rob Ninkovich,NE,vs BUF,W  20-13,1.5,8.0,2,4,2,1,0
Adrian Amos,CHI,vs DEN,L  15-17,1.0,7.0,1,7,0,0,0
Ezekiel Ansah,DET,vs OAK,W  18-13,1.0,5.0,1,1,0,0,0
Geno Atkins,CIN,@ ARI,L  31-34,1.0,10.0,1,4,0,0,0
Denico Autry,OAK,@ DET,L  13-18,1.0,8.0,1,1,0,0,0
Bene' Benwikere,CAR,vs WAS,W  44-16,1.0,9.0,1,5,0,1,1
Kroy Biermann,ATL,vs IND,L  21-24,1.0,2.0,2,3,3,0,0
Andre Branch,JAX,vs TEN,W  19-13,1.0,2.0,1,1,1,0,0
Ahmad Brooks,SF,@ SEA,L  13-29,1.0,4.0,1,2,1,0,0
Deone Bucannon,ARI,vs CIN,W  34-31,1.0,11.0,1,8,0,0,1
Jurrell Casey,TEN,@ JAX,L  13-19,1.0,4.0,1,1,0,0,0
Ha Ha Clinton-Dix,GB,@ MIN,W  30-13,1.0,10.0,1,8,0,0,0
Aaron Colvin,JAX,vs TEN,W  19-13,1.0,7.0,1,7,0,0,0
Jack Crawford,DAL,@ MIA,W  24-14,1.0,11.0,1,3,0,0,0
Mike Daniels,GB,@ MIN,W  30-13,1.0,8.0,1,2,1,0,0
Ryan Davis,JAX,vs TEN,W  19-13,1.0,1.0,1,1,0,0,0
Aaron Donald,,@ BAL,L  13-16,1.0,7.0,2,4,5,0,0
Kony Ealy,CAR,vs WAS,W  44-16,1.0,6.0,1,1,0,1,1
Dwight Freeney,ARI,vs CIN,W  34-31,1.0,9.0,1,1,0,0,0
Bruce Gaston,CHI,vs DEN,L  15-17,1.0,7.0,1,2,1,0,0
Markus Golden,ARI,vs CIN,W  34-31,1.0,7.0,1,3,0,1,0
Eddie Goldman,CHI,vs DEN,L  15-17,1.0,8.0,1,1,1,0,0
Everson Griffen,MIN,vs GB,L  13-30,1.0,7.0,2,3,1,0,0
Rodney Gunter,ARI,vs CIN,W  34-31,1.0,10.0,1,1,0,0,0
Ben Heeney,OAK,@ DET,L  13-18,1.0,5.0,1,5,2,0,0
D'Qwell Jackson,IND,@ ATL,W  24-21,1.0,5.0,1,6,1,0,0
Michael Johnson,CIN,@ ARI,L  31-34,1.0,6.0,2,6,0,1,0
Ryan Kerrigan,WAS,@ CAR,L  16-44,1.0,12.0,1,2,1,0,0
Demarcus Lawrence,DAL,@ MIA,W  24-14,1.0,22.0,1,1,0,0,0
Manny Lawson,BUF,@ NE,L  13-20,1.0,6.0,2,2,1,0,0
Corey Liuget,,vs KC,L  3-33,1.0,6.0,1,5,0,0,0
Kyle Love,CAR,vs WAS,W  44-16,1.0,6.0,1,1,0,0,0
Joshua Mauga,KC,@,W  33-3,1.0,9.0,1,6,1,0,0
Benson Mayowa,OAK,@ DET,L  13-18,1.0,3.0,1,2,0,0,0
Von Miller,DEN,@ CHI,W  17-15,1.0,2.0,1,3,0,1,0
Captain Munnerlyn,MIN,vs GB,L  13-30,1.0,9.0,1,3,0,0,0
Jared Odrick,JAX,vs TEN,W  19-13,1.0,9.0,1,4,0,0,0
Brian Orakpo,TEN,@ JAX,L  13-19,1.0,9.0,1,2,0,1,0
Nate Palmer,GB,@ MIN,W  30-13,1.0,0.0,1,3,1,0,0
Denzel Perryman,,vs KC,L  3-33,1.0,14.0,1,3,3,0,0
Chris Prosinski,CHI,vs DEN,L  15-17,1.0,0.0,1,4,2,0,0
Derrick Shelby,MIA,vs DAL,L  14-24,1.0,4.0,1,2,1,0,0
Jacquies Smith,TB,@ PHI,W  45-17,1.0,2.5,2,1,2,0,1
Preston Smith,WAS,@ CAR,L  16-44,1.0,8.0,1,2,1,0,0
Malcolm Smith,OAK,@ DET,L  13-18,1.0,0.0,0,4,1,0,0
Walter Thurmond,PHI,vs TB,L  17-45,1.0,8.0,1,5,0,1,0
Desmond Trufant,ATL,vs IND,L  21-24,1.0,9.0,1,4,0,0,0
Courtney Upshaw,BAL,vs,W  16-13,1.0,5.0,1,4,1,1,1
Olivier Vernon,MIA,vs DAL,L  14-24,1.0,3.0,4,3,2,0,0
Marcus Williams,NYJ,@ HOU,L  17-24,1.0,9.0,1,1,0,1,1
Avery Williamson,TEN,@ JAX,L  13-19,1.0,5.0,1,3,2,0,0
Derek Wolfe,DEN,@ CHI,W  17-15,1.0,2.0,1,4,0,0,0
Wesley Woodyard,TEN,@ JAX,L  13-19,1.0,6.0,1,4,2,0,0
Willie Young,CHI,vs DEN,L  15-17,1.0,9.0,1,3,1,0,0
Jeremiah Attaochu,,vs KC,L  3-33,0.5,0.5,2,5,2,0,0
Jadeveon Clowney,HOU,vs NYJ,W  24-17,0.5,2.5,1,1,1,0,0
Ryan Delaire,CAR,vs WAS,W  44-16,0.5,3.0,1,1,1,0,0
Quinton Dial,SF,@ SEA,L  13-29,0.5,1.5,1,1,4,0,0
Dominique Easley,NE,vs BUF,W  20-13,0.5,0.0,2,1,1,0,0
Greg Hardy,DAL,@ MIA,W  24-14,0.5,7.5,3,1,1,0,0
David Irving,DAL,@ MIA,W  24-14,0.5,7.5,1,1,1,0,0
Howard Jones,TB,@ PHI,W  45-17,0.5,1.5,2,1,1,0,0
Aaron Lynch,SF,@ SEA,L  13-29,0.5,1.5,4,1,2,0,0
Mike Neal,GB,@ MIN,W  30-13,0.5,1.0,1,1,1,0,0
Julius Peppers,GB,@ MIN,W  30-13,0.5,1.0,2,1,1,0,0
John Simon,HOU,vs NYJ,W  24-17,0.5,2.5,1,1,1,0,0
Manti Te'o,,vs KC,L  3-33,0.5,0.5,1,4,1,0,0
Isa Abdul-Quddus,DET,vs OAK,W  18-13,0.0,0.0,0,4,1,0,0
Husain Abdullah,KC,@,W  33-3,0.0,0.0,1,2,2,0,0
Sam Acho,CHI,vs DEN,L  15-17,0.0,0.0,0,3,2,0,0
Kenneth Acker,SF,@ SEA,L  13-29,0.0,0.0,0,3,1,0,0
Jahleel Addae,,vs KC,L  3-33,0.0,0.0,0,4,0,0,0
Jude Adjei-Barimah,TB,@ PHI,W  45-17,0.0,0.0,0,2,1,0,0
