Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Aaron Rodgers,GB,vs SF,W  33-30,25,46,425,2,0,3,0,100.4
Jameis Winston,TB,@ ATL,L  29-34,30,41,395,4,2,2,0,115.4
Brock Osweiler,MIA,vs CHI,W  31-28,28,44,380,3,2,0,0,94.9
Ben Roethlisberger,PIT,@ CIN,W  28-21,32,46,369,1,0,0,0,100.7
Matt Ryan,ATL,vs TB,W  34-29,31,41,355,3,0,1,0,125.6
Patrick Mahomes,KC,@ NE,L  40-43,23,36,352,4,2,0,0,110.0
Tom Brady,NE,vs KC,W  43-40,24,35,340,1,0,2,1,109.2
Case Keenum,DEN,vs LA,L  20-23,25,41,322,2,1,2,0,91.7
Mitchell Trubisky,CHI,@ MIA,L  28-31,22,31,316,3,1,2,0,122.5
Andrew Luck,IND,@ NYJ,L  34-42,23,43,301,4,3,0,0,77.8
Eli Manning,NYG,vs PHI,L  13-34,24,43,281,0,1,4,0,66.1
Sam Darnold,NYJ,vs IND,W  42-34,24,30,280,2,1,2,0,113.9
Carson Wentz,PHI,@ NYG,W  34-13,26,36,278,3,0,1,0,122.2
Cam Newton,CAR,@ WAS,L  17-23,27,40,275,2,1,1,0,93.2
C.J. Beathard,SF,@ GB,L  30-33,16,23,245,2,1,2,0,115.3
Josh Rosen,ARI,@ MIN,L  17-27,21,31,240,0,1,4,0,77.4
Joe Flacco,BAL,@ TEN,W  21-0,25,37,238,1,1,0,0,82.9
Baker Mayfield,CLE,vs LAC,L  14-38,22,46,238,1,2,5,0,52.6
Kirk Cousins,MIN,vs ARI,W  27-17,24,34,233,1,1,4,1,87.0
Andy Dalton,CIN,vs PIT,L  21-28,26,42,229,2,0,3,0,92.3
Russell Wilson,SEA,@ OAK,W  27-3,17,23,222,3,1,1,0,125.4
Philip Rivers,LAC,@ CLE,W  38-14,11,20,207,2,1,1,0,103.5
Jared Goff,LA,@ DEN,W  23-20,14,28,201,0,1,5,0,58.8
Dak Prescott,DAL,vs JAX,W  40-7,17,27,183,2,0,3,0,107.5
Deshaun Watson,HOU,vs BUF,W  20-13,15,25,177,1,2,7,1,61.6
Alex Smith,WAS,vs CAR,W  23-17,21,36,163,2,0,3,0,88.1
Blake Bortles,JAX,@ DAL,L  7-40,15,26,149,1,1,3,0,70.8
Derek Carr,OAK,vs SEA,L  3-27,23,31,142,0,0,6,2,83.0
Marcus Mariota,TEN,vs BAL,L  0-21,10,15,117,0,0,11,0,90.1
Josh Allen,BUF,@ HOU,L  13-20,10,17,84,0,0,2,0,71.7
Nathan Peterman,BUF,@ HOU,L  13-20,6,12,61,1,2,0,0,53.1
Geno Smith,LAC,@ CLE,W  38-14,1,1,8,0,0,0,0,100.0
DeAndre Hopkins,HOU,vs BUF,W  20-13,0,1,0,0,0,0,0,39.6
