Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Robbie Gould,SF,vs TEN,W  25-23,6,6,1,1,19
Phil Dawson,ARI,@ WAS,L  15-20,5,5,0,0,15
Harrison Butker,KC,vs LAC,W  30-13,3,4,3,3,12
Ryan Succop,TEN,@ SF,L  23-25,3,3,2,2,11
Jake Elliott,PHI,@ NYG,W  34-29,2,2,4,4,10
Kai Forbath,MIN,vs CIN,W  34-7,2,2,4,4,10
Cody Parkey,MIA,@ BUF,L  16-24,3,3,1,1,10
Greg Zuerlein,LA,@ SEA,W  42-7,2,2,4,5,10
Josh Lambo,JAX,vs HOU,W  45-7,1,1,6,6,9
Justin Tucker,BAL,@ CLE,W  27-10,2,2,3,3,9
Dan Bailey,DAL,@ OAK,W  20-17,2,2,2,2,8
Dustin Hopkins,WAS,vs ARI,W  20-15,2,2,2,2,8
Matt Prater,DET,vs CHI,W  20-10,2,2,2,2,8
Chandler Catanzaro,NYJ,@ NO,L  19-31,2,2,1,1,7
Graham Gano,CAR,vs GB,W  31-24,1,1,4,4,7
Stephen Gostkowski,NE,@ PIT,W  27-24,2,2,1,2,7
Wil Lutz,NO,vs NYJ,W  31-19,1,1,4,4,7
Adam Vinatieri,IND,vs DEN,L  13-25,2,2,1,1,7
Chris Boswell,PIT,vs NE,L  24-27,1,1,3,3,6
Matt Bryant,ATL,@ TB,W  24-21,1,2,3,3,6
Mason Crosby,GB,@ CAR,L  24-31,1,1,3,3,6
Stephen Hauschka,BUF,vs MIA,W  24-16,1,1,3,3,6
Brandon McManus,DEN,@ IND,W  25-13,1,2,2,2,5
Aldrick Rosas,NYG,vs PHI,L  29-34,1,2,2,3,5
Giorgio Tavecchio,OAK,vs DAL,L  17-20,1,2,2,2,5
Zane Gonzalez,CLE,vs BAL,L  10-27,1,1,1,1,4
Mike Nugent,CHI,@ DET,L  10-20,1,1,1,1,4
Patrick Murray,TB,vs ATL,L  21-24,0,1,3,3,3
Randy Bullock,CIN,@ MIN,L  7-34,0,0,1,1,1
Travis Coons,LAC,@ KC,L  13-30,0,0,1,2,1
Ka'imi Fairbairn,HOU,@ JAX,L  7-45,0,0,1,1,1
Blair Walsh,SEA,vs LA,L  7-42,0,0,1,1,1
