Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Khalil Mack,OAK,@ DEN,W  15-12,5.0,32.0,7,6,1,1,0
Aaron Donald,,vs DET,W  21-14,3.0,17.0,6,4,1,0,0
Dee Ford,KC,vs,W  10-3,3.0,17.0,3,7,0,0,0
Muhammad Wilkerson,NYJ,vs TEN,W  30-8,3.0,27.0,3,5,0,1,0
Andre Branch,,vs IND,W  51-16,2.0,28.0,1,4,0,1,1
Armonty Bryant,CLE,vs SF,W  24-10,2.0,19.0,2,7,0,0,0
Jadeveon Clowney,HOU,vs NE,L  6-27,2.0,20.0,2,4,3,0,0
Akiem Hicks,NE,@ HOU,W  27-6,2.0,7.0,3,5,1,0,0
Nate Orchard,CLE,vs SF,W  24-10,2.0,12.0,2,2,0,0,0
Jabaal Sheard,NE,@ HOU,W  27-6,2.0,34.0,3,4,0,2,0
Kawann Short,CAR,vs ATL,W  38-0,2.0,32.0,3,3,0,2,1
Desmond Bryant,CLE,vs SF,W  24-10,1.5,5.5,3,4,1,1,0
Mike Adams,IND,@,L  16-51,1.0,8.0,1,4,0,1,0
Will Allen,PIT,@ CIN,W  33-20,1.0,8.0,1,5,0,0,0
Ezekiel Ansah,DET,@,L  14-21,1.0,10.0,2,1,1,0,0
Arik Armstead,SF,@ CLE,L  10-24,1.0,8.0,1,3,0,0,0
Jeremiah Attaochu,,@ KC,L  3-10,1.0,7.0,1,3,0,0,0
Robert Ayers,NYG,@ MIA,W  31-24,1.0,1.0,1,1,0,0,0
Jonathan Babineaux,ATL,@ CAR,L  0-38,1.0,6.0,2,2,1,0,0
Shaquil Barrett,DEN,vs OAK,L  12-15,1.0,12.0,1,3,0,0,0
Vic Beasley,ATL,@ CAR,L  0-38,1.0,13.0,1,2,0,0,0
Michael Bennett,SEA,@ BAL,W  35-6,1.0,0.0,5,3,1,0,0
Michael Brockers,,vs DET,W  21-14,1.0,8.0,1,1,0,0,0
Calais Campbell,ARI,vs MIN,W  23-20,1.0,11.0,4,4,0,0,1
Bruce Carter,TB,vs NO,L  17-24,1.0,11.0,1,6,2,0,0
Chris Clemons,,vs IND,W  51-16,1.0,5.0,2,1,0,0,0
Trent Cole,IND,@,L  16-51,1.0,9.0,0,5,0,1,0
