Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Jared Goff,LA,@ NO,L  35-45,28,40,391,3,1,0,0,115.7
Patrick Mahomes,KC,@ CLE,W  37-21,23,32,375,3,1,2,0,129.0
Matt Ryan,ATL,@ WAS,W  38-14,26,38,350,4,1,2,0,121.6
Drew Brees,NO,vs LA,W  45-35,25,36,346,4,0,0,0,137.0
Alex Smith,WAS,vs ATL,L  14-38,30,46,306,1,1,3,0,82.3
Baker Mayfield,CLE,vs KC,L  21-37,29,42,297,2,1,2,0,95.0
Tom Brady,NE,vs GB,W  31-17,22,35,294,1,0,2,0,99.0
Case Keenum,DEN,vs HOU,L  17-19,26,42,290,1,0,2,0,90.4
Ben Roethlisberger,PIT,@ BAL,W  23-16,28,47,270,2,0,1,0,89.8
Nick Mullens,SF,vs OAK,W  34-3,16,22,262,3,0,0,0,151.9
Aaron Rodgers,GB,@ NE,L  17-31,24,43,259,2,0,1,0,89.2
Cam Newton,CAR,vs TB,W  42-28,19,25,247,2,0,2,0,133.2
Ryan Fitzpatrick,TB,@ CAR,L  28-42,24,40,243,4,2,3,0,89.9
Dak Prescott,DAL,vs TEN,L  14-28,21,31,243,2,1,5,1,99.3
Marcus Mariota,TEN,@ DAL,W  28-14,21,29,240,2,0,4,2,119.9
Russell Wilson,SEA,vs LAC,L  17-25,26,39,235,2,1,4,0,89.2
Sam Darnold,NYJ,@ MIA,L  6-13,21,39,229,0,4,4,0,31.8
Philip Rivers,LAC,@ SEA,W  25-17,13,26,228,2,0,2,0,105.9
Deshaun Watson,HOU,@ DEN,W  19-17,17,24,213,2,0,4,0,125.9
Joe Flacco,BAL,vs PIT,L  16-23,23,37,206,0,0,2,0,77.1
Matthew Stafford,DET,@ MIN,L  9-24,25,36,199,0,0,10,1,83.0
Nathan Peterman,BUF,vs CHI,L  9-41,31,49,188,0,3,4,0,45.3
Derek Carr,OAK,@ SF,L  3-34,16,21,171,0,0,7,0,99.5
Kirk Cousins,MIN,vs DET,W  24-9,18,22,164,1,1,1,1,93.9
Brock Osweiler,MIA,vs NYJ,W  13-6,15,24,139,0,0,4,0,78.3
Mitchell Trubisky,CHI,@ BUF,W  41-9,12,20,135,1,1,1,0,76.0
Julian Edelman,NE,vs GB,W  31-17,1,1,37,0,0,0,0,118.8
Joshua Dobbs,PIT,@ BAL,W  23-16,1,1,22,0,0,0,0,118.8
Lamar Jackson,BAL,vs PIT,L  16-23,1,1,12,0,0,0,0,116.7
Tyrod Taylor,CLE,vs KC,L  21-37,1,1,11,0,0,0,0,112.5
A.J. McCarron,OAK,@ SF,L  3-34,1,3,8,0,0,1,0,42.4
Bryan Anger,TB,@ CAR,L  28-42,0,1,0,0,0,0,0,39.6
Cole Beasley,DAL,vs TEN,L  14-28,0,1,0,0,0,0,0,39.6
