Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Odell Beckham,NYG,@ MIA,W  31-24,7,166,23.7,2,0
A.J. Green,CIN,vs PIT,L  20-33,6,132,22.0,1,0
T.Y. Hilton,IND,@,L  16-51,4,132,33.0,0,0
Brandon Marshall,NYJ,vs TEN,W  30-8,6,125,20.8,1,0
Willie Snead,NO,@ TB,W  24-17,7,122,17.4,0,0
Ted Ginn,CAR,vs ATL,W  38-0,2,120,60.0,2,0
Jordan Reed,WAS,@ CHI,W  24-21,9,120,13.3,1,0
Brian Hartline,CLE,vs SF,W  24-10,8,107,13.4,0,0
Alshon Jeffery,CHI,vs WAS,L  21-24,6,107,17.8,1,0
Robert Woods,BUF,@ PHI,L  20-23,5,106,21.2,0,0
Allen Hurns,,vs IND,W  51-16,3,105,35.0,1,0
Tyler Lockett,SEA,@ BAL,W  35-6,6,104,17.3,2,0
Michael Floyd,ARI,vs MIN,W  23-20,5,102,20.4,1,0
Jarvis Landry,MIA,vs NYG,L  24-31,11,99,9.0,0,0
Zach Ertz,PHI,vs BUF,W  23-20,5,98,19.6,0,0
Demaryius Thomas,DEN,vs OAK,L  12-15,10,95,9.5,0,1
Kamar Aiken,BAL,vs SEA,L  6-35,5,90,18.0,0,0
Julio Jones,ATL,@ CAR,L  0-38,7,88,12.6,0,0
Antonio Brown,PIT,@ CIN,W  33-20,7,87,12.4,0,0
Rob Gronkowski,NE,@ HOU,W  27-6,4,87,21.8,1,0
Albert Wilson,KC,vs,W  10-3,4,87,21.8,1,0
Zach Miller,CHI,vs WAS,L  21-24,5,85,17.0,1,0
Gary Barnidge,CLE,vs SF,W  24-10,5,84,16.8,1,0
Doug Baldwin,SEA,@ BAL,W  35-6,6,82,13.7,3,0
Randall Cobb,GB,vs DAL,W  28-7,8,81,10.1,0,0
Sammy Watkins,BUF,@ PHI,L  20-23,5,81,16.2,1,0
John Brown,ARI,vs MIN,W  23-20,4,78,19.5,1,0
Antonio Gates,,@ KC,L  3-10,6,76,12.7,0,0
Vernon Davis,DEN,vs OAK,L  12-15,7,74,10.6,0,0
Eric Decker,NYJ,vs TEN,W  30-8,7,74,10.6,1,0
Jermaine Kearse,SEA,@ BAL,W  35-6,7,74,10.6,0,0
Jeremy Butler,BAL,vs SEA,L  6-35,7,72,10.3,0,0
Delanie Walker,TEN,@ NYJ,L  8-30,7,71,10.1,0,0
Benjamin Watson,NO,@ TB,W  24-17,7,70,10.0,0,0
Jeremy Maclin,KC,vs,W  10-3,6,68,11.3,0,0
Kyle Rudolph,MIN,@ ARI,L  20-23,6,67,11.2,0,0
Heath Miller,PIT,@ CIN,W  33-20,10,66,6.6,0,0
Harry Douglas,TEN,@ NYJ,L  8-30,3,65,21.7,0,0
Markus Wheaton,PIT,@ CIN,W  33-20,4,65,16.2,0,0
Charles Sims,TB,vs NO,L  17-24,6,64,10.7,0,0
Nelson Agholor,PHI,vs BUF,W  23-20,3,62,20.7,1,0
Marvin Jones,CIN,vs PIT,L  20-33,6,61,10.2,0,0
Golden Tate,DET,@,L  14-21,9,60,6.7,2,0
Corey Brown,CAR,vs ATL,W  38-0,3,59,19.7,0,0
Rueben Randle,NYG,@ MIA,W  31-24,5,58,11.6,1,0
Malcom Floyd,,@ KC,L  3-10,3,56,18.7,0,0
Julius Thomas,,vs IND,W  51-16,5,54,10.8,1,0
Dorial Green-Beckham,TEN,@ NYJ,L  8-30,3,53,17.7,0,0
Pierre Garcon,WAS,@ CHI,W  24-21,5,52,10.4,0,0
DeAndre Hopkins,HOU,vs NE,L  6-27,3,52,17.3,0,0
Donte Moncrief,IND,@,L  16-51,3,52,17.3,0,0
Greg Olsen,CAR,vs ATL,W  38-0,3,52,17.3,0,0
Jarius Wright,MIN,@ ARI,L  20-23,5,51,10.2,0,1
Zurlon Tipton,IND,@,L  16-51,4,50,12.5,0,0
Blake Bell,SF,@ CLE,L  10-24,3,49,16.3,0,0
Martavis Bryant,PIT,@ CIN,W  33-20,7,49,7.0,0,0
James Jones,GB,vs DAL,W  28-7,4,49,12.2,0,0
Mychal Rivera,OAK,@ DEN,W  15-12,3,49,16.3,1,0
Kenny Stills,MIA,vs NYG,L  24-31,2,49,24.5,1,0
Nate Washington,HOU,vs NE,L  6-27,1,49,49.0,0,0
Daniel Brown,BAL,vs SEA,L  6-35,5,47,9.4,0,0
Javontee Herndon,,@ KC,L  3-10,5,47,9.4,0,0
Clive Walford,OAK,@ DEN,W  15-12,3,47,15.7,0,0
Danny Amendola,NE,@ HOU,W  27-6,6,46,7.7,0,0
Quinton Patton,SF,@ CLE,L  10-24,5,46,9.2,0,0
Bilal Powell,NYJ,vs TEN,W  30-8,5,46,9.2,1,0
Javorius Allen,BAL,vs SEA,L  6-35,5,44,8.8,0,1
Theo Riddick,DET,@,L  14-21,7,44,6.3,0,0
Owen Daniels,DEN,vs OAK,L  12-15,3,43,14.3,0,0
Darren Fells,ARI,vs MIN,W  23-20,3,43,14.3,0,0
DeSean Jackson,WAS,@ CHI,W  24-21,2,43,21.5,0,0
Tyler Eifert,CIN,vs PIT,L  20-33,2,42,21.0,0,0
Mike Wallace,MIN,@ ARI,L  20-23,3,42,14.0,1,0
Travis Benjamin,CLE,vs SF,W  24-10,4,41,10.2,0,0
Rhett Ellison,MIN,@ ARI,L  20-23,1,41,41.0,0,0
Larry Fitzgerald,ARI,vs MIN,W  23-20,5,41,8.2,0,0
Dwayne Harris,NYG,@ MIA,W  31-24,5,41,8.2,0,0
Ronnie Hillman,DEN,vs OAK,L  12-15,7,41,5.9,0,0
Marcus Mariota,TEN,@ NYJ,L  8-30,1,41,41.0,1,0
Nick Williams,ATL,@ CAR,L  0-38,4,40,10.0,0,0
Jason Witten,DAL,@ GB,L  7-28,5,40,8.0,0,0
Mike Evans,TB,vs NO,L  17-24,3,39,13.0,0,0
Dexter McCluster,TEN,@ NYJ,L  8-30,4,38,9.5,0,0
James White,NE,@ HOU,W  27-6,4,38,9.5,0,0
Terrance Williams,DAL,@ GB,L  7-28,3,38,12.7,0,0
Marc Mariani,CHI,vs WAS,L  21-24,2,37,18.5,0,0
Marques Colston,NO,@ TB,W  24-17,6,36,6.0,2,0
MyCole Pruitt,MIN,@ ARI,L  20-23,2,36,18.0,0,0
Deonte Thompson,CHI,vs WAS,L  21-24,1,36,36.0,0,0
Kenny Britt,,vs DET,W  21-14,2,35,17.5,0,0
Jordan Cameron,MIA,vs NYG,L  24-31,3,35,11.7,0,0
LeSean McCoy,BUF,@ PHI,L  20-23,4,35,8.8,0,0
Roddy White,ATL,@ CAR,L  0-38,4,35,8.8,0,0
T.J. Jones,DET,@,L  14-21,4,33,8.2,0,0
Brandon Coleman,NO,@ TB,W  24-17,3,32,10.7,0,0
Brandon LaFell,NE,@ HOU,W  27-6,5,32,6.4,0,0
Bradley Marquez,,vs DET,W  21-14,3,32,10.7,0,0
James Starks,GB,vs DAL,W  28-7,4,32,8.0,1,0
David Johnson,ARI,vs MIN,W  23-20,5,31,6.2,0,0
Tyler Kroft,CIN,vs PIT,L  20-33,2,31,15.5,0,0
Austin Seferian-Jenkins,TB,vs NO,L  17-24,3,31,10.3,0,0
Matt Asiata,MIN,@ ARI,L  20-23,2,30,15.0,0,0
Will Tye,NYG,@ MIA,W  31-24,5,30,6.0,1,0
Brandin Cooks,NO,@ TB,W  24-17,3,29,9.7,0,0
Travaris Cadet,SF,@ CLE,L  10-24,2,28,14.0,0,0
Riley Cooper,PHI,vs BUF,W  23-20,3,28,9.3,0,0
Melvin Gordon,,@ KC,L  3-10,4,28,7.0,0,0
Josh Huff,PHI,vs BUF,W  23-20,2,28,14.0,0,0
Giovani Bernard,CIN,vs PIT,L  20-33,3,27,9.0,0,0
Eric Ebron,DET,@,L  14-21,3,27,9.0,0,0
Jeremy Langford,CHI,vs WAS,L  21-24,3,27,9.0,0,0
Rashad Ross,WAS,@ CHI,W  24-21,2,27,13.5,0,0
Ladarius Green,,@ KC,L  3-10,2,26,13.0,0,0
Jacob Tamme,ATL,@ CAR,L  0-38,4,26,6.5,0,0
Cole Beasley,DAL,@ GB,L  7-28,3,25,8.3,0,0
Joique Bell,DET,@,L  14-21,2,25,12.5,0,0
Devin Funchess,CAR,vs ATL,W  38-0,3,25,8.3,0,0
Andrew Turzilli,TEN,@ NYJ,L  8-30,2,25,12.5,0,0
Matt Jones,WAS,@ CHI,W  24-21,2,24,12.0,0,0
Eddie Lacy,GB,vs DAL,W  28-7,1,24,24.0,0,0
Zach Line,MIN,@ ARI,L  20-23,1,24,24.0,0,0
Mohamed Sanu,CIN,vs PIT,L  20-33,2,24,12.0,0,0
Keshawn Martin,NE,@ HOU,W  27-6,3,23,7.7,1,1
Marlon Moore,CLE,vs SF,W  24-10,2,23,11.5,0,0
Anquan Boldin,SF,@ CLE,L  10-24,2,22,11.0,0,0
Vincent Brown,,@ KC,L  3-10,1,22,22.0,0,0
Devonta Freeman,ATL,@ CAR,L  0-38,3,22,7.3,0,1
Ameer Abdullah,DET,@,L  14-21,2,21,10.5,0,0
Clay Harbor,,vs IND,W  51-16,2,21,10.5,0,0
Rashad Jennings,NYG,@ MIA,W  31-24,2,21,10.5,0,0
Marqise Lee,,vs IND,W  51-16,1,21,21.0,0,0
Chris Matthews,BAL,vs SEA,L  6-35,1,21,21.0,0,0
Juwan Thompson,DEN,vs OAK,L  12-15,4,21,5.2,0,0
Ryan Griffin,HOU,vs NE,L  6-27,1,20,20.0,0,0
Cooper Helfet,SEA,@ BAL,W  35-6,2,20,10.0,0,0
Chris Hogan,BUF,@ PHI,L  20-23,2,20,10.0,0,0
Seth Roberts,OAK,@ DEN,W  15-12,2,20,10.0,1,0
Jerome Simpson,SF,@ CLE,L  10-24,2,20,10.0,1,0
Tavon Austin,,vs DET,W  21-14,3,19,6.3,0,0
Michael Crabtree,OAK,@ DEN,W  15-12,4,19,4.8,0,0
Andre Johnson,IND,@,L  16-51,3,19,6.3,0,0
Jordan Matthews,PHI,vs BUF,W  23-20,3,19,6.3,0,0
Rashad Greene,,vs IND,W  51-16,1,18,18.0,0,0
Demetrius Harris,KC,vs,W  10-3,2,18,9.0,0,0
Travis Kelce,KC,vs,W  10-3,3,18,6.0,0,0
Adrian Peterson,MIN,@ ARI,L  20-23,1,17,17.0,0,1
Emmanuel Sanders,DEN,vs OAK,L  12-15,2,17,8.5,0,1
Torrey Smith,SF,@ CLE,L  10-24,1,17,17.0,0,0
Cameron Brate,TB,vs NO,L  17-24,2,16,8.0,0,0
Donteea Dye,TB,vs NO,L  17-24,1,16,16.0,0,0
Calvin Johnson,DET,@,L  14-21,1,16,16.0,0,0
DeVante Parker,MIA,vs NYG,L  24-31,2,16,8.0,0,0
Phillip Supernaw,TEN,@ NYJ,L  8-30,1,16,16.0,0,0
Patrick DiMarco,ATL,@ CAR,L  0-38,2,15,7.5,0,0
Eddie Royal,CHI,vs WAS,L  21-24,1,15,15.0,0,0
DeAngelo Williams,PIT,@ CIN,W  33-20,2,15,7.5,0,0
John Kuhn,GB,vs DAL,W  28-7,1,14,14.0,0,0
Marcedes Lewis,,vs IND,W  51-16,1,14,14.0,0,0
Chris Polk,HOU,vs NE,L  6-27,2,14,7.0,0,0
Dion Sims,MIA,vs NYG,L  24-31,3,14,4.7,0,1
Jonathan Stewart,CAR,vs ATL,W  38-0,1,14,14.0,0,0
Jamison Crowder,WAS,@ CHI,W  24-21,1,13,13.0,0,0
Mike Tolbert,CAR,vs ATL,W  38-0,2,13,6.5,0,0
Davante Adams,GB,vs DAL,W  28-7,2,12,6.0,0,0
Michael Burton,DET,@,L  14-21,1,12,12.0,0,0
Stefon Diggs,MIN,@ ARI,L  20-23,2,12,6.0,0,0
Bennie Fowler,DEN,vs OAK,L  12-15,1,12,12.0,0,0
Greg Jennings,MIA,vs NYG,L  24-31,2,12,6.0,0,0
Denard Robinson,,vs IND,W  51-16,1,12,12.0,0,0
Pierre Thomas,WAS,@ CHI,W  24-21,1,12,12.0,0,0
Jared Cook,,vs DET,W  21-14,1,11,11.0,0,0
Chris Gragg,BUF,@ PHI,L  20-23,1,11,11.0,0,0
Wes Welker,,vs DET,W  21-14,1,11,11.0,0,0
Damien Williams,MIA,vs NYG,L  24-31,2,11,5.5,0,0
Jerricho Cotchery,CAR,vs ATL,W  38-0,2,10,5.0,0,0
Quincy Enunwa,NYJ,vs TEN,W  30-8,1,10,10.0,0,0
Tim Hightower,NO,@ TB,W  24-17,1,10,10.0,0,0
Mike Iupati,ARI,vs MIN,W  23-20,1,10,10.0,0,0
Scott Simonson,CAR,vs ATL,W  38-0,1,10,10.0,0,0
Shane Vereen,NYG,@ MIA,W  31-24,1,10,10.0,0,0
Dez Bryant,DAL,@ GB,L  7-28,1,9,9.0,0,0
Charles Clay,BUF,@ PHI,L  20-23,1,9,9.0,0,0
Isaiah Crowell,CLE,vs SF,W  24-10,1,9,9.0,0,0
Jonathan Grimes,HOU,vs NE,L  6-27,2,9,4.5,0,0
Justin Hardy,ATL,@ CAR,L  0-38,1,9,9.0,0,0
Ryan Hewitt,CIN,vs PIT,L  20-33,1,9,9.0,0,0
Cecil Shorts,HOU,vs NE,L  6-27,2,9,4.5,0,0
Benny Cunningham,,vs DET,W  21-14,1,8,8.0,0,0
Shaun Draughn,SF,@ CLE,L  10-24,2,8,4.0,0,0
Matt Forte,CHI,vs WAS,L  21-24,1,8,8.0,0,0
Jeremy Hill,CIN,vs PIT,L  20-33,2,8,4.0,0,0
Fred Jackson,SEA,@ BAL,W  35-6,1,8,8.0,0,0
Jerick McKinnon,MIN,@ ARI,L  20-23,1,8,8.0,0,0
Luke Willson,SEA,@ BAL,W  35-6,1,8,8.0,0,0
Danny Woodhead,,@ KC,L  3-10,3,8,2.7,0,0
Derek Carrier,WAS,@ CHI,W  24-21,1,7,7.0,0,0
Todd Gurley,,vs DET,W  21-14,1,7,7.0,0,0
Brandon Pettigrew,DET,@,L  14-21,1,7,7.0,0,0
C.J. Spiller,NO,@ TB,W  24-17,3,7,2.3,0,0
Adam Thielen,MIN,@ ARI,L  20-23,1,7,7.0,0,0
Antonio Andrews,TEN,@ NYJ,L  8-30,1,6,6.0,0,0
Orleans Darkwa,NYG,@ MIA,W  31-24,1,6,6.0,0,0
Coby Fleener,IND,@,L  16-51,1,6,6.0,0,0
Mike Gillislee,BUF,@ PHI,L  20-23,1,6,6.0,0,0
Josh Hill,NO,@ TB,W  24-17,1,6,6.0,0,0
Adam Humphries,TB,vs NO,L  17-24,1,6,6.0,1,0
Chris Ivory,NYJ,vs TEN,W  30-8,1,6,6.0,0,0
Duke Johnson,CLE,vs SF,W  24-10,1,6,6.0,0,0
Jaelen Strong,HOU,vs NE,L  6-27,1,6,6.0,0,0
Rex Burkhead,CIN,vs PIT,L  20-33,1,5,5.0,1,0
Dan Herron,IND,@,L  16-51,2,5,2.5,0,0
Vincent Jackson,TB,vs NO,L  17-24,1,5,5.0,0,0
Doug Martin,TB,vs NO,L  17-24,1,5,5.0,0,0
Hakeem Nicks,NYG,@ MIA,W  31-24,1,5,5.0,0,0
Jordan Norwood,DEN,vs OAK,L  12-15,1,5,5.0,0,0
Kevin Smith,SEA,@ BAL,W  35-6,1,5,5.0,0,0
Ed Dickson,CAR,vs ATL,W  38-0,1,4,4.0,1,0
Brian Leonhardt,SF,@ CLE,L  10-24,1,4,4.0,0,0
Ryan Mathews,PHI,vs BUF,W  23-20,2,4,2.0,0,0
Allen Robinson,,vs IND,W  51-16,1,4,4.0,1,0
