Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Alex Smith,KC,@ NYJ,L  31-38,19,33,366,4,0,2,0,135.9
Tom Savage,HOU,@ TEN,L  13-24,31,49,365,1,1,4,0,84.1
Carson Wentz,PHI,@ SEA,L  10-24,29,45,348,1,1,3,1,86.2
Philip Rivers,LAC,vs CLE,W  19-10,31,43,344,1,0,1,0,103.2
Josh McCown,NYJ,vs KC,W  38-31,26,36,331,1,0,0,0,109.8
Blake Bortles,JAX,vs IND,W  30-10,26,35,309,2,0,1,0,119.8
Jimmy Garoppolo,SF,@ CHI,W  15-14,26,37,293,0,1,2,0,82.4
Matthew Stafford,DET,@ BAL,L  20-44,24,29,292,1,1,3,1,105.7
Ben Roethlisberger,PIT,@ CIN,W  23-20,24,40,290,2,1,1,0,88.5
Derek Carr,OAK,vs NYG,W  24-17,22,36,287,1,0,1,0,95.5
Jameis Winston,TB,@ GB,L  20-26,21,32,270,2,0,7,1,112.8
Drew Brees,NO,vs CAR,W  31-21,25,34,269,1,0,2,0,106.1
Joe Flacco,BAL,vs DET,W  44-20,23,36,269,2,0,0,0,105.0
Tom Brady,NE,@ BUF,W  23-3,21,30,258,0,1,3,0,82.4
Kirk Cousins,WAS,@ DAL,L  14-38,26,37,251,2,2,4,1,84.4
Jay Cutler,MIA,vs DEN,W  35-9,18,31,235,2,2,2,0,76.7
Andy Dalton,CIN,vs PIT,L  20-23,21,36,234,2,0,2,0,96.3
Case Keenum,MIN,@ ATL,W  14-9,25,30,227,2,0,2,0,120.4
Russell Wilson,SEA,vs PHI,W  24-10,20,31,227,3,0,2,0,118.6
Blaine Gabbert,ARI,vs LA,L  16-32,18,32,221,1,2,7,0,62.1
Jared Goff,LA,@ ARI,W  32-16,21,31,220,2,1,1,0,96.2
DeShone Kizer,CLE,@ LAC,L  10-19,15,32,215,1,1,3,1,66.5
Geno Smith,NYG,@ OAK,L  17-24,21,34,212,1,0,3,2,89.3
Trevor Siemian,DEN,@ MIA,L  9-35,19,41,200,0,3,3,0,30.5
Cam Newton,CAR,@ NO,L  21-31,17,27,183,2,0,2,0,107.5
Jacoby Brissett,IND,@ JAX,L  10-30,21,36,174,1,2,4,0,56.9
Matt Ryan,ATL,vs MIN,L  9-14,16,29,173,0,0,0,0,72.9
Marcus Mariota,TEN,vs HOU,W  24-13,15,23,150,1,0,2,0,98.1
Dak Prescott,DAL,vs WAS,W  38-14,11,22,102,2,0,1,0,93.4
Mitchell Trubisky,CHI,vs SF,L  14-15,12,15,102,1,0,2,0,117.2
Brett Hundley,GB,vs TB,W  26-20,13,22,84,0,1,2,0,48.3
Tyrod Taylor,BUF,vs NE,L  3-23,9,18,65,0,1,3,0,35.6
Nathan Peterman,BUF,vs NE,L  3-23,6,15,50,0,0,1,0,49.3
Brad Nortman,JAX,vs IND,W  30-10,1,1,29,0,0,0,0,118.8
Jake Rudock,DET,@ BAL,L  20-44,3,5,24,0,1,0,0,32.5
David Fales,MIA,vs DEN,W  35-9,0,1,0,0,0,0,0,39.6
Michael Palardy,CAR,@ NO,L  21-31,0,1,0,0,0,0,0,39.6
Joe Webb,BUF,vs NE,L  3-23,0,1,0,0,0,0,0,39.6
