Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Michael Palardy,CAR,vs SEA,L  27-30,1,55,55.0,55.0,0,1,55,0
Michael Dickson,SEA,@ CAR,W  30-27,3,158,52.7,46.3,0,0,62,0
Donnie Jones,LAC,vs ARI,W  45-10,2,105,52.5,39.5,0,1,53,0
Cameron Johnston,PHI,vs NYG,W  25-22,4,201,50.3,39.0,1,2,59,0
Brett Kern,TEN,@ HOU,L  17-34,6,298,49.7,43.5,0,2,59,0
Kevin Huber,CIN,vs CLE,L  20-35,2,99,49.5,46.5,0,1,51,0
Andy Lee,ARI,@ LAC,L  10-45,5,246,49.2,39.6,1,0,60,0
Matt Bosher,ATL,@ NO,L  17-31,2,96,48.0,44.5,0,0,52,0
Thomas Morstead,NO,vs ATL,W  31-17,3,144,48.0,41.3,1,1,56,0
Logan Cooke,JAX,@ BUF,L  21-24,6,287,47.8,45.7,0,3,55,0
Chris Jones,DAL,vs WAS,W  31-23,6,287,47.8,41.2,0,2,51,0
Matt Haack,MIA,@ IND,L  24-27,6,285,47.5,45.2,0,3,62,0
Britton Colquitt,CLE,@ CIN,W  35-20,4,188,47.0,32.8,0,1,56,0
Sam Koch,BAL,vs OAK,W  34-17,2,94,47.0,48.5,0,1,56,0
Pat O'Donnell,CHI,@ DET,W  23-16,5,235,47.0,38.0,1,3,56,0
Colby Wadman,DEN,vs PIT,W  24-17,6,282,47.0,46.0,0,1,51,0
Ryan Allen,NE,@ NYJ,W  27-13,4,184,46.0,40.8,1,1,51,0
Bryan Anger,TB,vs SF,W  27-9,5,230,46.0,44.8,0,2,56,0
J.K. Scott,GB,@ MIN,L  17-24,6,276,46.0,39.3,1,3,56,0
Matt Wile,MIN,vs GB,W  24-17,4,183,45.8,36.8,0,1,59,0
Tress Way,WAS,@ DAL,L  23-31,5,228,45.6,45.6,0,4,54,0
Sam Martin,DET,vs CHI,L  16-23,5,227,45.4,36.2,0,1,59,0
Colton Schmidt,BUF,vs JAX,W  24-21,7,314,44.9,37.3,1,2,55,0
Trevor Daniel,HOU,vs TEN,W  34-17,5,224,44.8,37.0,1,2,55,0
Johnny Townsend,OAK,@ BAL,L  17-34,6,268,44.7,31.5,0,1,52,0
Lachlan Edwards,NYJ,vs NE,L  13-27,5,222,44.4,40.4,1,2,53,0
Jordan Berry,PIT,@ DEN,L  17-24,3,133,44.3,42.3,0,2,52,0
Riley Dixon,NYG,@ PHI,L  22-25,3,133,44.3,43.0,0,0,56,0
Bradley Pinion,SF,@ TB,L  9-27,6,260,43.3,42.3,0,3,56,0
Rigoberto Sanchez,IND,vs MIA,W  27-24,3,103,34.3,34.3,0,1,49,0
