Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Patrick Mahomes,KC,@ LA,L  51-54,33,46,478,6,3,3,2,117.6
Jared Goff,LA,vs KC,W  54-51,31,49,413,4,0,5,2,117.1
Philip Rivers,LAC,vs DEN,L  22-23,28,43,401,2,2,3,0,91.3
Drew Brees,NO,vs PHI,W  48-7,22,30,363,4,0,0,0,153.2
Cam Newton,CAR,@ DET,L  19-20,25,37,357,3,1,3,0,114.4
Aaron Rodgers,GB,@ SEA,L  24-27,21,30,332,2,0,5,0,128.8
Ben Roethlisberger,PIT,@ JAX,W  20-16,27,47,314,2,3,2,0,65.4
Andrew Luck,IND,vs TEN,W  38-10,23,29,297,3,0,0,0,143.8
Matt Ryan,ATL,vs DAL,L  19-22,24,34,291,1,1,3,0,94.1
Kirk Cousins,MIN,@ CHI,L  20-25,30,46,262,2,2,2,0,76.5
Eli Manning,NYG,vs TB,W  38-35,17,18,231,2,0,4,0,155.8
Russell Wilson,SEA,vs GB,W  27-24,21,31,225,2,0,3,0,110.3
Matthew Stafford,DET,vs CAR,W  20-19,23,37,220,1,0,1,0,87.7
Andy Dalton,CIN,@ BAL,L  21-24,19,36,211,2,0,1,0,89.0
Dak Prescott,DAL,@ ATL,W  22-19,22,32,208,0,0,2,0,86.5
Deshaun Watson,HOU,@ WAS,W  23-21,16,24,208,1,2,3,0,72.9
Case Keenum,DEN,@ LAC,W  23-22,19,32,205,0,0,0,0,78.3
Jameis Winston,TB,@ NYG,L  35-38,12,16,199,2,1,0,0,129.9
Derek Carr,OAK,@ ARI,W  23-21,19,31,192,2,0,4,0,100.5
Ryan Fitzpatrick,TB,@ NYG,L  35-38,13,21,167,0,3,1,0,47.2
Mitchell Trubisky,CHI,vs MIN,W  25-20,20,31,165,1,2,1,0,61.9
Carson Wentz,PHI,@ NO,L  7-48,19,33,156,0,3,3,0,31.9
Lamar Jackson,BAL,vs CIN,W  24-21,13,19,150,0,1,3,0,70.1
Josh Rosen,ARI,vs OAK,L  21-23,9,20,136,3,2,1,0,67.9
Alex Smith,WAS,vs HOU,L  21-23,12,27,135,0,2,3,0,29.1
Blaine Gabbert,TEN,@ IND,L  10-38,11,16,118,1,1,1,0,84.9
Blake Bortles,JAX,vs PIT,L  16-20,10,18,104,0,0,6,1,72.5
Marcus Mariota,TEN,@ IND,L  10-38,10,13,85,0,1,4,0,61.4
Colt McCoy,WAS,vs HOU,L  21-23,6,12,54,1,0,2,0,90.3
Colby Wadman,DEN,@ LAC,W  23-22,1,1,12,0,0,0,0,116.7
Taysom Hill,NO,vs PHI,W  48-7,1,2,10,0,0,0,0,64.6
Tyler Boyd,CIN,@ BAL,L  21-24,0,1,0,0,0,0,0,39.6
Eric Ebron,IND,vs TEN,W  38-10,0,1,0,0,0,0,0,39.6
Taylor Heinicke,CAR,@ DET,L  19-20,0,1,0,0,0,0,0,39.6
Jacoby Brissett,IND,vs TEN,W  38-10,1,2,-2,0,0,0,0,56.2
