Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Ka'imi Fairbairn,HOU,vs CLE,W  29-13,5,5,2,2,17
Jason Myers,NYJ,@ TEN,L  22-26,5,5,1,1,16
Justin Tucker,BAL,@ ATL,W  26-16,4,4,2,2,14
Aldrick Rosas,NYG,vs CHI,W  30-27,3,3,3,3,12
Greg Zuerlein,LA,@ DET,W  30-16,3,3,3,3,12
Harrison Butker,KC,@ OAK,W  40-33,2,2,4,5,10
Matt Prater,DET,vs LA,L  16-30,3,3,1,1,10
Daniel Carlson,OAK,vs KC,L  33-40,2,2,3,3,9
Cody Parkey,CHI,@ NYG,L  27-30,2,2,3,3,9
Jake Elliott,PHI,vs WAS,W  28-13,2,2,2,2,8
Zane Gonzalez,ARI,@ GB,W  20-17,2,2,2,2,8
Ryan Succop,TEN,vs NYJ,W  26-22,2,2,2,3,8
Dustin Hopkins,WAS,@ PHI,L  13-28,2,2,1,1,7
Sebastian Janikowski,SEA,vs SF,W  43-16,1,1,4,6,7
Brett Maher,DAL,vs NO,W  13-10,2,2,1,1,7
Chris Boswell,PIT,vs LAC,L  30-33,1,1,3,4,6
Stephen Gostkowski,NE,vs MIN,W  24-10,1,2,3,3,6
Josh Lambo,JAX,vs IND,W  6-0,2,2,0,0,6
Brandon McManus,DEN,@ CIN,W  24-10,1,2,3,3,6
Cairo Santos,TB,vs CAR,W  24-17,1,1,3,3,6
Michael Badgley,LAC,@ PIT,W  33-30,1,2,2,2,5
Mason Crosby,GB,vs ARI,L  17-20,1,2,2,2,5
Graham Gano,CAR,@ TB,L  17-24,1,1,2,2,5
Dan Bailey,MIN,@ NE,L  10-24,1,2,1,1,4
Matt Bryant,ATL,vs BAL,L  16-26,1,1,1,1,4
Randy Bullock,CIN,vs DEN,L  10-24,1,1,1,1,4
Robbie Gould,SF,@ SEA,L  16-43,1,1,1,1,4
Wil Lutz,NO,@ DAL,L  10-13,1,1,1,1,4
Stephen Hauschka,BUF,@ MIA,L  17-21,1,2,0,1,3
Jason Sanders,MIA,vs BUF,W  21-17,0,0,3,3,3
Greg Joseph,CLE,@ HOU,L  13-29,0,0,1,1,1
