Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Greg Zuerlein,LA,vs HOU,W  33-7,4,4,3,3,15
Nick Rose,WAS,vs MIN,L  30-38,3,3,3,3,12
Mason Crosby,GB,@ CHI,W  23-16,3,4,2,2,11
Stephen Gostkowski,NE,@ DEN,W  41-16,2,2,5,5,11
Wil Lutz,NO,@ BUF,W  47-10,2,2,5,6,11
Connor Barth,CHI,vs GB,L  16-23,3,3,1,1,10
Brandon McManus,DEN,vs NE,L  16-41,3,3,1,1,10
Matt Bryant,ATL,vs DAL,W  27-7,2,2,3,3,9
Graham Gano,CAR,vs MIA,W  45-21,1,1,6,6,9
Patrick Murray,TB,vs NYJ,W  15-10,3,3,0,0,9
Kai Forbath,MIN,@ WAS,W  38-30,1,1,5,5,8
Matt Prater,DET,vs CLE,W  38-24,1,1,5,5,8
Blair Walsh,SEA,@ ARI,W  22-16,2,2,2,2,8
Robbie Gould,SF,vs NYG,W  31-21,1,1,4,4,7
Aldrick Rosas,NYG,@ SF,L  21-31,2,3,1,1,7
Chris Boswell,PIT,@ IND,W  20-17,2,3,0,1,6
Zane Gonzalez,CLE,@ DET,L  24-38,1,1,3,3,6
Josh Lambo,JAX,vs LAC,W  20-17,2,2,0,1,6
Ryan Succop,TEN,vs CIN,W  24-20,1,2,3,3,6
Nick Novak,LAC,@ JAX,L  17-20,1,1,2,2,5
Adam Vinatieri,IND,vs PIT,L  17-20,1,1,2,2,5
Chandler Catanzaro,NYJ,@ TB,L  10-15,1,1,1,1,4
Phil Dawson,ARI,vs SEA,L  16-22,1,1,1,2,4
Stephen Hauschka,BUF,vs NO,L  10-47,1,1,1,1,4
Cody Parkey,MIA,@ CAR,L  21-45,0,0,3,3,3
Randy Bullock,CIN,@ TEN,L  20-24,0,0,2,3,2
Ka'imi Fairbairn,HOU,@ LA,L  7-33,0,1,1,1,1
Mike Nugent,DAL,@ ATL,L  7-27,0,1,1,1,1
