Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Andy Lee,CLE,@ NYJ,L  10-31,2,121,60.5,54.0,0,0,61,0
Matt Bosher,ATL,vs PHI,W  26-24,4,231,57.8,51.5,0,3,62,0
Pat O'Donnell,CHI,vs GB,L  23-31,1,56,56.0,56.0,0,0,56,0
Matt Darr,MIA,@ WAS,W  17-10,4,217,54.3,43.5,1,1,63,0
Chris Jones,DAL,vs NYG,W  27-26,2,107,53.5,52.0,0,1,54,0
Mike Scifres,,vs DET,W  33-28,2,104,52.0,35.0,0,0,58,0
Britton Colquitt,DEN,vs BAL,W  19-13,5,259,51.8,45.4,0,2,62,0
Jon Ryan,SEA,@,L  31-34,4,207,51.8,25.5,1,2,73,0
Sam Koch,BAL,@ DEN,L  13-19,6,310,51.7,48.3,0,2,59,0
Colton Schmidt,BUF,vs IND,W  27-14,5,252,50.4,46.2,1,2,63,0
Tim Masthay,GB,@ CHI,W  31-23,2,97,48.5,33.0,1,0,54,0
Ryan Allen,NE,vs PIT,W  28-21,4,191,47.8,42.0,1,1,67,0
Johnny Hekker,,vs SEA,W  34-31,3,142,47.3,26.3,0,0,55,0
Brett Kern,TEN,@ TB,W  42-14,4,189,47.3,43.0,0,1,57,0
Shane Lechler,HOU,vs KC,L  20-27,7,329,47.0,32.6,1,1,57,0
Jacob Schum,TB,vs TEN,L  14-42,4,188,47.0,43.5,0,0,56,0
Bradley Pinion,SF,vs MIN,W  20-3,3,140,46.7,43.7,0,2,52,0
Bryan Anger,,vs CAR,L  9-20,5,231,46.2,37.0,0,2,56,0
Donnie Jones,PHI,@ ATL,L  24-26,5,226,45.2,37.6,1,1,60,0
Brad Nortman,CAR,@,W  20-9,4,179,44.8,37.5,1,2,56,0
Brad Wing,NYG,@ DAL,L  26-27,4,179,44.8,45.5,0,3,63,0
Pat McAfee,IND,@ BUF,L  14-27,4,177,44.3,42.8,0,0,48,0
Dustin Colquitt,KC,@ HOU,W  27-20,7,307,43.9,36.1,2,4,56,0
Kevin Huber,CIN,@ OAK,W  33-13,5,219,43.8,38.4,0,1,53,0
Ryan Quigley,NYJ,vs CLE,W  31-10,3,131,43.7,33.7,1,1,52,0
Jordan Berry,PIT,@ NE,L  21-28,2,87,43.5,43.0,0,0,50,0
Marquette King,OAK,vs CIN,L  13-33,6,260,43.3,36.2,1,2,48,0
Thomas Morstead,NO,@ ARI,L  19-31,4,171,42.8,39.0,0,1,54,0
Tress Way,WAS,vs MIA,L  10-17,3,124,41.3,10.0,1,1,54,0
Drew Butler,ARI,vs NO,W  31-19,4,158,39.5,39.0,0,2,47,0
Jeff Locke,MIN,@ SF,L  3-20,4,150,37.5,37.5,0,2,44,0
Sam Martin,DET,@,L  28-33,5,176,35.2,35.2,0,3,42,0
