Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Brad Wing,NYG,@ TB,W  32-18,1,64,64.0,63.0,0,1,64,0
Brett Kern,TEN,@ NO,W  34-28,5,253,50.6,46.4,0,2,56,0
Colton Schmidt,BUF,vs MIA,W  33-17,3,150,50.0,44.0,0,1,58,0
Donnie Jones,PHI,@ DAL,W  33-27,5,241,48.2,47.2,0,4,59,0
Brad Nortman,CAR,vs GB,W  37-29,6,289,48.2,45.2,0,0,60,0
Bradley Pinion,SF,vs ATL,W  17-16,5,241,48.2,33.0,0,0,58,0
Tress Way,WAS,@ NE,L  10-27,4,188,47.0,47.5,0,1,55,0
Johnny Hekker,,@ MIN,L  18-21,8,372,46.5,41.5,0,2,63,0
Thomas Morstead,NO,vs TEN,L  28-34,4,183,45.8,42.8,0,2,49,0
Andy Lee,CLE,@ CIN,L  10-31,6,274,45.7,40.8,1,1,56,0
Pat McAfee,IND,vs DEN,W  27-24,5,226,45.2,28.6,0,1,52,0
Tim Masthay,GB,@ CAR,L  29-37,8,357,44.6,40.3,0,2,56,0
Chris Jones,DAL,vs PHI,L  27-33,4,175,43.8,43.8,0,2,55,0
Matt Bosher,ATL,@ SF,L  16-17,7,304,43.4,41.0,0,5,57,0
Britton Colquitt,DEN,@ IND,L  24-27,5,215,43.0,42.6,0,2,53,0
Pat O'Donnell,CHI,@,W  22-19,2,85,42.5,42.5,0,1,44,0
Jacob Schum,TB,vs NYG,L  18-32,2,85,42.5,32.5,1,1,49,0
Jeff Locke,MIN,vs,W  21-18,8,334,41.8,35.9,1,1,61,0
Jordan Berry,PIT,vs OAK,W  38-35,5,208,41.6,41.4,0,3,51,0
Bryan Anger,,@ NYJ,L  23-28,5,203,40.6,32.2,0,3,50,0
Mike Scifres,,vs CHI,L  19-22,4,159,39.8,34.3,0,1,49,0
Marquette King,OAK,@ PIT,L  35-38,7,277,39.6,39.3,0,3,50,0
Kevin Huber,CIN,vs CLE,W  31-10,2,79,39.5,26.3,0,1,43,1
Ryan Quigley,NYJ,vs,W  28-23,9,351,39.0,36.8,0,5,52,0
Matt Darr,MIA,@ BUF,L  17-33,3,114,38.0,31.3,1,2,48,0
Ryan Allen,NE,vs WAS,W  27-10,2,69,34.5,30.0,0,1,48,0
