Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Harrison Butker,KC,vs DEN,W  29-19,5,5,2,2,17
Mike Nugent,DAL,@ WAS,W  33-19,4,5,3,3,15
Matt Prater,DET,vs PIT,L  15-20,5,5,0,0,15
Matt Bryant,ATL,@ NYJ,W  25-20,4,4,1,1,13
Kai Forbath,MIN,@ CLE,W  33-16,4,4,1,2,13
Stephen Gostkowski,NE,vs LAC,W  21-13,4,6,1,1,13
Adam Vinatieri,IND,@ CIN,L  23-24,3,3,2,2,11
Blair Walsh,SEA,vs HOU,W  41-38,2,2,5,5,11
Stephen Hauschka,BUF,vs OAK,W  34-14,2,2,4,4,10
Justin Tucker,BAL,vs MIA,W  40-0,2,3,4,4,10
Chris Boswell,PIT,@ DET,W  20-15,2,2,2,2,8
Chandler Catanzaro,NYJ,vs ATL,L  20-25,2,4,2,2,8
Ka'imi Fairbairn,HOU,@ SEA,L  38-41,1,1,5,5,8
Wil Lutz,NO,vs CHI,W  20-12,2,2,2,2,8
Jake Elliott,PHI,vs SF,W  33-10,2,2,1,3,7
Brandon McManus,DEN,@ KC,L  19-29,2,2,1,1,7
Nick Rose,WAS,vs DAL,L  19-33,2,3,1,2,7
Connor Barth,CHI,@ NO,L  12-20,2,3,0,0,6
Randy Bullock,CIN,vs IND,W  24-23,1,2,3,3,6
Graham Gano,CAR,@ TB,W  17-3,1,1,2,2,5
Zane Gonzalez,CLE,vs MIN,L  16-33,1,2,1,2,4
Robbie Gould,SF,@ PHI,L  10-33,1,2,1,1,4
Patrick Murray,TB,vs CAR,L  3-17,1,1,0,0,3
Giorgio Tavecchio,OAK,@ BUF,L  14-34,0,0,2,2,2
Nick Novak,LAC,@ NE,L  13-21,0,1,1,1,1
Cody Parkey,MIA,@ BAL,L  0-40,0,1,0,0,0
