Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Drew Kaser,LAC,vs KC,L  28-38,2,120,60.0,12.5,0,0,63,0
Michael Dickson,SEA,@ DEN,L  24-27,6,354,59.0,57.5,0,4,69,0
Johnny Hekker,LA,@ OAK,W  33-13,2,117,58.5,53.5,0,2,62,0
Matt Haack,MIA,vs TEN,W  27-20,4,215,53.8,32.8,2,0,65,0
Andy Lee,ARI,vs WAS,L  6-24,5,263,52.6,46.2,1,3,60,0
Cameron Johnston,PHI,vs ATL,W  18-12,6,313,52.2,47.0,1,1,65,0
Thomas Morstead,NO,vs TB,L  40-48,3,156,52.0,45.7,0,0,58,0
Sam Koch,BAL,vs BUF,W  47-3,5,257,51.4,47.6,0,3,63,0
Dustin Colquitt,KC,@ LAC,W  38-28,5,256,51.2,52.2,0,3,67,0
Sam Martin,DET,vs NYJ,L  17-48,3,152,50.7,5.0,0,0,55,0
Pat O'Donnell,CHI,@ GB,L  23-24,4,201,50.3,46.0,0,1,63,0
Corey Bojorquez,BUF,@ BAL,L  3-47,8,397,49.6,42.9,0,3,58,0
Riley Dixon,NYG,vs JAX,L  15-20,5,247,49.4,43.4,1,0,59,0
Chris Jones,DAL,@ CAR,L  8-16,6,293,48.8,38.5,0,2,56,0
Kevin Huber,CIN,@ IND,W  34-23,2,96,48.0,48.0,0,0,50,0
J.K. Scott,GB,vs CHI,W  24-23,4,192,48.0,36.8,0,1,58,0
Michael Palardy,CAR,vs DAL,W  16-8,6,287,47.8,42.3,1,3,52,0
Matt Bosher,ATL,@ PHI,L  12-18,6,286,47.7,42.8,0,1,57,0
Rigoberto Sanchez,IND,vs CIN,L  23-34,2,95,47.5,48.0,0,0,49,0
Ryan Allen,NE,vs HOU,W  27-20,6,281,46.8,43.5,0,2,55,0
Tress Way,WAS,@ ARI,W  24-6,4,186,46.5,35.5,0,2,59,0
Brett Kern,TEN,@ MIA,L  20-27,4,179,44.8,44.5,0,4,55,0
Marquette King,DEN,vs SEA,W  27-24,6,267,44.5,42.7,0,3,53,0
Johnny Townsend,OAK,vs LA,L  13-33,4,178,44.5,41.5,0,1,55,0
Britton Colquitt,CLE,vs PIT,T 21-21,12,522,43.5,37.2,1,6,57,0
Bradley Pinion,SF,@ MIN,L  16-24,4,174,43.5,41.8,0,1,48,0
Bryan Anger,TB,@ NO,W  48-40,1,42,42.0,42.0,0,0,42,0
Jordan Berry,PIT,@ CLE,T 21-21,7,275,39.3,37.1,0,3,53,0
Trevor Daniel,HOU,@ NE,L  20-27,6,230,38.3,38.3,0,3,48,0
Matt Wile,MIN,vs SF,W  24-16,6,230,38.3,36.0,0,4,56,0
Logan Cooke,JAX,@ NYG,W  20-15,7,264,37.7,37.1,0,4,47,0
Lachlan Edwards,NYJ,@ DET,W  48-17,3,112,37.3,37.3,0,2,40,0
Caleb Sturgis,LAC,vs KC,L  28-38,1,24,24.0,24.0,0,1,24,0
