Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Phil Dawson,SF,vs,W  19-16,4,4,1,1,13
Josh Brown,NYG,vs PHI,L  30-35,3,3,3,3,12
Travis Coons,CLE,vs PIT,L  12-28,4,4,0,0,12
Stephen Hauschka,SEA,@ ARI,W  36-6,3,4,3,4,12
Nick Novak,HOU,vs,W  30-6,3,4,3,3,12
Adam Vinatieri,IND,vs TEN,W  30-24,3,3,3,3,12
Dan Carpenter,BUF,vs NYJ,W  22-17,3,3,1,2,10
Dustin Hopkins,WAS,@ DAL,W  34-23,2,2,4,4,10
Justin Tucker,BAL,@ CIN,L  16-24,3,3,1,1,10
Greg Zuerlein,,@ SF,L  16-19,3,5,1,1,10
Brandon McManus,DEN,vs,W  27-20,2,2,3,3,9
Chris Boswell,PIT,@ CLE,W  28-12,2,3,2,2,8
Kai Forbath,NO,@ ATL,W  20-17,2,2,2,2,8
Andrew Franks,MIA,vs NE,W  20-10,2,3,2,2,8
Graham Gano,CAR,vs TB,W  38-10,1,1,5,5,8
Robbie Gould,CHI,vs DET,L  20-24,2,2,2,2,8
Josh Lambo,,@ DEN,L  20-27,2,2,2,2,8
Blair Walsh,MIN,@ GB,W  20-13,2,2,2,2,8
Mason Crosby,GB,vs MIN,L  13-20,2,2,1,1,7
Jason Myers,,@ HOU,L  6-30,2,2,0,0,6
Mike Nugent,CIN,vs BAL,W  24-16,1,1,3,3,6
Matt Prater,DET,@ CHI,W  24-20,1,2,3,3,6
Ryan Succop,TEN,@ IND,L  24-30,1,1,3,3,6
Randy Bullock,NYJ,@ BUF,L  17-22,1,2,2,2,5
Shayne Graham,ATL,vs NO,L  17-20,1,2,2,2,5
Sebastian Janikowski,OAK,@ KC,L  17-23,1,1,2,2,5
Caleb Sturgis,PHI,@ NYG,W  35-30,0,0,5,5,5
Connor Barth,TB,@ CAR,L  10-38,1,1,1,1,4
Stephen Gostkowski,NE,@ MIA,L  10-20,1,2,1,1,4
Dan Bailey,DAL,vs WAS,L  23-34,0,0,3,3,3
Cairo Santos,KC,vs OAK,W  23-17,0,0,3,3,3
Chandler Catanzaro,ARI,vs SEA,L  6-36,0,1,0,1,0
