Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Brett Kern,TEN,vs CIN,W  24-20,6,339,56.5,42.2,2,1,74,0
Tress Way,WAS,vs MIN,L  30-38,1,52,52.0,43.0,0,1,52,0
Johnny Hekker,LA,vs HOU,W  33-7,4,205,51.3,42.0,1,0,55,0
Lachlan Edwards,NYJ,@ TB,L  10-15,7,354,50.6,43.7,0,2,59,0
Kevin Huber,CIN,@ TEN,L  20-24,7,351,50.1,47.7,0,3,63,0
Jon Ryan,SEA,@ ARI,W  22-16,8,398,49.8,42.1,0,3,57,0
Jordan Berry,PIT,@ IND,W  20-17,6,297,49.5,46.7,0,3,58,0
Drew Kaser,LAC,@ JAX,L  17-20,10,485,48.5,41.5,2,2,61,0
Britton Colquitt,CLE,@ DET,L  24-38,5,241,48.2,37.0,0,1,59,0
Pat O'Donnell,CHI,vs GB,L  16-23,5,241,48.2,39.8,0,1,59,0
Brad Nortman,JAX,vs LAC,W  20-17,9,431,47.9,42.3,2,3,61,0
Riley Dixon,DEN,vs NE,L  16-41,2,95,47.5,31.7,0,1,49,1
Rigoberto Sanchez,IND,vs PIT,L  17-20,7,328,46.9,45.9,0,2,59,0
Shane Lechler,HOU,@ LA,L  7-33,6,281,46.8,38.2,1,4,58,0
Andy Lee,ARI,vs SEA,L  16-22,5,230,46.0,38.4,1,2,59,0
Colton Schmidt,BUF,vs NO,L  10-47,6,272,45.3,42.2,0,1,58,0
Bradley Pinion,SF,vs NYG,W  31-21,1,45,45.0,45.0,0,1,45,0
Sam Martin,DET,vs CLE,W  38-24,4,176,44.0,36.3,1,1,48,0
Bryan Anger,TB,vs NYJ,W  15-10,6,260,43.3,37.0,2,1,59,0
Ryan Allen,NE,@ DEN,W  41-16,1,43,43.0,43.0,0,0,43,0
Chris Jones,DAL,@ ATL,L  7-27,4,171,42.8,37.8,1,2,58,0
Matt Bosher,ATL,vs DAL,W  27-7,2,85,42.5,37.0,0,0,44,0
Michael Palardy,CAR,vs MIA,W  45-21,2,85,42.5,32.5,1,1,43,0
Matt Haack,MIA,@ CAR,L  21-45,4,167,41.8,39.3,0,3,48,0
Brad Wing,NYG,@ SF,L  21-31,3,124,41.3,33.7,0,0,47,0
Justin Vogel,GB,@ CHI,W  23-16,4,160,40.0,38.0,0,1,53,0
Ryan Quigley,MIN,@ WAS,W  38-30,2,79,39.5,39.5,0,0,41,0
