Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Matt Prater,DET,@ MIA,W  32-21,4,4,2,2,14
Dan Bailey,MIN,@ NYJ,W  37-17,3,4,4,4,13
Greg Zuerlein,LA,@ SF,W  39-10,3,3,4,4,13
Giorgio Tavecchio,ATL,vs NYG,W  23-20,3,3,2,2,11
Harrison Butker,KC,vs CIN,W  45-10,1,2,6,6,9
Brandon McManus,DEN,@ ARI,W  45-10,1,1,6,6,9
Michael Badgley,LAC,vs TEN,W  20-19,2,2,2,2,8
Chandler Catanzaro,TB,vs CLE,W  26-23,2,3,2,3,8
Ka'imi Fairbairn,HOU,@ JAX,W  20-7,2,2,2,2,8
Stephen Gostkowski,NE,@ CHI,W  38-31,1,1,5,5,8
Dustin Hopkins,WAS,vs DAL,W  20-17,2,2,2,2,8
Cody Parkey,CHI,vs NE,L  31-38,1,1,4,4,7
Ryan Succop,TEN,@ LAC,L  19-20,2,3,1,1,7
Wil Lutz,NO,@ BAL,W  24-23,1,1,3,3,6
Aldrick Rosas,NYG,@ ATL,L  20-23,2,2,0,0,6
Jake Elliott,PHI,vs CAR,L  17-21,1,2,2,2,5
Brett Maher,DAL,@ WAS,L  17-20,1,2,2,2,5
Jason Myers,NYJ,vs MIN,L  17-37,1,1,2,2,5
Justin Tucker,BAL,vs NO,L  23-24,1,1,2,3,5
Adam Vinatieri,IND,vs BUF,W  37-5,1,1,2,4,5
Randy Bullock,CIN,@ KC,L  10-45,1,1,1,1,4
Phil Dawson,ARI,vs DEN,L  10-45,1,1,1,1,4
Robbie Gould,SF,vs LA,L  10-39,1,1,1,1,4
Stephen Hauschka,BUF,@ IND,L  5-37,1,1,0,0,3
Greg Joseph,CLE,@ TB,L  23-26,0,0,3,3,3
Jason Sanders,MIA,vs DET,L  21-32,0,1,3,3,3
Graham Gano,CAR,@ PHI,W  21-17,0,0,1,2,1
Josh Lambo,JAX,vs HOU,L  7-20,0,0,1,1,1
