Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Dustin Colquitt,KC,@ CIN,L  21-36,1,62,62.0,55.0,0,0,62,0
Colton Schmidt,BUF,vs NYG,L  10-24,7,363,51.9,49.3,0,2,62,0
Sam Koch,BAL,@ PIT,W  23-20,4,204,51.0,38.3,0,0,57,0
Johnny Hekker,,@ ARI,W  24-22,7,348,49.7,45.1,0,2,57,0
Shane Lechler,HOU,@ ATL,L  21-48,4,194,48.5,41.3,0,1,60,0
Marquette King,OAK,@ CHI,L  20-22,5,242,48.4,45.0,0,2,54,0
Andy Lee,CLE,@,L  27-30,4,192,48.0,46.8,0,3,57,0
Jon Ryan,SEA,vs DET,W  13-10,4,192,48.0,40.8,0,3,70,0
Pat McAfee,IND,vs,W  16-13,6,287,47.8,45.0,0,2,57,0
Matt Bosher,ATL,vs HOU,W  48-21,6,286,47.7,41.0,0,1,55,0
Kevin Huber,CIN,vs KC,W  36-21,3,143,47.7,47.7,0,2,67,0
Britton Colquitt,DEN,vs MIN,W  23-20,3,141,47.0,44.7,0,1,50,0
Matt Darr,MIA,vs NYJ,L  14-27,7,322,46.0,41.4,0,2,59,0
Sam Martin,DET,@ SEA,L  10-13,8,367,45.9,38.1,1,3,62,0
Spencer Lanning,CHI,vs OAK,W  22-20,3,136,45.3,35.7,0,1,51,0
Brad Wing,NYG,@ BUF,W  24-10,8,355,44.4,41.9,0,4,55,0
Tress Way,WAS,vs PHI,W  23-20,5,221,44.2,31.2,1,0,63,0
Drew Butler,ARI,vs,L  22-24,1,44,44.0,44.0,0,0,44,0
Jeff Locke,MIN,@ DEN,L  20-23,5,217,43.4,43.0,0,3,54,0
Zach Hocker,NO,vs DAL,W  26-20,1,43,43.0,43.0,0,1,43,0
Ryan Quigley,NYJ,@ MIA,W  27-14,5,212,42.4,29.0,0,1,51,0
Donnie Jones,PHI,@ WAS,L  20-23,6,251,41.8,38.2,1,2,46,0
Chris Jones,DAL,@ NO,L  20-26,5,209,41.8,35.0,0,3,53,0
Bradley Pinion,SF,vs GB,L  3-17,6,247,41.2,38.8,0,1,59,0
Thomas Morstead,NO,vs DAL,W  26-20,3,123,41.0,41.0,0,2,47,0
Jacob Schum,TB,vs CAR,L  23-37,2,82,41.0,38.5,0,0,41,0
Jordan Berry,PIT,vs BAL,L  20-23,6,239,39.8,37.5,0,2,51,0
Tim Masthay,GB,@ SF,W  17-3,6,235,39.2,37.2,0,1,51,0
Brad Nortman,CAR,@ TB,W  37-23,4,154,38.5,29.8,1,2,56,0
Bryan Anger,,@ IND,L  13-16,8,307,38.4,36.4,0,5,47,0
Mike Scifres,,vs CLE,W  30-27,5,186,37.2,29.0,0,2,47,0
