Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Ben Roethlisberger,PIT,@ DEN,L  17-24,41,56,462,1,2,2,0,88.5
Matt Ryan,ATL,@ NO,L  17-31,35,47,377,2,1,6,1,102.9
Andrew Luck,IND,vs MIA,W  27-24,30,37,343,3,2,1,0,109.8
Kirk Cousins,MIN,vs GB,W  24-17,29,38,342,3,0,2,0,129.5
Russell Wilson,SEA,@ CAR,W  30-27,22,31,339,2,0,2,0,128.3
Jameis Winston,TB,vs SF,W  27-9,29,38,312,2,0,1,0,117.4
Marcus Mariota,TEN,@ HOU,L  17-34,22,23,303,2,0,6,0,147.7
Eli Manning,NYG,@ PHI,L  22-25,26,37,297,1,1,2,0,91.8
Dak Prescott,DAL,vs WAS,W  31-23,22,31,289,2,0,4,0,121.6
Tom Brady,NE,@ NYJ,W  27-13,20,31,283,2,0,0,0,115.4
Josh McCown,NYJ,vs NE,L  13-27,26,45,276,1,1,2,0,73.9
Colt McCoy,WAS,@ DAL,L  23-31,24,38,268,2,3,3,0,68.8
Philip Rivers,LAC,vs ARI,W  45-10,28,29,259,3,0,4,1,138.4
Baker Mayfield,CLE,@ CIN,W  35-20,19,26,258,4,0,0,0,143.9
Cam Newton,CAR,vs SEA,L  27-30,25,30,256,2,1,0,0,110.6
Matthew Stafford,DET,vs CHI,L  16-23,28,38,236,0,2,2,0,67.4
Carson Wentz,PHI,vs NYG,W  25-22,20,28,236,1,0,3,0,108.6
Chase Daniel,CHI,@ DET,W  23-16,27,37,230,2,0,4,0,106.8
Nick Mullens,SF,@ TB,L  9-27,18,32,221,1,2,4,0,62.1
Deshaun Watson,HOU,vs TEN,W  34-17,19,24,210,2,0,4,0,130.9
Ryan Tannehill,MIA,@ IND,L  24-27,17,25,204,2,0,1,0,119.4
Aaron Rodgers,GB,@ MIN,L  17-24,17,28,198,1,0,4,0,94.0
Case Keenum,DEN,vs PIT,W  24-17,15,28,197,2,0,2,0,99.9
Derek Carr,OAK,@ BAL,L  17-34,16,34,194,1,0,3,1,74.9
Lamar Jackson,BAL,vs OAK,W  34-17,14,25,178,1,2,1,0,58.4
Drew Brees,NO,vs ATL,W  31-17,15,22,171,4,1,1,0,111.9
Josh Allen,BUF,vs JAX,W  24-21,8,19,160,1,0,0,0,89.8
Jeff Driskel,CIN,vs CLE,L  20-35,17,29,155,1,0,1,0,84.7
Blake Bortles,JAX,@ BUF,L  21-24,12,23,127,1,2,3,0,46.8
Josh Rosen,ARI,@ LAC,L  10-45,12,19,105,1,1,2,0,73.4
Andy Dalton,CIN,vs CLE,L  20-35,10,17,100,1,1,0,0,70.7
Anthony Miller,CHI,@ DET,W  23-16,1,1,8,0,0,0,0,100.0
Jacoby Brissett,IND,vs MIA,W  27-24,1,1,4,0,0,0,0,83.3
Chris Boswell,PIT,@ DEN,L  17-24,1,1,2,1,0,0,0,118.8
Antonio Brown,PIT,@ DEN,L  17-24,0,1,0,0,0,0,0,39.6
Taysom Hill,NO,vs ATL,W  31-17,0,0,0,0,0,1,0,0.0
Geno Smith,LAC,vs ARI,W  45-10,0,3,0,0,0,0,0,39.6
