Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Dan Bailey,DAL,@ WAS,W  19-16,4,4,1,1,13
Chris Boswell,PIT,vs IND,W  45-10,3,4,4,4,13
Shayne Graham,ATL,@ TB,L  19-23,4,4,1,1,13
Mike Nugent,CIN,@ CLE,W  37-3,3,3,4,4,13
Randy Bullock,NYJ,@ NYG,W  23-20,3,3,2,2,11
Matt Prater,DET,vs GB,L  23-27,3,3,2,2,11
Dustin Hopkins,WAS,vs DAL,L  16-19,3,4,1,1,10
Chandler Catanzaro,ARI,@,W  27-3,2,2,3,3,9
Josh Brown,NYG,vs NYJ,L  20-23,2,3,2,2,8
Robbie Gould,CHI,vs SF,L  20-26,2,4,2,2,8
Stephen Hauschka,SEA,@ MIN,W  38-7,1,1,5,5,8
Justin Tucker,BAL,@ MIA,L  13-15,2,3,1,1,7
Dan Carpenter,BUF,vs HOU,W  30-21,1,2,3,4,6
Ryan Succop,TEN,vs JAX,W  42-39,0,0,6,6,6
Connor Barth,TB,vs ATL,W  23-19,1,1,2,2,5
Graham Gano,CAR,@ NO,W  41-38,0,0,5,6,5
Brandon McManus,DEN,@,W  17-3,1,2,2,2,5
Caleb Sturgis,PHI,@ NE,W  35-28,0,0,5,5,5
Kai Forbath,NO,vs CAR,L  38-41,0,1,4,4,4
Stephen Gostkowski,NE,vs PHI,L  28-35,0,0,4,4,4
Adam Vinatieri,IND,@ PIT,L  10-45,1,1,1,1,4
Travis Coons,CLE,vs CIN,L  3-37,1,2,0,0,3
Mason Crosby,GB,@ DET,W  27-23,0,1,3,3,3
Zach Hocker,,vs ARI,L  3-27,1,1,0,0,3
Josh Lambo,,vs DEN,L  3-17,1,2,0,0,3
Jason Myers,JAX,@ TEN,L  39-42,0,0,3,5,3
Phil Dawson,SF,@ CHI,W  26-20,0,0,2,3,2
Sebastian Janikowski,OAK,vs KC,L  20-34,0,1,2,3,2
Cairo Santos,KC,@ OAK,W  34-20,0,0,2,3,2
Andrew Franks,MIA,vs BAL,W  15-13,0,0,1,1,1
Nick Novak,HOU,@ BUF,L  21-30,0,0,1,2,1
Blair Walsh,MIN,vs SEA,L  7-38,0,0,1,1,1
