Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Antonio Brown,PIT,vs OAK,W  38-35,17,284,16.7,0,1
Sammy Watkins,BUF,vs MIA,W  33-17,8,168,21.0,1,0
Alshon Jeffery,CHI,@,W  22-19,10,151,15.1,0,0
Mike Evans,TB,vs NYG,L  18-32,8,150,18.8,0,1
Julio Jones,ATL,@ SF,L  16-17,10,137,13.7,0,0
Jordan Matthews,PHI,@ DAL,W  33-27,9,133,14.8,1,0
Allen Hurns,,@ NYJ,L  23-28,5,122,24.4,1,0
Allen Robinson,,@ NYJ,L  23-28,6,121,20.2,0,0
Cole Beasley,DAL,vs PHI,L  27-33,9,112,12.4,2,0
Michael Crabtree,OAK,@ PIT,L  35-38,7,108,15.4,2,0
Odell Beckham,NYG,@ TB,W  32-18,9,105,11.7,0,0
Dez Bryant,DAL,vs PHI,L  27-33,5,104,20.8,1,0
Owen Daniels,DEN,@ IND,L  24-27,6,102,17.0,1,0
Brandon LaFell,NE,vs WAS,W  27-10,5,102,20.4,0,0
Randall Cobb,GB,@ CAR,L  29-37,4,99,24.8,1,0
Lamar Miller,MIA,@ BUF,L  17-33,7,97,13.9,0,0
Willie Snead,NO,vs TEN,L  28-34,6,95,15.8,0,0
Delanie Walker,TEN,@ NO,W  34-28,7,95,13.6,2,0
Davante Adams,GB,@ CAR,L  29-37,7,93,13.3,0,0
Emmanuel Sanders,DEN,@ IND,L  24-27,6,90,15.0,1,0
Amari Cooper,OAK,@ PIT,L  35-38,7,88,12.6,1,0
Kenny Britt,,@ MIN,L  18-21,3,87,29.0,0,0
James Starks,GB,@ CAR,L  29-37,6,83,13.8,1,0
Jerricho Cotchery,CAR,vs GB,W  37-29,3,82,27.3,0,0
T.Y. Hilton,IND,vs DEN,W  27-24,5,82,16.4,0,0
Eric Decker,NYJ,vs,W  28-23,6,79,13.2,1,0
Marvin Jones,CIN,vs CLE,W  31-10,5,78,15.6,0,0
DeMarco Murray,PHI,@ DAL,W  33-27,6,78,13.0,0,0
Danny Woodhead,,vs CHI,L  19-22,6,78,13.0,1,0
Dorial Green-Beckham,TEN,@ NO,W  34-28,5,77,15.4,0,0
Kenny Stills,MIA,@ BUF,L  17-33,3,74,24.7,0,0
Harry Douglas,TEN,@ NO,W  34-28,5,73,14.6,0,0
Seth Roberts,OAK,@ PIT,L  35-38,3,73,24.3,0,0
Griff Whalen,IND,vs DEN,W  27-24,5,73,14.6,0,0
Brandin Cooks,NO,vs TEN,L  28-34,4,71,17.8,1,0
Devin Funchess,CAR,vs GB,W  37-29,3,71,23.7,1,0
Pierre Garcon,WAS,@ NE,L  10-27,4,70,17.5,0,0
Jeremy Langford,CHI,@,W  22-19,3,70,23.3,0,0
Quinton Patton,SF,vs ATL,W  17-16,3,70,23.3,0,0
Antonio Gates,,vs CHI,L  19-22,6,69,11.5,0,0
Steve Johnson,,vs CHI,L  19-22,7,68,9.7,0,0
Devonta Freeman,ATL,@ SF,L  16-17,8,67,8.4,1,0
Jarvis Landry,MIA,@ BUF,L  17-33,10,67,6.7,0,0
Greg Olsen,CAR,vs GB,W  37-29,4,66,16.5,1,0
Jacob Tamme,ATL,@ SF,L  16-17,6,61,10.2,0,0
Benjamin Watson,NO,vs TEN,L  28-34,5,60,12.0,0,0
Brandon Coleman,NO,vs TEN,L  28-34,2,58,29.0,0,0
Martellus Bennett,CHI,@,W  22-19,8,57,7.1,1,0
James Jones,GB,@ CAR,L  29-37,2,57,28.5,0,0
Julian Edelman,NE,vs WAS,W  27-10,5,55,11.0,1,1
Adam Humphries,TB,vs NYG,L  18-32,5,55,11.0,0,0
DeAngelo Williams,PIT,vs OAK,W  38-35,2,55,27.5,0,0
Rishard Matthews,MIA,@ BUF,L  17-33,4,54,13.5,0,0
Bryan Walters,,@ NYJ,L  23-28,5,54,10.8,1,0
Tyler Eifert,CIN,vs CLE,W  31-10,5,53,10.6,3,0
A.J. Green,CIN,vs CLE,W  31-10,4,53,13.2,0,0
Corey Brown,CAR,vs GB,W  37-29,2,50,25.0,1,0
Jamison Crowder,WAS,@ NE,L  10-27,6,50,8.3,0,0
Demaryius Thomas,DEN,@ IND,L  24-27,5,50,10.0,0,0
Rob Gronkowski,NE,vs WAS,W  27-10,4,47,11.8,0,0
Kenbrell Thompkins,NYJ,vs,W  28-23,4,45,11.2,0,0
Jeff Cumberland,NYJ,vs,W  28-23,1,44,44.0,0,0
Zach Ertz,PHI,@ DAL,W  33-27,5,44,8.8,0,0
Brandon Marshall,NYJ,vs,W  28-23,4,44,11.0,1,0
Torrey Smith,SF,vs ATL,W  17-16,2,44,22.0,0,0
Jason Witten,DAL,vs PHI,L  27-33,6,43,7.2,0,0
Stefon Diggs,MIN,vs,W  21-18,3,42,14.0,0,0
Mark Ingram,NO,vs TEN,L  28-34,4,42,10.5,0,0
Rueben Randle,NYG,@ TB,W  32-18,5,40,8.0,1,0
Dion Lewis,NE,vs WAS,W  27-10,4,39,9.8,0,0
Shaun Draughn,SF,vs ATL,W  17-16,4,38,9.5,0,0
Duke Johnson,CLE,@ CIN,L  10-31,2,38,19.0,1,0
Marques Colston,NO,vs TEN,L  28-34,3,37,12.3,0,0
T.J. Yeldon,,@ NYJ,L  23-28,3,37,12.3,0,0
Gary Barnidge,CLE,@ CIN,L  10-31,2,35,17.5,0,0
Anthony Fasano,TEN,@ NO,W  34-28,3,33,11.0,1,0
Heath Miller,PIT,vs OAK,W  38-35,3,32,10.7,0,0
Dwayne Bowe,CLE,@ CIN,L  10-31,3,31,10.3,0,0
Martavis Bryant,PIT,vs OAK,W  38-35,3,31,10.3,1,0
Donte Moncrief,IND,vs DEN,W  27-24,3,30,10.0,0,0
Kyle Rudolph,MIN,vs,W  21-18,2,30,15.0,0,0
Shane Vereen,NYG,@ TB,W  32-18,4,29,7.2,1,0
Dontrelle Inman,,vs CHI,L  19-22,3,28,9.3,0,1
Dexter McCluster,TEN,@ NO,W  34-28,2,28,14.0,0,1
Miles Austin,PHI,@ DAL,W  33-27,1,27,27.0,0,0
Brandon Bolden,NE,vs WAS,W  27-10,3,27,9.0,1,0
Marcedes Lewis,,@ NYJ,L  23-28,1,27,27.0,0,0
Terrance Williams,DAL,vs PHI,L  27-33,3,27,9.0,0,0
Isaiah Crowell,CLE,@ CIN,L  10-31,3,26,8.7,0,0
Andre Roberts,WAS,@ NE,L  10-27,2,26,13.0,0,0
Melvin Gordon,,vs CHI,L  19-22,3,25,8.3,0,0
Charles Johnson,MIN,vs,W  21-18,1,25,25.0,0,0
Lance Kendricks,,@ MIN,L  18-21,2,25,12.5,0,0
Mohamed Sanu,CIN,vs CLE,W  31-10,3,25,8.3,0,0
Craig Stevens,TEN,@ NO,W  34-28,2,25,12.5,0,0
Danny Amendola,NE,vs WAS,W  27-10,4,24,6.0,0,0
Antonio Andrews,TEN,@ NO,W  34-28,1,23,23.0,0,0
Marc Mariani,CHI,@,W  22-19,2,23,11.5,0,0
