Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Johnny Hekker,LA,vs PHI,L  23-30,3,169,56.3,52.0,0,0,65,0
Michael Dickson,SEA,@ SF,L  23-26,8,426,53.3,44.5,2,3,65,0
Logan Cooke,JAX,vs WAS,L  13-16,5,262,52.4,50.2,0,3,72,0
Rigoberto Sanchez,IND,vs DAL,W  23-0,1,52,52.0,50.0,0,1,52,0
Cameron Johnston,PHI,@ LA,W  30-23,3,155,51.7,52.3,0,2,56,0
Dustin Colquitt,KC,vs LAC,L  28-29,4,203,50.8,45.8,1,1,61,0
Matt Haack,MIA,@ MIN,L  17-41,7,351,50.1,30.7,1,0,63,0
Lachlan Edwards,NYJ,vs HOU,L  22-29,4,197,49.3,45.0,0,2,54,0
Britton Colquitt,CLE,@ DEN,W  17-16,4,194,48.5,48.5,0,2,56,0
Andy Lee,ARI,@ ATL,L  14-40,7,336,48.0,46.6,0,2,64,0
Bradley Pinion,SF,vs SEA,W  26-23,4,192,48.0,41.0,1,0,55,0
Tress Way,WAS,@ JAX,W  16-13,6,279,46.5,32.5,0,3,58,0
Trevor Daniel,HOU,@ NYJ,W  29-22,3,137,45.7,38.3,0,0,51,0
Sam Martin,DET,@ BUF,L  13-14,7,317,45.3,40.9,1,3,55,0
Matt Bosher,ATL,vs ARI,W  40-14,6,266,44.3,39.2,0,0,55,0
Pat O'Donnell,CHI,vs GB,W  24-17,4,177,44.3,44.3,0,2,51,0
Brett Kern,TEN,@ NYG,W  17-0,5,220,44.0,43.6,0,5,57,0
Ryan Allen,NE,@ PIT,L  10-17,5,216,43.2,43.2,0,3,52,0
Kevin Huber,CIN,vs OAK,W  30-16,5,216,43.2,38.8,0,1,50,0
Sam Koch,BAL,vs TB,W  20-12,3,127,42.3,38.3,0,1,50,0
Matt Wile,MIN,vs MIA,W  41-17,3,127,42.3,39.7,0,0,46,0
Thomas Morstead,NO,@ CAR,W  12-9,4,168,42.0,41.8,0,3,46,0
J.K. Scott,GB,@ CHI,L  17-24,5,208,41.6,31.0,0,1,50,0
Donnie Jones,LAC,@ KC,W  29-28,2,83,41.5,31.5,1,0,44,0
Colby Wadman,DEN,vs CLE,L  16-17,3,124,41.3,38.3,0,0,46,0
Bryan Anger,TB,@ BAL,L  12-20,4,163,40.8,35.8,1,1,48,0
Matt Darr,BUF,vs DET,W  14-13,6,245,40.8,35.5,1,2,52,0
Chris Jones,DAL,@ IND,L  0-23,2,81,40.5,40.5,0,2,41,0
Michael Palardy,CAR,vs NO,L  9-12,6,239,39.8,37.7,0,1,56,0
Riley Dixon,NYG,vs TEN,L  0-17,6,237,39.5,38.2,0,2,50,0
Jordan Berry,PIT,vs NE,W  17-10,2,78,39.0,39.0,0,1,44,0
Johnny Townsend,OAK,@ CIN,L  16-30,6,229,38.2,37.5,0,1,42,0
