Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Ryan Fitzpatrick,NYJ,@ NYG,W  23-20,36,50,390,2,0,3,0,107.9
Ben Roethlisberger,PIT,vs IND,W  45-10,24,39,364,4,0,0,0,126.4
Carson Palmer,ARI,@,W  27-3,26,40,356,2,0,2,0,110.0
Cam Newton,CAR,@ NO,W  41-38,28,41,331,5,1,1,0,122.1
Blake Bortles,JAX,@ TEN,L  39-42,24,36,322,5,0,2,0,134.5
Tom Brady,NE,vs PHI,L  28-35,29,56,312,3,2,4,0,71.4
Matt Schaub,BAL,@ MIA,L  13-15,32,46,308,1,2,3,0,77.1
Eli Manning,NYG,vs NYJ,L  20-23,18,34,297,1,1,3,0,80.1
Brian Hoyer,HOU,@ BUF,L  21-30,26,43,293,3,1,2,0,94.4
Derek Carr,OAK,vs KC,L  20-34,31,48,283,2,3,4,0,68.3
Drew Brees,NO,vs CAR,L  38-41,24,42,282,3,1,2,0,91.6
Russell Wilson,SEA,@ MIN,W  38-7,21,27,274,3,0,1,0,146.0
Aaron Rodgers,GB,@ DET,W  27-23,24,36,273,2,1,3,0,96.2
Matt Ryan,ATL,@ TB,L  19-23,30,45,269,1,1,3,0,80.7
Marcus Mariota,TEN,vs JAX,W  42-39,20,29,268,3,1,4,1,118.2
Austin Davis,CLE,vs CIN,L  3-37,25,38,230,0,1,3,1,71.2
Jameis Winston,TB,vs ATL,W  23-19,18,27,227,1,1,1,0,89.6
Matt Cassel,DAL,@ WAS,W  19-16,16,29,223,0,0,1,0,80.1
Andy Dalton,CIN,@ CLE,W  37-3,14,19,220,2,0,1,0,146.8
Matthew Stafford,DET,vs GB,L  23-27,23,35,220,2,0,3,1,102.1
Kirk Cousins,WAS,vs DAL,L  16-19,22,31,219,1,0,3,0,101.4
Tyrod Taylor,BUF,vs HOU,W  30-21,11,21,211,3,0,1,0,127.2
Jay Cutler,CHI,vs SF,L  20-26,18,31,202,0,1,1,0,64.2
Philip Rivers,,vs DEN,L  3-17,18,35,202,0,1,4,0,57.1
Blaine Gabbert,SF,@ CHI,W  26-20,18,32,196,1,0,4,0,84.9
Matt Hasselbeck,IND,@ PIT,L  10-45,16,26,169,1,2,2,1,61.2
Brock Osweiler,DEN,@,W  17-3,16,26,166,1,1,1,0,76.8
Alex Smith,KC,@ OAK,W  34-20,16,22,162,2,0,4,0,123.7
Nick Foles,,vs ARI,L  3-27,15,35,146,0,1,0,0,43.3
Sam Bradford,PHI,@ NE,W  35-28,14,24,120,2,0,1,0,99.3
Teddy Bridgewater,MIN,vs SEA,L  7-38,17,28,118,0,1,4,0,55.4
Ryan Tannehill,MIA,vs BAL,W  15-13,9,19,86,1,0,1,0,78.0
Charlie Whitehurst,IND,@ PIT,L  10-45,4,8,51,0,0,3,0,70.3
Danny Amendola,NE,vs PHI,L  28-35,1,1,36,0,0,0,0,118.8
A.J. McCarron,CIN,@ CLE,W  37-3,2,3,19,0,0,0,0,84.0
Drew Stanton,ARI,@,W  27-3,1,1,6,0,0,0,0,91.7
Dustin Colquitt,KC,@ OAK,W  34-20,0,0,0,0,0,0,0,0.0
Tarvaris Jackson,SEA,@ MIN,W  38-7,0,1,0,0,0,1,0,39.6
