Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Denico Autry,IND,@ HOU,W  24-21,2.0,18.0,2,3,1,0,0
Bradley Chubb,DEN,@ SF,L  14-20,2.0,18.0,3,2,2,0,0
Trey Flowers,NE,@ MIA,L  33-34,2.0,17.0,4,4,0,1,0
Cameron Jordan,NO,@ TB,W  28-14,2.0,21.0,3,4,0,0,0
Michael Bennett,PHI,@ DAL,L  23-29,1.5,11.5,5,5,2,1,0
Jurrell Casey,TEN,vs JAX,W  30-9,1.5,17.5,2,2,4,0,0
Fletcher Cox,PHI,@ DAL,L  23-29,1.5,9.5,4,1,2,0,0
Olivier Vernon,NYG,@ WAS,W  40-16,1.5,11.0,2,4,1,0,0
Anthony Barr,MIN,@ SEA,L  7-21,1.0,7.0,1,5,1,0,0
Vic Beasley,ATL,@ GB,L  20-34,1.0,12.0,1,1,1,0,0
Ronald Blair,SF,vs DEN,W  20-14,1.0,10.0,1,3,0,0,0
Joey Bosa,LAC,vs CIN,W  26-21,1.0,10.0,2,6,0,0,0
Kevin Byard,TEN,vs JAX,W  30-9,1.0,8.0,1,2,1,0,0
De'Vondre Campbell,ATL,@ GB,L  20-34,1.0,9.0,1,3,2,0,0
Lorenzo Carter,NYG,@ WAS,W  40-16,1.0,8.0,1,4,1,0,0
Sean Chandler,NYG,@ WAS,W  40-16,1.0,1.0,1,2,1,0,0
Frank Clark,SEA,vs MIN,W  21-7,1.0,9.0,2,2,2,0,0
Brandon Copeland,NYJ,@ BUF,W  27-23,1.0,8.0,3,2,0,0,0
Christian Covington,HOU,vs IND,L  21-24,1.0,5.0,2,1,0,0,0
Tyrone Crawford,DAL,vs PHI,W  29-23,1.0,1.0,1,1,0,1,0
Jarrad Davis,DET,@ ARI,W  17-3,1.0,7.0,1,7,1,0,0
Carlos Dunlap,CIN,@ LAC,L  21-26,1.0,10.0,1,4,0,0,0
Bud Dupree,PIT,@ OAK,L  21-24,1.0,7.0,1,2,2,0,0
Kyle Emanuel,LAC,vs CIN,W  26-21,1.0,0.0,1,1,0,0,0
John Franklin,LA,@ CHI,L  6-15,1.0,10.0,1,1,0,0,0
Myles Garrett,CLE,vs CAR,W  26-20,1.0,1.0,3,4,1,0,0
Eddie Goldman,CHI,vs LA,W  15-6,1.0,8.0,1,1,0,0,0
Randy Gregory,DAL,vs PHI,W  29-23,1.0,5.0,2,1,0,0,0
Akiem Hicks,CHI,vs LA,W  15-6,1.0,12.0,1,3,0,0,0
Dont'a Hightower,NE,@ MIA,L  33-34,1.0,9.0,1,2,0,0,0
