Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Kirk Cousins,MIN,vs NO,L  20-30,31,41,359,2,1,4,0,107.7
Tom Brady,NE,@ BUF,W  25-6,29,45,324,0,0,2,0,85.8
Eli Manning,NYG,vs WAS,L  13-20,30,47,316,1,2,7,0,72.7
Matthew Stafford,DET,vs SEA,L  14-28,27,40,310,2,1,3,1,96.9
Patrick Mahomes,KC,vs DEN,W  30-23,24,34,303,4,1,2,0,125.0
Jared Goff,LA,vs GB,W  29-27,19,35,295,3,0,5,0,111.0
Derek Anderson,BUF,vs NE,L  6-25,22,39,290,0,1,3,1,69.4
Blake Bortles,JAX,vs PHI,L  18-24,24,41,286,1,0,4,0,88.1
Aaron Rodgers,GB,@ LA,L  27-29,18,30,286,1,0,3,0,102.9
Carson Wentz,PHI,@ JAX,W  24-18,21,30,286,3,1,4,1,119.6
Andy Dalton,CIN,vs TB,W  37-34,21,34,280,2,0,2,0,107.5
Jameis Winston,TB,@ CIN,L  34-37,18,35,276,1,4,5,0,47.7
Case Keenum,DEN,@ KC,L  23-30,23,34,262,2,1,5,1,97.9
Ben Roethlisberger,PIT,vs CLE,W  33-18,24,36,257,2,1,1,0,94.3
Josh Rosen,ARI,vs SF,W  18-15,23,40,252,2,1,3,0,82.5
Russell Wilson,SEA,@ DET,W  28-14,14,17,248,3,0,2,0,158.3
Derek Carr,OAK,vs IND,L  28-42,21,28,244,3,0,0,0,136.6
Brock Osweiler,MIA,@ HOU,L  23-42,21,37,241,0,1,2,0,65.3
Andrew Luck,IND,@ OAK,W  42-28,22,31,239,3,0,0,0,125.6
Deshaun Watson,HOU,vs MIA,W  42-23,16,20,239,5,0,0,0,156.0
Mitchell Trubisky,CHI,vs NYJ,W  24-10,16,29,220,2,0,2,0,102.7
Cam Newton,CAR,vs BAL,W  36-21,21,29,219,2,0,0,0,116.9
Ryan Fitzpatrick,TB,@ CIN,L  34-37,11,15,194,2,0,1,0,154.9
Joe Flacco,BAL,@ CAR,L  21-36,22,39,192,1,2,2,0,56.8
C.J. Beathard,SF,@ ARI,L  15-18,14,28,190,1,0,4,0,83.9
Baker Mayfield,CLE,@ PIT,L  18-33,22,36,180,2,1,2,0,80.8
Alex Smith,WAS,@ NYG,W  20-13,20,32,178,1,0,0,0,87.8
Sam Darnold,NYJ,@ CHI,L  10-24,14,29,153,1,0,1,0,75.8
Drew Brees,NO,@ MIN,W  30-20,18,23,120,1,1,0,0,84.8
Lamar Jackson,BAL,@ CAR,L  21-36,4,5,46,1,0,0,0,144.6
Taysom Hill,NO,@ MIN,W  30-20,1,1,44,0,0,0,0,118.8
Danny Amendola,MIA,@ HOU,L  23-42,1,1,28,1,0,0,0,158.3
Nathan Peterman,BUF,vs NE,L  6-25,2,2,23,0,0,0,0,114.6
Taylor Heinicke,CAR,vs BAL,W  36-21,1,1,13,0,0,0,0,118.8
Johnny Hekker,LA,vs GB,W  29-27,1,1,12,0,0,0,0,116.7
