Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Chris Boswell,PIT,@ CIN,W  33-20,4,4,3,3,15
Randy Bullock,NYJ,vs TEN,W  30-8,3,4,3,3,12
Brandon McManus,DEN,vs OAK,L  12-15,4,5,0,0,12
Chandler Catanzaro,ARI,vs MIN,W  23-20,3,3,2,2,11
Caleb Sturgis,PHI,vs BUF,W  23-20,3,3,2,2,11
Adam Vinatieri,IND,@,L  16-51,3,3,1,1,10
Stephen Gostkowski,NE,@ HOU,W  27-6,2,2,3,3,9
Jason Myers,,vs IND,W  51-16,1,1,6,7,9
Dan Carpenter,BUF,@ PHI,L  20-23,2,2,2,2,8
Graham Gano,CAR,vs ATL,W  38-0,1,1,5,5,8
Mike Nugent,CIN,vs PIT,L  20-33,2,3,2,2,8
Blair Walsh,MIN,@ ARI,L  20-23,2,2,2,2,8
Josh Brown,NYG,@ MIA,W  31-24,1,2,4,4,7
Travis Coons,CLE,vs SF,W  24-10,1,2,3,3,6
Kai Forbath,NO,@ TB,W  24-17,1,1,3,3,6
Andrew Franks,MIA,vs NYG,L  24-31,1,1,3,3,6
Dustin Hopkins,WAS,@ CHI,W  24-21,1,1,3,3,6
Nick Novak,HOU,vs NE,L  6-27,2,2,0,0,6
Justin Tucker,BAL,vs SEA,L  6-35,2,2,0,0,6
Connor Barth,TB,vs NO,L  17-24,1,2,2,2,5
Stephen Hauschka,SEA,@ BAL,W  35-6,0,0,5,5,5
Mason Crosby,GB,vs DAL,W  28-7,0,0,4,4,4
Phil Dawson,SF,@ CLE,L  10-24,1,1,1,1,4
Cairo Santos,KC,vs,W  10-3,1,2,1,1,4
Robbie Gould,CHI,vs WAS,L  21-24,0,1,3,3,3
Josh Lambo,,@ KC,L  3-10,1,2,0,0,3
Greg Zuerlein,,vs DET,W  21-14,0,0,3,3,3
Matt Prater,DET,@,L  14-21,0,0,2,2,2
Dan Bailey,DAL,@ GB,L  7-28,0,0,1,1,1
Sebastian Janikowski,OAK,@ DEN,W  15-12,0,1,1,1,1
