Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Stephen Gostkowski,NE,vs,W  51-17,3,3,6,6,15
Stephen Hauschka,SEA,vs CHI,W  26-0,4,4,2,2,14
Josh Brown,NYG,vs WAS,W  32-21,3,3,3,3,12
Dan Carpenter,BUF,@ MIA,W  41-14,2,3,5,5,11
Chandler Catanzaro,ARI,vs SF,W  47-7,1,1,6,6,9
Graham Gano,CAR,vs NO,W  27-22,2,2,3,3,9
Sebastian Janikowski,OAK,@ CLE,W  27-20,2,2,3,3,9
Ryan Succop,TEN,vs IND,L  33-35,2,2,3,3,9
Travis Coons,CLE,vs OAK,L  20-27,2,2,2,2,8
Mason Crosby,GB,vs KC,W  38-28,1,1,5,5,8
Matt Bryant,ATL,@ DAL,W  39-28,1,1,4,4,7
Randy Bullock,HOU,vs TB,W  19-9,2,3,1,2,7
Dustin Hopkins,WAS,@ NYG,L  21-32,2,2,1,1,7
Blair Walsh,MIN,vs,W  31-14,1,1,4,4,7
Brandon McManus,DEN,@ DET,W  24-12,1,1,3,3,6
Cody Parkey,PHI,@ NYJ,W  24-17,1,1,3,3,6
Josh Scobee,PIT,@,W  12-6,2,2,0,0,6
Justin Tucker,BAL,vs CIN,L  24-28,1,2,3,3,6
Greg Zuerlein,,vs PIT,L  6-12,2,2,0,0,6
Nick Folk,NYJ,vs PHI,L  17-24,1,1,2,2,5
Jason Myers,,@ NE,L  17-51,1,1,2,2,5
Adam Vinatieri,IND,@ TEN,W  35-33,0,0,5,5,5
Dan Bailey,DAL,vs ATL,L  28-39,0,0,4,4,4
Zach Hocker,NO,@ CAR,L  22-27,1,1,1,1,4
Mike Nugent,CIN,@ BAL,W  28-24,0,0,4,4,4
Kyle Brindza,TB,@ HOU,L  9-19,1,4,0,1,3
Josh Lambo,,@ MIN,L  14-31,0,0,2,2,2
Cairo Santos,KC,@ GB,L  28-38,0,0,2,2,2
Phil Dawson,SF,@ ARI,L  7-47,0,0,1,1,1
Andrew Franks,MIA,vs BUF,L  14-41,0,0,0,1,0
Matt Prater,DET,vs DEN,L  12-24,0,0,0,1,0
