Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Jared Goff,LA,vs MIN,W  38-31,26,33,465,5,0,1,0,158.3
Andrew Luck,IND,vs HOU,L  34-37,40,62,464,4,0,4,1,108.5
Derek Carr,OAK,vs CLE,W  45-42,35,58,437,4,2,3,0,92.4
Kirk Cousins,MIN,@ LA,L  31-38,36,50,422,3,0,4,1,117.2
Matt Ryan,ATL,vs CIN,L  36-37,29,39,419,3,0,3,0,134.5
Blake Bortles,JAX,vs NYJ,W  31-12,29,38,388,2,1,2,0,114.8
Deshaun Watson,HOU,@ IND,W  37-34,29,42,375,2,1,7,0,102.8
Joe Flacco,BAL,@ PIT,W  26-14,28,42,363,2,0,2,0,109.5
Mitchell Trubisky,CHI,vs TB,W  48-10,19,26,354,6,0,1,0,154.6
Carson Wentz,PHI,@ TEN,L  23-26,33,50,348,2,0,4,1,99.4
Marcus Mariota,TEN,vs PHI,W  26-23,30,43,344,2,1,3,0,99.4
Andy Dalton,CIN,@ ATL,W  37-36,29,41,337,3,1,3,0,109.5
Matthew Stafford,DET,@ DAL,L  24-26,24,30,307,2,0,3,0,131.5
Patrick Mahomes,KC,@ DEN,W  27-23,28,45,304,1,0,1,0,89.5
C.J. Beathard,SF,@ LAC,L  27-29,23,37,298,2,2,1,0,82.9
Aaron Rodgers,GB,vs BUF,W  22-0,22,40,298,1,1,2,1,76.9
Baker Mayfield,CLE,@ OAK,L  42-45,21,41,295,2,2,2,2,70.7
Tom Brady,NE,vs MIA,W  38-7,23,35,274,3,2,0,0,94.2
Ben Roethlisberger,PIT,vs BAL,L  14-26,27,47,274,1,1,1,0,72.5
Eli Manning,NYG,vs NO,L  18-33,31,41,255,1,0,3,1,99.1
Dak Prescott,DAL,vs DET,W  26-24,17,27,255,2,0,3,0,118.6
Philip Rivers,LAC,vs SF,W  29-27,25,39,250,3,1,1,0,97.2
Case Keenum,DEN,vs KC,L  23-27,21,33,245,0,1,4,0,73.4
Drew Brees,NO,@ NYG,W  33-18,18,32,217,0,0,1,0,77.2
Josh Rosen,ARI,vs SEA,L  17-20,15,27,180,1,0,1,0,88.5
Russell Wilson,SEA,@ ARI,W  20-17,19,26,172,0,0,2,0,90.5
Sam Darnold,NYJ,@ JAX,L  12-31,17,34,167,1,0,3,0,74.0
Josh Allen,BUF,@ GB,L  0-22,16,33,151,0,2,7,1,36.3
Jameis Winston,TB,@ CHI,L  10-48,16,20,145,1,2,2,0,74.0
Ryan Fitzpatrick,TB,@ CHI,L  10-48,9,18,126,0,1,2,0,49.8
Ryan Tannehill,MIA,@ NE,L  7-38,11,20,100,0,1,2,1,47.9
Brock Osweiler,MIA,@ NE,L  7-38,4,5,35,1,0,0,0,135.4
Taysom Hill,NO,@ NYG,W  33-18,1,2,10,0,0,0,0,64.6
Johnny Hekker,LA,vs MIN,W  38-31,0,1,0,0,0,0,0,39.6
