Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
DeAndre Hopkins,HOU,@ SEA,L  38-41,8,224,28.0,1,0
JuJu Smith-Schuster,PIT,@ DET,W  20-15,7,193,27.6,1,0
Travis Kelce,KC,vs DEN,W  29-19,7,133,19.0,1,0
Marvin Jones,DET,vs PIT,L  15-20,6,128,21.3,0,0
Will Fuller,HOU,@ SEA,L  38-41,5,125,25.0,2,0
Jamison Crowder,WAS,vs DAL,L  19-33,9,123,13.7,0,0
Jack Doyle,IND,@ CIN,L  23-24,12,121,10.1,1,0
Tyler Lockett,SEA,vs HOU,W  41-38,6,121,20.2,0,0
Paul Richardson,SEA,vs HOU,W  41-38,6,105,17.5,2,0
Robby Anderson,NYJ,vs ATL,L  20-25,6,104,17.3,1,0
Adam Thielen,MIN,@ CLE,W  33-16,5,98,19.6,1,0
Tre McBride,CHI,@ NO,L  12-20,3,92,30.7,0,0
Joe Mixon,CIN,vs IND,W  24-23,3,91,30.3,0,1
T.J. Jones,DET,vs PIT,L  15-20,4,88,22.0,0,0
Golden Tate,DET,vs PIT,L  15-20,7,86,12.3,0,1
James White,NE,vs LAC,W  21-13,5,85,17.0,0,0
Michael Crabtree,OAK,@ BUF,L  14-34,5,83,16.6,0,0
Michael Thomas,NO,vs CHI,W  20-12,7,77,11.0,0,0
Chris Thompson,WAS,vs DAL,L  19-33,8,76,9.5,0,1
Julio Jones,ATL,@ NYJ,W  25-20,3,74,24.7,0,0
Mohamed Sanu,ATL,@ NYJ,W  25-20,6,74,12.3,1,0
Jerick McKinnon,MIN,@ CLE,W  33-16,6,72,12.0,0,0
Antonio Brown,PIT,@ DET,W  20-15,5,70,14.0,0,0
Rex Burkhead,NE,vs LAC,W  21-13,7,68,9.7,0,0
Ted Ginn,NO,vs CHI,W  20-12,2,68,34.0,0,0
Tre Madden,SEA,vs HOU,W  41-38,1,66,66.0,0,0
Demaryius Thomas,DEN,@ KC,L  19-29,5,66,13.2,0,0
Kenny Stills,MIA,@ BAL,L  0-40,5,65,13.0,0,0
Travis Benjamin,LAC,@ NE,L  13-21,5,64,12.8,1,0
Cameron Brate,TB,vs CAR,L  3-17,4,64,16.0,0,0
Alshon Jeffery,PHI,vs SF,W  33-10,2,62,31.0,1,0
DeAndre Washington,OAK,@ BUF,L  14-34,8,62,7.8,1,1
Keenan Allen,LAC,@ NE,L  13-21,4,61,15.2,0,0
Mike Evans,TB,vs CAR,L  3-17,5,60,12.0,0,0
Chris Hogan,NE,vs LAC,W  21-13,5,60,12.0,0,0
Eric Ebron,DET,vs PIT,L  15-20,2,58,29.0,0,0
Jared Cook,OAK,@ BUF,L  14-34,4,57,14.2,0,0
Rob Gronkowski,NE,vs LAC,W  21-13,5,57,11.4,1,0
Doug Baldwin,SEA,vs HOU,W  41-38,6,54,9.0,0,0
Brandon Coleman,NO,vs CHI,W  20-12,1,54,54.0,0,0
Isaiah Crowell,CLE,vs MIN,L  16-33,4,54,13.5,0,1
Jeremy Maclin,BAL,vs MIA,W  40-0,3,53,17.7,1,0
Tanner McEvoy,SEA,vs HOU,W  41-38,1,53,53.0,0,0
Andre Holmes,BUF,vs OAK,W  34-14,3,51,17.0,1,0
Christian McCaffrey,CAR,@ TB,W  17-3,5,49,9.8,0,0
Leonte Carroo,MIA,@ BAL,L  0-40,6,48,8.0,0,0
Amari Cooper,OAK,@ BUF,L  14-34,5,48,9.6,0,0
Alvin Kamara,NO,vs CHI,W  20-12,3,48,16.0,0,0
Austin Hooper,ATL,@ NYJ,W  25-20,4,47,11.8,1,0
Tyler Kroft,CIN,vs IND,W  24-23,5,46,9.2,0,0
Matt Forte,NYJ,vs ATL,L  20-25,6,45,7.5,0,0
Brandon LaFell,CIN,vs IND,W  24-23,4,44,11.0,0,0
Jesse James,PIT,@ DET,W  20-15,2,42,21.0,0,0
Ricardo Louis,CLE,vs MIN,L  16-33,2,42,21.0,0,0
Kelvin Benjamin,CAR,@ TB,W  17-3,3,39,13.0,1,0
Matt Breida,SF,@ PHI,L  10-33,4,39,9.8,1,0
Dez Bryant,DAL,@ WAS,W  33-19,4,39,9.8,0,0
Jimmy Graham,SEA,vs HOU,W  41-38,4,39,9.8,2,0
Ryan Grant,WAS,vs DAL,L  19-33,5,38,7.6,0,0
Tyreek Hill,KC,vs DEN,W  29-19,2,38,19.0,0,0
DeSean Jackson,TB,vs CAR,L  3-17,3,37,12.3,0,0
Marlon Mack,IND,@ CIN,L  23-24,3,36,12.0,1,0
Terrance Williams,DAL,@ WAS,W  33-19,2,36,18.0,0,0
Bennie Fowler,DEN,@ KC,L  19-29,2,35,17.5,0,0
Josh Malone,CIN,vs IND,W  24-23,2,35,17.5,1,0
Jalen Richard,OAK,@ BUF,L  14-34,5,35,7.0,0,1
Zach Ertz,PHI,vs SF,W  33-10,4,34,8.5,1,0
Kamar Aiken,IND,@ CIN,L  23-24,2,33,16.5,0,0
Jarvis Landry,MIA,@ BAL,L  0-40,5,33,6.6,0,0
Trent Taylor,SF,@ PHI,L  10-33,3,33,11.0,0,0
Zay Jones,BUF,vs OAK,W  34-14,3,32,10.7,0,0
Jason Witten,DAL,@ WAS,W  33-19,3,31,10.3,0,0
Alex Collins,BAL,vs MIA,W  40-0,2,30,15.0,0,0
Mack Hollins,PHI,vs SF,W  33-10,2,30,15.0,0,0
Nick Boyle,BAL,vs MIA,W  40-0,4,29,7.2,0,0
Josh Hill,NO,vs CHI,W  20-12,3,29,9.7,0,0
David Morgan,MIN,@ CLE,W  33-16,3,28,9.3,0,0
Bilal Powell,NYJ,vs ATL,L  20-25,3,28,9.3,0,0
Austin Seferian-Jenkins,NYJ,vs ATL,L  20-25,5,28,5.6,0,0
Stefon Diggs,MIN,@ CLE,W  33-16,4,27,6.8,0,0
A.J. Green,CIN,vs IND,W  24-23,3,27,9.0,1,0
Kyle Rudolph,MIN,@ CLE,W  33-16,6,27,4.5,1,0
Nelson Agholor,PHI,vs SF,W  33-10,3,26,8.7,0,0
Brandin Cooks,NE,vs LAC,W  21-13,5,26,5.2,0,0
Adam Humphries,TB,vs CAR,L  3-17,4,26,6.5,0,0
Antonio Gates,LAC,@ NE,L  13-21,2,25,12.5,0,0
Garrett Celek,SF,@ PHI,L  10-33,1,24,24.0,0,0
Ed Dickson,CAR,@ TB,W  17-3,4,24,6.0,0,0
Mark Ingram,NO,vs CHI,W  20-12,6,24,4.0,0,2
Theo Riddick,DET,vs PIT,L  15-20,2,24,12.0,0,0
Brandon Tate,BUF,vs OAK,W  34-14,1,24,24.0,0,0
Tyrell Williams,LAC,@ NE,L  13-21,1,24,24.0,0,0
Kendall Wright,CHI,@ NO,L  12-20,2,23,11.5,0,0
Tevin Coleman,ATL,@ NYJ,W  25-20,1,22,22.0,0,0
Kareem Hunt,KC,vs DEN,W  29-19,3,22,7.3,0,0
Carlos Hyde,SF,@ PHI,L  10-33,4,22,5.5,0,0
George Kittle,SF,@ PHI,L  10-33,2,22,11.0,0,0
LeSean McCoy,BUF,vs OAK,W  34-14,6,22,3.7,0,0
Trey Burton,PHI,vs SF,W  33-10,2,21,10.5,0,0
A.J. Derby,DEN,@ KC,L  19-29,2,21,10.5,1,0
Jordan Matthews,BUF,vs OAK,W  34-14,3,21,7.0,0,0
Lee Smith,OAK,@ BUF,L  14-34,1,21,21.0,0,0
Laquon Treadwell,MIN,@ CLE,W  33-16,1,21,21.0,0,0
