Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Matt Prater,DET,vs NE,W  26-10,4,4,2,2,14
Wil Lutz,NO,@ ATL,W  43-37,3,3,4,4,13
Ka'imi Fairbairn,HOU,vs NYG,L  22-27,3,3,1,1,10
Cody Parkey,CHI,@ ARI,W  16-14,3,4,1,1,10
Adam Vinatieri,IND,@ PHI,L  16-20,3,3,1,1,10
Chandler Catanzaro,TB,vs PIT,L  27-30,2,2,3,3,9
Stephen Hauschka,BUF,@ MIN,W  27-6,2,2,3,3,9
Aldrick Rosas,NYG,@ HOU,W  27-22,2,2,3,3,9
Ryan Succop,TEN,@ JAX,W  9-6,3,4,0,0,9
Justin Tucker,BAL,vs DEN,W  27-14,2,3,3,3,9
Harrison Butker,KC,vs SF,W  38-27,1,1,5,5,8
Jake Elliott,PHI,vs IND,W  20-16,2,3,2,2,8
Mike Nugent,OAK,@ MIA,L  20-28,2,2,2,2,8
Graham Gano,CAR,vs CIN,W  31-21,1,1,4,4,7
Robbie Gould,SF,@ KC,L  27-38,2,2,1,2,7
Dustin Hopkins,WAS,vs GB,W  31-17,1,1,4,4,7
Greg Joseph,CLE,vs NYJ,W  21-17,2,2,1,1,7
Brett Maher,DAL,@ SEA,L  13-24,2,2,1,1,7
Chris Boswell,PIT,@ TB,W  30-27,1,2,3,4,6
Sebastian Janikowski,SEA,vs DAL,W  24-13,1,1,3,3,6
Josh Lambo,JAX,vs TEN,L  6-9,2,2,0,0,6
Mason Crosby,GB,@ WAS,L  17-31,1,1,2,2,5
Sam Ficken,LA,vs LAC,W  35-23,0,1,5,5,5
Jason Myers,NYJ,@ CLE,L  17-21,1,1,2,2,5
Caleb Sturgis,LAC,@ LA,L  23-35,1,1,2,3,5
Stephen Gostkowski,NE,@ DET,L  10-26,1,1,1,1,4
Jason Sanders,MIA,vs OAK,W  28-20,0,0,4,4,4
Matt Bryant,ATL,vs NO,L  37-43,0,0,3,3,3
Randy Bullock,CIN,@ CAR,L  21-31,0,1,3,3,3
Phil Dawson,ARI,vs CHI,L  14-16,0,0,2,2,2
Brandon McManus,DEN,@ BAL,L  14-27,0,0,2,2,2
