Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Drew Brees,NO,vs JAX,W  38-27,25,36,412,3,0,1,0,135.4
Sam Bradford,PHI,vs WAS,L  24-38,37,56,380,1,0,5,1,91.4
Blake Bortles,JAX,@ NO,L  27-38,27,35,368,4,2,2,0,124.5
Kirk Cousins,WAS,@ PHI,W  38-24,31,46,365,4,0,2,0,120.3
Ryan Tannehill,MIA,vs IND,L  12-18,26,38,329,0,1,6,0,84.2
Matt Ryan,ATL,vs CAR,W  20-13,23,30,306,1,0,2,1,119.6
Matthew Stafford,DET,vs SF,W  32-17,29,37,301,2,0,2,0,118.6
Brock Osweiler,DEN,vs CIN,W  20-17,27,39,299,1,0,3,0,100.3
Ryan Fitzpatrick,NYJ,vs NE,W  26-20,26,41,296,3,0,1,1,109.4
Jameis Winston,TB,vs CHI,L  21-26,15,29,295,2,1,1,0,96.2
Russell Wilson,SEA,vs,L  17-23,25,41,289,2,1,4,1,88.4
Philip Rivers,,@ OAK,L  20-23,31,49,277,1,0,1,0,85.2
Ryan Mallett,BAL,vs PIT,W  20-17,28,41,274,1,0,1,0,95.0
Carson Palmer,ARI,vs GB,W  38-8,18,27,265,2,1,2,0,107.8
Eli Manning,NYG,@ MIN,L  17-49,15,29,234,1,3,4,0,50.7
Zach Mettenberger,TEN,vs HOU,L  6-34,27,51,234,1,1,1,1,63.7
Tom Brady,NE,@ NYJ,L  20-26,22,31,231,1,1,2,0,89.6
Blaine Gabbert,SF,@ DET,L  17-32,22,33,225,2,0,3,1,106.2
Ben Roethlisberger,PIT,@ BAL,L  17-20,24,34,220,0,2,3,0,63.4
Derek Carr,OAK,vs,W  23-20,23,38,204,1,1,3,0,72.7
A.J. McCarron,CIN,@ DEN,L  17-20,22,35,200,1,0,2,1,87.8
Brandon Weeden,HOU,@ TEN,W  34-6,15,24,200,2,0,1,1,116.7
Kellen Moore,DAL,@ BUF,L  6-16,13,31,186,0,1,0,0,48.6
Tyrod Taylor,BUF,vs DAL,W  16-6,13,18,179,0,1,3,0,80.6
Teddy Bridgewater,MIN,vs NYG,W  49-17,15,25,168,1,0,3,0,93.4
Jay Cutler,CHI,@ TB,W  26-21,20,27,156,1,0,1,0,100.2
Aaron Rodgers,GB,@ ARI,L  8-38,15,28,151,1,1,8,2,66.2
Cam Newton,CAR,@ ATL,L  13-20,17,30,142,0,0,2,1,69.0
Johnny Manziel,CLE,@ KC,L  13-17,13,32,136,0,1,0,0,40.6
Alex Smith,KC,vs CLE,W  17-13,15,22,125,2,1,1,0,93.9
Case Keenum,,@ SEA,W  23-17,14,23,103,1,0,0,0,86.0
Matt Hasselbeck,IND,@ MIA,W  18-12,8,15,99,0,0,1,0,74.0
Charlie Whitehurst,IND,@ MIA,W  18-12,9,14,78,0,0,1,0,78.9
Ryan Nassib,NYG,@ MIN,L  17-49,5,5,68,1,0,0,0,158.3
B.J. Daniels,HOU,@ TEN,W  34-6,1,2,7,0,0,0,0,58.3
Drew Stanton,ARI,vs GB,W  38-8,1,1,4,0,0,0,0,83.3
Scott Tolzien,GB,@ ARI,L  8-38,1,1,4,0,0,1,0,83.3
