Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Andy Dalton,CIN,@ BAL,W  28-24,20,32,383,3,1,2,1,122.3
Marcus Mariota,TEN,vs IND,L  33-35,27,44,367,2,2,3,0,84.2
Joe Flacco,BAL,vs CIN,L  24-28,32,49,362,2,1,0,0,92.4
Tom Brady,NE,vs,W  51-17,33,42,358,2,0,2,0,118.1
Josh McCown,CLE,vs OAK,L  20-27,28,49,341,2,1,5,0,83.8
Aaron Rodgers,GB,vs KC,W  38-28,24,35,333,5,0,1,0,138.5
Peyton Manning,DEN,@ DET,W  24-12,31,42,324,2,1,1,0,101.7
Kirk Cousins,WAS,@ NYG,L  21-32,30,49,316,1,2,1,0,69.8
Cam Newton,CAR,vs NO,W  27-22,20,31,315,2,0,1,0,119.7
Derek Carr,OAK,@ CLE,W  27-20,20,32,314,2,0,0,0,115.9
Carson Palmer,ARI,vs SF,W  47-7,20,32,311,2,1,1,0,102.5
Luke McCown,NO,@ CAR,L  22-27,31,38,310,0,1,1,0,89.7
Ryan Tannehill,MIA,vs BUF,L  14-41,26,49,297,2,3,2,0,59.7
Alex Smith,KC,@ GB,L  28-38,24,40,290,1,1,7,0,80.2
Matt Ryan,ATL,@ DAL,W  39-28,24,36,285,2,0,1,0,109.1
Ryan Fitzpatrick,NYJ,vs PHI,L  17-24,35,58,283,2,3,1,0,62.6
Matthew Stafford,DET,vs DEN,L  12-24,31,45,282,1,2,4,1,74.5
Eli Manning,NYG,vs WAS,W  32-21,23,32,279,2,0,0,0,119.1
Tyrod Taylor,BUF,@ MIA,W  41-14,21,29,277,3,0,0,0,136.7
Jameis Winston,TB,@ HOU,L  9-19,17,36,261,1,1,0,0,69.3
Andrew Luck,IND,@ TEN,W  35-33,18,30,260,2,2,3,0,82.6
Philip Rivers,,@ MIN,L  14-31,21,34,246,1,1,4,1,81.2
Blake Bortles,,@ NE,L  17-51,17,33,242,2,1,2,0,83.1
Russell Wilson,SEA,vs CHI,W  26-0,20,30,235,1,0,4,0,101.4
Brandon Weeden,DAL,vs ATL,L  28-39,22,26,232,0,1,2,0,87.8
Ryan Mallett,HOU,vs TB,W  19-9,24,39,228,1,1,1,0,75.6
Nick Foles,,vs PIT,L  6-12,19,28,197,0,1,2,0,73.1
Ben Roethlisberger,PIT,@,W  12-6,20,24,192,0,1,3,0,82.6
Teddy Bridgewater,MIN,vs,W  31-14,13,24,121,0,1,0,0,50.9
Sam Bradford,PHI,@ NYJ,W  24-17,14,28,118,1,0,1,0,73.2
Colin Kaepernick,SF,@ ARI,L  7-47,9,19,67,0,4,2,0,16.7
Jimmy Clausen,CHI,@ SEA,L  0-26,9,17,63,0,0,2,0,61.6
Kellen Clemens,,@ MIN,L  14-31,5,6,63,1,0,0,0,150.0
Michael Vick,PIT,@,W  12-6,5,6,38,0,0,2,0,93.1
Johnny Hekker,,vs PIT,L  6-12,0,1,0,0,0,0,0,39.6
